player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Luke Byrne,105422,G,SAMFORD,13,100.0,0,282,62.4,70.6,58.4,3,18,577,100.0,100.0,97.5,3,25,4,1004,0,1,0,1004,603,603,1003,0,401,0
Jackson Slater,147796,G,SACRAMENTO,13,100.0,0,279,65.3,77.9,60.6,3,11,477,100.0,100.0,98.1,2,16,2,1003,0,803,199,1003,506,506,0,0,497,0
Brandon Weldon,60042,G,SACRAMENTO,13,100.0,0,279,65.8,63.3,64.9,1,13,477,100.0,100.0,98.3,1,15,1,1002,0,199,0,1002,506,506,803,0,496,0
Ivan Garza,104691,T,SACRAMENTO,13,100.0,0,279,66.8,65.5,65.1,2,23,477,100.0,100.0,97.2,2,26,1,1002,0,0,0,1002,506,506,0,1002,496,0
Gavin Orr,87441,T,SAMFORD,13,100.0,2,282,68.6,75.6,63.0,7,18,572,100.0,100.0,97.3,8,28,3,994,0,0,0,994,597,597,0,993,397,1
Chris Noble,81875,G,SAMFORD,13,100.0,1,282,66.4,77.5,61.7,4,12,574,100.0,100.0,98.3,5,18,2,993,0,992,0,993,600,600,1,0,393,0
Nathan Mejia,147790,C,SACRAMENTO,13,100.0,0,279,69.7,70.0,69.3,1,13,472,100.0,100.0,98.5,5,14,0,990,990,0,0,990,500,500,0,0,490,0
Ryan Coll,104688,T,RICHMOND,13,99.9,1,276,70.0,73.9,64.0,2,18,573,99.8,99.8,97.6,3,24,4,989,0,46,941,990,592,593,0,0,397,2
Tom Elia,104686,C,RICHMOND,13,100.0,1,276,71.0,82.1,65.5,1,9,575,100.0,100.0,98.6,5,13,3,988,987,0,0,988,594,594,0,0,394,0
Clayton Frady,132407,T,GARD-WEBB,13,100.0,0,171,71.4,73.1,67.7,2,8,500,100.0,100.0,98.4,2,13,3,974,0,0,4,974,533,533,337,626,441,7
Jabari Brooks,139059,C,SAMFORD,13,100.0,0,282,66.8,78.3,60.9,4,9,552,100.0,100.0,97.7,3,19,6,961,961,0,0,961,577,577,0,0,384,0
Zachary Breaux,81709,C,JACKSON ST,13,100.0,0,194,55.2,69.7,47.3,3,8,584,100.0,100.0,98.7,3,13,2,960,959,0,0,960,625,625,0,1,335,0
Caleb Johnson,102301,G,INCAR WORD,14,100.0,1,189,60.7,75.6,56.0,1,7,509,100.0,100.0,99.0,5,9,1,952,0,950,0,952,532,532,0,0,420,0
