player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jake Pope,99114,T,ILL STATE,16,100.0,0,188,68.5,77.7,63.2,3,8,570,100.0,100.0,98.5,5,14,3,1138,0,0,749,1138,602,602,0,389,536,0
Landon Woodard,159364,G,ILL STATE,15,100.0,0,188,67.1,84.7,60.8,1,9,519,100.0,100.0,98.8,1,11,1,1069,0,1069,0,1069,550,550,0,0,519,0
Shane Willenbring,192050,C,S DAK ST,14,100.0,0,292,69.9,73.5,71.4,2,11,483,100.0,100.0,98.2,9,15,2,995,798,69,0,995,508,508,127,0,487,0
Colter Lynch,172926,C,ABILENE CH,14,100.0,2,100,58.2,71.3,55.0,1,10,523,100.0,100.0,98.4,8,14,3,990,990,0,0,990,558,558,0,0,432,0
Luke Roaten,158521,T,ABILENE CH,14,100.0,1,100,53.8,52.9,53.2,6,27,523,100.0,100.0,96.3,7,36,3,989,0,0,0,989,558,558,35,953,431,1
William Paepke,177221,G,S DAK ST,14,100.0,1,292,59.8,68.5,58.1,3,16,481,100.0,100.0,98.0,5,19,0,982,0,917,0,982,507,507,63,0,475,1
Braden Zimmer,191493,T,MONTANA ST,16,100.0,1,233,80.5,85.3,78.5,1,12,458,99.3,99.4,98.4,7,14,1,961,0,0,958,961,477,480,0,0,484,0
Titan Fleischmann,147659,G,MONTANA ST,16,100.0,1,233,68.8,68.6,68.2,4,15,460,99.4,99.4,97.7,4,20,1,959,0,0,0,959,479,482,934,22,480,0
Logan Brasfield,186459,G,ILL STATE,15,100.0,0,188,69.6,84.5,63.8,1,9,478,100.0,100.0,98.5,3,12,2,952,0,0,0,952,507,507,525,427,445,0
Quinten Christensen,164857,T,S DAK ST,14,100.0,1,292,70.3,86.0,60.7,1,8,468,100.0,100.0,98.4,5,12,3,947,0,0,882,947,492,492,0,48,455,15
Cedric Jefferson,176768,T,MONTANA ST,16,100.0,0,233,65.6,67.1,68.7,2,19,457,99.3,99.4,97.0,11,24,3,945,0,0,11,945,475,478,0,934,470,0
George French II,129780,T,ABILENE CH,14,100.0,0,100,53.8,67.0,49.8,0,18,493,100.0,100.0,97.8,10,20,2,942,0,0,942,942,527,527,0,0,415,0
Landon Roaten,158520,G,ABILENE CH,14,100.0,0,100,57.1,58.0,56.2,1,11,502,100.0,100.0,98.4,3,14,2,941,0,0,0,941,535,535,906,35,406,0
Braden Smith,192462,G,TARLETON,14,100.0,0,401,71.2,81.2,69.8,0,7,441,100.0,100.0,98.8,9,9,2,940,0,0,0,940,472,472,940,0,468,0
JT Reed,90602,C,MONTANA ST,16,100.0,0,233,65.4,73.6,65.4,3,9,455,99.3,99.4,98.0,8,15,3,939,939,0,0,939,473,476,0,0,466,0
Zaire Collier,185105,C,UC DAVIS,14,100.0,1,322,64.6,72.4,64.5,1,16,487,100.0,100.0,97.8,11,19,2,939,939,0,0,939,550,550,0,0,389,0
Cannon Panfiloff,141298,T,MONTANA,14,100.0,1,232,62.3,72.4,55.4,2,16,507,100.0,100.0,97.8,3,20,2,938,0,0,933,938,524,524,0,0,414,4
Jordan Love,147963,C,TARLETON,14,100.0,2,401,62.6,65.1,62.3,4,9,438,100.0,100.0,97.6,6,17,4,938,938,0,0,938,469,469,0,0,469,0
Eli Simonson,129712,T,UC DAVIS,14,99.8,0,322,70.7,81.3,63.7,3,12,485,99.6,99.6,98.0,4,17,2,937,0,2,889,939,548,550,2,1,389,45
