player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Isaiah Ifanse,91411,HB,MONTANA ST,14,279,88,23,38.8,642,0,1653,0,4,88,1069,119.9,42,73,233,1,165,89.9,90.1,90.3,,69.1,73.2,87.2,66.0,74,0,127,15,126,385,0,0,16,294,10,1653,1069,3.83,5.9,1.01,113
Quay Holmes,87560,HB,E TENN ST,13,267,81,19,31.7,495,0,1560,1,13,81,934,110.0,42,93,157,3,149,75.9,90.4,88.6,,56.4,70.2,90.6,64.5,64,1,321,32,202,319,0,0,37,299,17,1560,934,3.5,5.8,1.59,116
Xavier Shepherd,104767,QB,KENNESAW,13,242,20,9,23.9,226,0,823,0,0,18,444,16.7,23,77,200,17,99,24.4,74.0,69.7,86.7,,,58.8,60.0,56,2,0,0,0,558,121,23,0,219,23,944,539,2.23,3.9,,55
Pierre Strong Jr.,66619,HB,S DAK ST,15,239,49,30,54.3,920,0,1694,4,1,49,811,65.0,47,67,292,4,95,65.3,85.5,88.6,90.3,26.2,43.8,90.8,66.8,85,0,150,22,267,272,0,0,34,261,18,1694,811,3.39,7.1,0.56,144
Malik Grant,109133,HB,SACR HEART,12,238,73,19,34.9,468,0,1340,3,4,73,916,119.5,41,66,280,3,81,72.8,83.9,88.9,,64.2,49.4,86.7,55.1,49,0,128,10,201,305,0,0,17,248,9,1340,916,3.85,5.6,0.64,157
Caleb Johnson,90461,HB,MS VLY ST,11,237,39,13,29.9,301,0,1006,2,2,39,704,49.5,34,59,228,1,41,87.5,78.9,86.4,,77.2,48.1,79.4,56.7,33,1,26,9,134,272,0,0,11,246,8,1006,704,2.97,4.2,0.19,195
Jacob Chisholm,65435,HB,DAYTON,10,236,56,10,26.9,280,0,1040,0,14,56,801,89.7,31,54,150,0,125,91.6,87.5,86.1,,76.1,91.4,81.2,70.4,73,0,351,29,203,295,0,0,34,265,14,1040,801,3.39,4.4,1.73,110
Karl Mofor,57126,HB,ALBANY,10,222,41,9,20.6,182,0,885,1,3,41,564,44.7,16,54,106,4,115,63.4,79.8,87.2,,74.2,68.3,78.9,73.0,28,0,190,28,227,261,0,0,35,250,12,885,564,2.54,4.0,0.84,106
Jaylan Adams,89133,QB,CITADEL,11,220,27,10,30.4,315,0,955,0,0,24,464,25.0,24,72,139,12,104,43.1,73.0,79.8,54.7,,,76.5,60.0,68,1,0,0,0,616,81,9,0,211,12,1036,471,2.14,4.7,,58
Sy'veon Wilkerson,138400,HB,DELWARE ST,11,218,37,12,28.2,250,0,887,1,0,37,570,43.4,28,43,152,3,96,69.9,63.9,86.1,,18.9,48.9,68.1,54.0,30,0,26,5,99,256,0,0,7,223,8,887,570,2.61,4.1,0.26,115
Ty Son Lawton,78578,HB,STNY BROOK,11,217,41,13,34.2,374,0,1094,0,5,41,842,79.3,34,59,303,5,49,53.1,77.6,85.6,,70.0,53.0,77.9,44.6,99,0,50,8,103,244,0,0,12,225,10,1094,842,3.88,5.0,0.49,168
Damonta Witherspoon,138062,HB,MURRAY ST,11,211,45,16,35.6,320,0,898,1,6,45,599,63.2,26,51,236,2,53,77.7,79.3,0.0,76.2,68.2,72.0,79.3,56.4,39,4,170,18,147,285,0,0,22,229,8,898,599,2.84,4.3,1.16,154
Robert Washington,45718,HB,VALPO,11,210,72,17,45.6,518,0,1137,2,15,72,824,138.2,28,50,332,2,92,78.2,84.1,86.5,54.4,72.9,89.8,80.8,56.2,80,0,323,37,189,279,0,0,49,247,14,1137,824,3.92,5.4,1.71,113
Gary Quarles,78641,HB,ALAB A&M,10,206,31,16,35.4,332,0,938,1,5,31,523,39.9,28,49,104,2,94,77.5,74.0,56.5,,24.9,62.2,78.5,55.4,44,1,225,23,255,234,0,0,26,229,9,938,523,2.54,4.6,0.88,104
Ailym Ford,105612,HB,CHATTNOOGA,11,205,48,11,37.5,419,0,1116,0,0,48,697,78.5,29,51,137,1,36,85.0,77.3,86.2,,42.0,52.3,77.7,54.4,65,0,15,3,97,226,0,0,4,208,11,1116,697,3.4,5.4,0.15,169
Geno Hess,78610,HB,SE MO ST,10,205,49,12,40.8,462,0,1133,1,1,49,737,86.0,30,54,293,1,85,85.1,73.6,85.8,,55.5,50.6,75.1,58.2,66,0,43,4,131,262,0,0,7,209,14,1133,737,3.6,5.5,0.33,117
Dennis Merritt,41152,HB,E WASHGTON,13,200,44,13,41.6,391,0,939,6,14,44,515,64.1,22,45,161,2,95,77.1,73.9,88.4,,69.0,61.6,75.7,68.4,73,0,376,33,275,238,0,0,46,233,15,939,515,2.58,4.7,1.37,99
Ulonzo Gilliam Jr.,57443,HB,UC DAVIS,12,199,46,12,27.2,252,0,925,2,11,46,644,75.6,29,57,322,0,89,91.0,79.8,87.2,,69.9,79.3,79.2,57.3,30,1,261,45,310,323,0,0,57,244,6,925,644,3.24,4.6,0.84,107
Darius Hale,150185,HB,CENT ARK,11,198,45,12,33.6,340,0,1012,0,5,45,544,64.8,24,61,132,3,82,67.4,80.5,0.0,,74.3,59.5,81.3,67.6,69,3,109,14,144,211,0,0,14,212,17,1012,544,2.75,5.1,0.76,111
Jerry Howard Jr.,62941,HB,TOWSON,11,192,53,13,36.5,338,0,927,2,6,53,729,108.2,22,42,317,3,91,66.9,75.4,50.7,,69.3,51.7,76.6,67.4,41,1,126,15,142,219,0,0,21,207,3,927,729,3.8,4.8,0.89,100
Kevin Daniels,141626,HB,N ARIZONA,10,186,47,20,57.5,652,0,1134,1,3,47,836,106.5,31,46,252,1,58,83.8,80.3,87.9,,38.1,61.4,84.4,61.0,90,0,141,25,212,230,0,0,34,211,7,1134,836,4.49,6.1,0.67,126
