player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Kana'i Eldredge,41912,C,UTAHTC,8,0,0,1285,,,72.2,,,,64.7,,,74.2,0,0,37,0,0,0,0,0,0
Keeath Magee II,42816,LB,GARD-WEBB,11,0,0,171,60.0,,,,,,62.1,,,48.0,0,1,0,5,0,56,67,53,0
Quincy Lenton,43195,S,YNGTOWN ST,9,0,0,353,59.7,,,,,,64.8,,,64.7,0,0,0,31,7,0,0,1,1
Dante Cleveland,44217,DI,S ILLINOIS,12,0,0,295,58.3,,,,,,60.1,,,69.2,0,0,0,33,0,0,0,13,0
TraJon Cotton,52147,S,MONTANA,14,0,0,232,59.8,,,,,,63.2,,,77.5,0,0,0,28,0,5,1,8,0
George McCorley,52168,WR,JACKSON ST,8,0,0,194,,,,61.8,,,55.2,,,29.2,0,1,0,0,13,19,1,23,0
Noah Taylor,52348,LB,CORNELL,10,0,0,147,60.1,,,,,,63.9,,,71.4,0,0,0,37,8,0,12,20,0
Phoenix Porter,52591,LB,E ILLINOIS,11,0,1,158,59.9,,,,,,54.5,,,28.9,1,2,0,20,17,7,44,39,3
Luke Lane,52865,T,CHATTNOOGA,13,0,0,137,,,77.1,,,,66.2,,,75.6,0,0,71,0,0,0,0,0,0
Kaleb Priddy,53194,ED,VA MILT IN,1,0,0,336,,,,,,,60.7,,,69.4,0,0,0,0,0,5,0,0,0
Hank Perry,53355,G,FORDHAM,2,0,0,168,,,60.0,,,,60.4,,,63.2,0,0,1,0,0,0,2,0,0
Jackson Ward,53396,G,DAYTON,1,0,0,150,,,60.0,,,,61.4,,,62.0,0,0,4,0,0,0,0,0,0
Jakari Patterson,53555,LB,TOWSON,9,0,0,317,59.8,,,,,,62.6,,,73.9,0,0,0,19,8,29,2,5,0
Elijah Ford,53568,LB,E KENTUCKY,11,0,0,159,60.0,,,,,,73.9,,,73.6,0,0,0,9,56,9,4,20,2
Troy Reisner,53644,DI,DAYTON,7,0,0,150,58.7,,,,,,59.4,,,65.5,0,0,0,6,0,0,0,2,0
Dylan DeMaison,53994,C,DAYTON,11,0,0,150,,,75.5,,,,65.0,,,73.0,0,0,46,0,0,0,1,0,0
Cole Hildebrand,54051,S,DAYTON,5,0,0,150,59.8,,,,,,63.4,,,67.5,1,0,0,24,18,0,11,1,3
Vincent Munlin Jr.,54183,G,E KENTUCKY,10,0,0,159,,,77.2,,,,65.4,,,64.4,0,0,51,0,0,0,0,0,0
Cheikhsaliou Fall,54240,ED,E KENTUCKY,6,0,0,159,59.1,,60.0,,,,60.5,,,67.4,0,0,3,18,0,2,0,4,0
Ryan Batsch,54358,S,MURRAY ST,11,0,0,236,59.4,,,,,,61.7,,,75.6,0,0,0,20,23,14,55,17,0
Julian Hicks,55059,WR,ALBANY,3,0,0,106,,,,,,,68.3,,,92.4,0,0,0,0,0,3,0,0,0
Rashad Colson,55154,DI,ALAB A&M,10,0,0,104,58.2,,,,,,58.3,,,68.1,0,0,0,33,0,0,0,3,0
Harry Van Dyne,55247,WR,INDIANA ST,3,0,0,191,,,,,,,60.5,63.1,,64.4,0,0,0,0,2,0,0,7,0
James Green,55331,LB,TENN STATE,9,0,0,308,90.7,,,,,,84.4,,,29.7,0,1,0,29,0,0,26,22,0
Waydale Jones,55452,WR,ABILENE CH,4,0,0,100,,,,,,,31.0,,,69.5,0,1,0,0,0,0,0,9,0
Marquis Britten,55604,CB,GRAMBLING,10,0,0,177,60.0,,,58.8,,,57.7,63.9,,71.3,1,0,0,12,40,15,1,10,0
Jabari Reddock,56194,S,TOWSON,11,0,1,317,59.9,,,,,,57.0,,,52.7,0,1,0,10,59,39,30,8,1
Cordarrius Bailey,56370,ED,N IOWA,9,0,0,255,57.9,,,,,,58.6,,,68.4,0,0,0,41,0,0,0,8,0
Andrew Cole,56848,DI,ALCORN ST,10,0,0,107,58.1,,,,,,58.5,,,68.1,0,0,0,26,0,0,0,5,0
Qua'Shawn Washington,57115,LB,TARLETON,10,1,0,401,60.3,,,,,,63.1,,,75.8,0,0,0,35,48,0,38,10,1
Tre Siggers,57347,HB,INCAR WORD,1,0,0,189,,,,,,,61.4,,,64.0,0,0,0,0,4,0,0,0,0
Jakairi Moses,57479,HB,MO STATE,6,0,0,230,,,,60.0,,,61.6,,,73.0,0,0,0,0,0,30,0,10,0
Roman Kafentzis,57744,LB,PORTLAND,4,0,0,269,60.0,,,,,,67.4,,,68.0,0,0,0,7,10,0,0,0,1
