player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
BJ Byrd,109729,WR,MOREHEAD,11,13.6,16,63.4,50.0,12,24,1,2.2,2,0.11,70,234,0,91.1,79.0,87.9,,89.5,0.0,0,6,61,0.0,0,475,6,45.5,90,96.6,459,2.7,13,106.3,142,13,97.3,462,1313,380,4.2,14.6,2.86
Dennis Houston,61295,WR,W ILLINOIS,11,9.2,11,67.7,47.6,10,21,0,8.2,8,-0.14,48,345,1,70.3,59.8,77.8,,77.9,0.0,0,5,75,0.0,0,531,2,40.9,90,95.9,509,4.9,26,89.8,133,6,95.1,505,1020,535,5.9,11.3,2.0
Caleb Snead,88707,WR,CAMPBELL,11,13.4,10,56.1,33.3,6,18,0,10.8,9,-0.01,52,131,1,53.5,75.8,80.6,,81.2,0.2,1,3,67,0.0,0,412,1,42.8,74,94.4,389,24.8,102,98.7,132,10,75.0,309,1081,321,4.3,14.6,2.78
Andrew Boston,61240,WR,E WASHGTON,13,14.1,8,56.0,40.0,8,20,0,10.3,8,0.38,44,161,0,62.6,76.1,70.2,,70.2,0.7,4,5,73,0.0,0,553,2,51.3,70,95.8,530,21.0,116,83.4,125,7,78.1,432,980,315,4.5,14.0,1.85
Jalyn Witcher,149586,WR,PRESBYTERN,11,10.2,9,67.2,38.1,8,21,0,5.7,5,-0.12,43,271,1,79.4,56.9,71.0,,71.2,0.0,0,3,92,0.0,0,592,2,39.0,82,93.1,551,55.9,331,118.8,122,12,44.1,261,1118,564,6.9,13.6,2.03
Taylor Grimes,89507,WR,INCAR WORD,12,11.3,12,75.8,64.3,9,14,0,3.2,3,0.28,59,189,0,88.1,76.7,79.6,,79.2,0.0,0,2,51,0.0,0,635,3,50.6,91,94.5,600,12.6,80,139.8,120,16,87.4,555,1205,465,5.1,13.2,2.01
Jacari Carter,142525,WR,MERRIMACK,11,7.2,8,76.3,60.0,9,15,0,4.3,4,-0.01,44,385,0,84.5,82.8,78.8,,79.5,0.0,0,9,28,0.0,0,405,1,46.1,90,94.8,384,98.3,398,81.4,118,8,1.7,7,707,270,3.0,7.9,1.84
Lance McCutcheon,61478,WR,MONTANA ST,15,17.2,13,53.8,44.0,11,25,0,13.7,10,0.12,50,233,1,49.0,52.1,84.6,,87.0,0.0,0,2,68,0.0,0,372,0,42.9,63,98.4,366,13.2,49,108.9,117,9,86.8,323,1219,300,4.8,19.3,3.33
Raphael Williams Jr.,149997,WR,W CAROLINA,11,12.3,7,63.8,44.4,4,9,0,9.8,8,0.01,48,344,0,62.8,75.5,73.2,62.1,76.1,0.0,0,4,54,0.2,1,525,2,41.9,74,96.2,505,96.4,506,101.2,116,9,3.0,16,960,265,3.6,13.0,1.9
Antwane Wells Jr.,138470,WR,JAMES MAD,13,12.5,13,65.2,29.4,5,17,0,6.3,5,0.26,55,197,0,72.8,50.5,79.5,,81.8,0.0,0,1,73,0.0,0,451,6,50.9,75,96.2,434,12.6,57,131.7,115,13,87.4,394,1138,424,5.7,15.2,2.62
Beau Kelly,52154,WR,PORTLAND,11,10.6,5,61.6,33.3,5,15,0,12.7,10,0.08,46,269,2,53.4,51.5,74.4,,74.5,0.0,0,3,47,0.0,0,476,1,46.3,69,94.3,449,98.9,471,108.4,112,10,1.1,5,979,332,4.8,14.2,2.18
Austin Mitchell,61657,WR,SE LA,13,11.9,5,70.3,41.7,5,12,0,9.3,8,0.29,57,294,3,65.5,56.6,82.0,,81.3,0.0,0,3,77,0.0,0,465,1,55.2,78,97.4,453,27.5,128,123.7,111,10,69.5,323,1181,414,5.3,15.1,2.61
Lonnie Moore IV,30678,WR,MONMOUTH,11,6.8,15,68.5,50.0,6,12,0,7.3,6,0.09,40,231,2,69.5,49.8,80.7,,80.3,0.0,0,2,49,0.0,0,399,0,44.1,76,96.0,383,91.5,365,99.2,111,6,8.3,33,788,472,6.2,10.4,2.06
Darion Chafin,133215,WR,INCAR WORD,13,11.8,7,52.7,36.4,8,22,0,14.7,10,0.34,38,189,0,45.4,74.4,62.2,,61.4,0.0,0,2,52,0.0,0,652,2,51.6,58,94.5,616,8.7,57,100.1,110,11,91.3,595,748,265,4.6,12.9,1.21
Tyler Hudson,102567,WR,CENT ARK,11,15.3,15,56.9,50.0,13,26,0,6.1,4,0.12,49,132,1,71.3,61.2,84.2,,86.7,0.2,1,5,93,0.0,0,406,2,46.1,62,94.6,384,25.6,104,101.9,109,8,74.1,301,1232,498,8.0,19.9,3.21
Dai'Jean Dixon,63748,WR,NICHOLLS,10,13.3,12,65.7,60.9,14,23,0,4.1,3,0.2,53,243,0,83.5,75.6,91.0,,91.1,0.0,0,4,42,0.0,0,338,1,51.4,71,95.0,321,26.6,90,104.8,108,8,73.4,248,1002,302,4.3,14.1,3.12
Xavier Smith,102585,WR,FL A&M,11,10.1,17,59.4,31.6,6,19,0,12.5,9,-0.04,32,164,0,53.8,82.6,73.3,,74.2,0.0,0,2,48,0.0,0,301,0,40.8,63,95.3,287,37.9,114,81.0,106,3,61.8,186,708,400,6.3,11.2,2.47
Kiaran Turner,142565,WR,PRESBYTERN,11,8.1,8,51.9,6.7,1,15,0,14.1,9,-0.12,29,271,0,49.3,42.8,56.9,,58.7,0.0,0,7,71,0.0,0,514,3,39.4,55,92.0,473,85.8,441,56.7,106,5,14.2,73,589,329,6.0,10.7,1.25
Landon Lenoir,42053,WR,S ILLINOIS,13,12.8,6,57.5,26.1,6,23,1,9.0,6,0.05,39,295,0,65.6,76.6,71.4,,71.5,0.0,0,5,52,0.0,0,501,5,47.0,61,96.4,483,13.0,65,96.1,106,10,87.0,436,873,282,4.6,14.3,1.81
Devin Young,61404,WR,MAINE,11,10.4,10,50.9,40.0,6,15,0,11.5,7,0.04,28,212,1,58.1,59.9,67.4,63.9,68.3,0.0,0,3,35,0.3,1,299,3,40.0,54,93.3,279,34.8,104,65.1,106,3,65.2,195,583,345,6.4,10.8,2.09
Xavier Gipson,104136,WR,STF AUSTIN,11,8.6,26,72.1,50.0,5,10,0,7.4,6,0.12,45,301,0,71.8,70.5,91.2,73.1,91.3,0.8,3,2,87,0.5,2,381,1,44.7,75,96.6,368,94.0,358,145.8,104,14,4.7,18,1378,964,12.9,18.4,3.74
