player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Tyvon Edmonds Jr.,148583,HB,MERRIMACK,11,278,64,10,22.5,280,0,1247,0,5,64,855,74.5,28,66,385,2,42,83.4,79.8,86.6,,59.5,60.6,79.0,54.5,49,0,46,7,105,349,0,0,10,285,10,1247,855,3.08,4.5,0.44,234
Jevon Jackson,149110,HB,AUSTINPEAY,12,249,60,18,35.7,491,1,1377,1,0,60,969,89.8,37,74,116,1,185,88.3,80.9,86.5,,75.2,49.8,84.3,46.5,57,1,78,11,190,325,0,0,17,260,10,1377,969,3.89,5.5,0.41,60
Isaiah Davis,138299,HB,S DAK ST,15,236,79,25,38.5,607,0,1578,2,11,79,936,137.8,54,95,292,1,148,87.6,94.9,89.2,43.8,34.9,66.9,96.8,64.8,66,0,199,23,192,312,0,0,30,259,18,1578,936,3.97,6.7,1.04,87
Jamar Curtis,159741,HB,LAFAYETTE,11,235,49,20,45.3,662,0,1460,3,2,49,717,61.0,36,71,203,2,68,80.3,81.4,86.1,,63.4,58.0,82.2,54.1,72,0,164,20,132,287,0,0,26,255,15,1460,717,3.05,6.2,1.24,159
Isaiah Williams,104087,HB,SAN DIEGO,10,228,51,14,25.8,282,0,1092,0,13,51,698,80.6,35,59,283,2,70,79.8,77.5,86.8,,39.5,59.8,78.9,70.3,33,1,133,15,178,258,0,0,15,243,8,1092,698,3.06,4.8,0.75,157
Sam Franklin,149248,HB,TENN MARTN,11,223,54,22,52.5,721,0,1373,1,3,54,869,93.7,32,49,310,5,67,54.5,74.8,50.9,,40.0,58.5,77.3,49.2,81,1,116,14,178,250,0,0,19,237,11,1373,869,3.9,6.2,0.65,150
Jaden Shirden,142937,HB,MONMOUTH,11,220,41,20,52.1,761,0,1460,1,2,41,736,59.9,33,52,231,1,97,86.3,81.0,86.2,,49.6,61.8,83.6,47.9,81,0,133,20,242,227,0,0,24,240,10,1460,736,3.35,6.6,0.55,118
Julius Loughridge,149316,HB,FORDHAM,11,208,53,13,31.9,368,0,1155,3,7,53,770,96.2,36,67,168,0,67,91.1,87.7,57.7,,50.7,70.6,90.8,57.7,50,1,182,23,231,234,0,0,27,231,10,1155,770,3.7,5.6,0.79,139
Anthony Woods,158969,HB,IDAHO,12,207,46,15,37.0,413,1,1098,0,2,46,746,78.7,27,68,185,2,116,77.4,80.5,87.2,,40.9,57.8,83.3,56.7,93,1,92,15,198,227,19,1,22,221,16,1117,746,3.6,5.4,0.46,88
LaDarius Owens,105591,HB,TEXAS STHN,11,201,53,24,50.1,686,0,1369,1,4,53,691,92.4,46,64,313,1,51,86.4,78.4,52.4,,57.1,59.3,80.8,54.4,77,1,111,11,187,235,0,0,13,212,11,1369,691,3.44,6.8,0.59,136
Jyran Mitchell,78175,HB,BUTLER,11,199,46,14,42.5,539,0,1267,0,5,46,653,75.0,29,62,127,2,51,84.8,89.8,89.0,63.9,72.9,69.9,88.0,54.8,67,0,209,24,114,236,0,0,26,223,12,1267,653,3.28,6.4,1.83,146
Eli Gillman,159007,HB,MONTANA,15,196,48,13,37.2,363,0,977,4,5,48,717,90.6,21,50,232,2,126,76.5,81.9,87.6,,27.2,51.3,87.0,56.7,85,0,134,18,164,269,0,0,25,214,12,977,717,3.66,5.0,0.82,58
Jermaine Corbett,165051,HB,STHLSK,8,191,23,14,32.7,293,0,895,1,7,23,432,32.0,26,49,1470,0,123,91.1,75.4,0.0,,44.4,69.5,76.5,55.9,27,3,174,21,158,217,0,0,29,212,9,895,432,2.26,4.7,1.1,60
Tyshon King,171530,HB,YNGTOWN ST,13,188,54,15,39.6,401,0,1013,2,7,54,676,106.5,24,51,353,4,36,58.0,76.1,84.7,,77.5,60.2,76.7,59.7,62,0,148,18,171,210,0,0,22,206,9,1013,676,3.6,5.4,0.87,149
Jalen Hampton,123351,HB,ELON,11,186,45,14,38.1,328,0,862,0,0,45,590,73.2,26,41,162,3,149,65.3,70.3,18.0,,55.7,47.1,74.0,57.1,49,2,39,9,165,223,0,0,11,195,6,862,590,3.17,4.6,0.24,35
Geno Hess,78610,HB,SE MO ST,11,186,58,20,52.1,530,0,1017,1,9,58,680,113.9,32,41,293,3,136,66.9,77.7,59.4,,50.2,67.4,81.8,56.0,64,2,245,29,272,246,0,0,34,215,10,1017,680,3.66,5.5,0.9,48
Kayvon Britten,63937,HB,TARLETON,11,183,52,17,41.9,484,0,1155,2,6,52,714,116.6,34,60,401,1,78,83.4,89.2,83.9,,86.1,60.7,89.3,46.9,59,0,106,11,136,194,0,0,15,194,16,1155,714,3.9,6.3,0.78,102
Griffin Woodell,164528,HB,ALBANY,15,182,36,12,35.0,309,0,883,2,9,36,636,73.1,27,51,106,3,79,67.7,76.2,86.0,,80.4,65.7,77.2,58.3,44,0,253,33,229,216,0,0,36,215,8,883,636,3.49,4.9,1.1,101
