player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Efton Chism III,141521,WR,E WASHGTON,12,5.7,29,82.2,58.3,7,12,0,2.4,3,0.19,60,161,0,90.3,81.5,92.1,62.1,92.6,1.0,4,1,67,0.3,1,395,0,47.9,120,95.9,379,74.9,296,130.8,146,13,23.3,92,1306,798,6.7,10.9,3.45
Roy Alexander,142206,WR,INCAR WORD,14,8.4,21,72.7,44.4,8,18,0,2.9,3,0.11,51,189,2,90.2,25.4,74.8,,75.7,0.2,1,1,56,0.0,0,561,1,45.4,101,95.4,535,85.9,482,124.4,139,13,13.5,76,1121,538,5.3,11.1,2.1
Jordan Dwyer,158967,WR,IDAHO,14,17.1,4,58.5,48.0,12,25,0,4.8,4,0.12,57,185,0,77.9,77.8,88.4,,89.1,0.0,0,3,62,0.0,0,402,1,45.6,79,94.3,379,16.2,65,108.4,135,12,83.8,337,1204,231,2.9,15.2,3.18
Tristan Smith,192874,WR,SE MO ST,11,11.0,15,57.6,43.3,13,30,1,12.6,11,0.05,49,293,1,52.8,55.0,71.2,,71.5,0.0,0,6,54,0.0,0,527,1,44.0,76,95.3,502,13.9,73,75.6,132,6,86.1,454,929,284,3.7,12.2,1.85
Treyvhon Saunders,163878,WR,COLGATE,12,6.2,22,66.7,40.0,6,15,0,7.4,7,-0.17,38,142,1,72.5,66.0,70.8,,71.3,0.2,1,3,45,0.0,0,415,1,39.6,88,98.1,407,88.2,366,79.4,132,2,11.3,47,830,486,5.5,9.4,2.04
Cam Pedro,156804,WR,SE MO ST,13,8.9,14,63.6,47.6,10,21,1,9.7,9,0.02,43,293,0,64.4,76.6,69.0,,69.6,0.0,0,4,46,0.0,0,577,2,42.5,84,95.3,550,79.2,457,80.4,132,4,20.8,120,881,379,4.5,10.5,1.6
Jalen Walthall,146075,WR,INCAR WORD,14,14.7,27,64.9,39.1,9,23,1,1.2,1,0.09,47,189,2,93.1,38.2,78.2,,80.0,0.0,0,6,71,0.0,0,556,7,44.6,85,95.5,531,12.6,70,113.7,131,14,87.2,485,1289,686,8.1,15.2,2.43
Marquis Buchanan,161373,WR,RHODE ISLD,14,11.1,11,62.6,30.8,8,26,0,8.9,8,0.01,44,274,0,66.7,76.2,78.3,,79.3,0.5,2,7,57,0.0,0,427,2,46.1,82,95.1,406,68.1,291,87.8,131,8,31.4,134,1116,483,5.9,13.6,2.75
Blayne Taylor,165697,WR,ABILENE CH,14,13.9,10,57.0,31.0,9,29,1,13.1,11,0.21,51,100,0,51.7,75.6,72.5,,72.9,0.0,0,3,76,0.0,0,561,2,45.6,73,96.1,539,9.8,55,97.0,128,8,90.2,506,1117,403,5.5,15.3,2.07
Samuel Musungu,171151,WR,CORNELL,10,10.6,10,64.6,58.3,14,24,1,4.7,4,0.11,52,147,0,82.2,77.3,85.0,,85.1,0.0,0,4,82,0.0,0,396,2,44.1,82,95.7,379,23.7,94,100.5,127,10,76.0,301,960,370,4.5,11.7,2.53
Darius Cooper,136866,WR,TARLETON,14,17.5,16,60.8,53.6,15,28,0,8.4,7,0.14,53,401,0,68.3,75.7,89.6,63.1,89.8,0.0,0,3,75,0.2,1,407,2,48.4,76,94.6,385,4.9,20,128.4,125,14,95.1,387,1449,408,5.4,19.1,3.76
Dorian Anderson,141416,WR,SE MO ST,13,13.2,13,53.6,48.1,13,27,0,11.8,9,0.05,47,293,0,56.9,75.3,69.0,,70.0,0.0,0,2,51,0.0,0,634,5,43.8,67,94.8,601,16.4,104,105.6,125,12,83.6,530,1006,260,3.9,15.0,1.67
Jeff Weimer,158146,WR,IDAHO ST,12,12.6,9,61.5,44.4,8,18,0,5.1,4,0.06,47,186,1,79.9,54.1,70.4,67.9,71.2,0.0,0,1,84,0.4,2,542,1,46.8,75,93.9,509,18.5,100,101.1,122,6,81.5,442,1018,229,3.1,13.6,2.0
Landon Ruggieri,142050,WR,BRYANT,12,15.8,1,57.5,60.5,23,38,0,5.5,4,0.04,52,124,0,78.8,79.3,80.0,,80.9,0.0,0,6,55,0.0,0,514,1,44.1,69,96.1,494,48.2,248,107.0,120,15,51.8,266,1101,164,2.4,16.0,2.23
Ja'seem Reed,149619,WR,SAN DIEGO,11,12.9,10,65.3,53.3,8,15,0,6.1,5,0.04,51,283,0,76.9,76.2,90.9,,91.1,0.0,0,2,47,0.0,0,358,1,43.6,77,96.1,344,29.6,106,120.5,118,12,70.4,252,1054,276,3.6,13.7,3.06
Logan Tomlinson,170894,WR,NEW HAMP,13,10.2,5,69.8,65.4,17,26,0,4.7,4,-0.07,42,240,0,81.9,76.2,74.3,66.1,76.1,0.2,1,2,50,0.4,2,463,1,41.3,81,95.2,441,30.0,139,109.1,116,9,69.1,320,839,223,2.8,10.4,1.9
Kylon Harris,164101,WR,STF AUSTIN,12,8.0,8,73.3,41.7,5,12,0,2.3,2,0.1,43,301,0,90.5,82.4,82.5,67.7,83.4,0.3,1,2,60,0.5,2,380,0,41.6,85,97.6,371,75.0,285,120.8,116,10,24.7,94,1004,571,6.7,11.8,2.71
Daniel Sobkowicz,148032,WR,ILL STATE,14,11.5,11,70.2,59.1,13,22,0,4.8,4,0.1,54,188,1,81.7,57.3,81.8,61.0,82.0,0.0,0,1,84,0.2,1,482,4,47.2,80,95.4,460,2.5,12,123.7,114,9,97.5,470,1108,357,4.5,13.9,2.41
Nehemiah Martinez,144759,WR,ABILENE CH,14,6.5,27,67.9,42.9,6,14,0,8.4,7,0.19,37,100,0,65.1,87.1,74.6,62.1,73.1,0.0,0,4,75,0.2,1,490,1,45.2,76,95.9,470,93.7,459,110.6,112,10,4.5,22,998,712,9.4,13.1,2.12
Cameron Barmore,186590,WR,MERCYHURST,11,10.4,10,65.8,38.5,10,26,1,5.2,4,0.16,52,977,0,80.2,75.6,85.8,61.1,84.9,0.5,2,2,46,0.2,1,416,1,47.9,73,95.2,396,13.2,55,124.2,111,13,86.3,359,954,359,4.9,13.1,2.41
Eric Weatherly,156259,WR,BUCKNELL,12,11.6,16,67.6,62.5,5,8,0,5.1,4,-0.01,42,125,0,80.2,78.8,74.6,,76.6,0.2,1,1,44,0.0,0,449,5,46.0,75,94.4,424,94.2,423,110.9,111,8,5.3,24,858,329,4.4,11.4,2.02
Nate Rembert,196456,WR,MS VLY ST,11,8.2,16,64.9,50.0,3,6,0,4.0,3,-0.15,41,228,0,83.8,80.7,85.9,,88.0,2.6,9,4,76,0.0,0,343,0,36.9,72,94.8,325,79.6,273,91.9,111,4,17.5,60,1032,709,9.8,14.3,3.18
Darius Lewis,123515,WR,SE LA,12,5.9,18,73.6,41.7,5,12,1,4.7,4,-0.26,39,294,0,78.2,85.4,76.3,,78.0,0.6,2,1,40,0.0,0,341,1,39.1,81,93.0,317,68.9,235,105.8,110,5,22.3,76,818,502,6.2,10.1,2.58
JV Gibson,193295,WR,ARKAPB,12,14.0,13,64.8,33.3,6,18,0,7.9,6,-0.06,50,112,0,70.0,75.5,80.0,,85.2,0.5,2,3,60,0.0,0,405,10,38.9,70,93.1,377,17.5,71,118.9,108,9,82.0,332,1209,430,6.1,17.3,3.21
Christian Fredericksen,147624,WR,IDAHO ST,11,13.5,10,62.0,51.4,19,37,1,0.0,0,0.09,50,186,0,91.0,75.1,79.3,45.6,79.5,0.0,0,3,42,0.7,3,457,2,47.0,67,93.4,427,12.0,55,106.1,108,9,88.0,402,936,217,3.2,14.0,2.19
