player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Isaiah Davis,138299,HB,S DAK ST,14,250,67,20,33.2,483,0,1454,2,6,67,938,101.1,37,78,292,1,158,89.0,89.0,30.8,60.4,40.5,50.9,91.7,58.3,47,3,173,21,195,328,0,0,27,271,15,1454,938,3.75,5.8,0.89,90
Jarveon Howard,77710,HB,ALCORN ST,11,250,65,14,33.8,419,0,1239,0,4,65,709,75.8,33,61,107,1,146,88.3,77.2,85.9,,65.5,57.8,76.8,55.9,78,0,41,8,140,273,0,0,8,258,12,1239,709,2.84,5.0,0.29,103
Dylan Laube,88664,HB,NEW HAMP,12,245,70,21,41.0,494,0,1205,1,10,70,685,76.1,35,68,240,3,130,79.3,83.1,89.4,61.0,56.3,87.2,82.5,55.1,77,0,474,49,346,305,0,0,60,294,15,1205,685,2.8,4.9,1.37,110
Geno Hess,78610,HB,SE MO ST,12,236,69,27,49.1,830,0,1692,2,2,69,1136,139.5,52,84,293,0,170,91.6,91.1,59.7,,48.5,56.4,94.1,50.4,84,1,114,9,274,281,0,0,14,245,21,1692,1136,4.81,7.2,0.42,64
Ailym Ford,105612,HB,CHATTNOOGA,10,232,53,15,38.9,470,0,1207,0,4,53,936,95.0,28,54,137,3,36,71.2,76.5,87.2,,43.6,55.2,79.4,51.2,86,1,180,10,187,270,0,0,13,242,12,1207,936,4.03,5.2,0.96,196
Jalen Hampton,123351,HB,ELON,11,232,40,13,31.0,324,1,1045,1,0,40,685,49.4,29,57,162,4,110,63.5,65.6,52.9,,31.3,49.8,68.5,53.6,49,1,32,7,164,269,0,0,10,239,10,1045,685,2.95,4.5,0.2,121
Jacob Chisholm,65435,HB,DAYTON,11,232,54,10,21.6,225,0,1040,0,5,54,753,75.1,26,68,150,0,112,91.5,81.5,86.9,,59.1,80.0,81.1,39.3,44,0,252,23,185,309,0,0,31,255,13,1040,753,3.25,4.5,1.36,118
Nasir Smith,153952,HB,CENT CT ST,11,228,46,13,28.7,345,0,1203,0,6,46,801,72.8,31,69,133,2,79,79.8,86.4,26.1,,33.0,72.8,88.1,58.7,85,2,219,23,208,275,0,0,28,251,13,1203,801,3.51,5.3,1.05,148
Jaleel McLaughlin,138346,HB,YNGTOWN ST,11,228,51,21,42.0,666,0,1584,2,5,51,837,83.2,44,73,353,0,53,91.4,88.8,86.3,,44.0,68.3,90.4,52.2,68,1,300,19,208,278,0,0,25,247,13,1584,837,3.67,6.9,1.44,171
Jacob Saylors,87559,HB,E TENN ST,11,227,65,23,47.6,627,0,1318,1,3,65,838,101.2,41,69,157,3,94,72.3,78.2,87.3,,50.0,66.6,79.0,62.4,56,0,162,21,235,256,0,0,24,248,15,1318,838,3.69,5.8,0.69,129
Sy'veon Wilkerson,138400,HB,JACKSON ST,13,223,59,16,31.6,360,0,1138,1,6,59,783,93.9,36,64,194,1,81,86.6,79.2,87.4,,58.0,59.8,82.7,50.3,41,0,145,20,259,237,0,0,23,243,9,1138,783,3.51,5.1,0.56,142
Malik Grant,109133,HB,SACR HEART,11,222,50,11,27.8,299,0,1075,1,9,50,713,78.3,31,65,280,2,147,78.7,78.8,88.5,,74.3,59.5,80.7,61.2,66,0,144,20,242,273,0,0,21,242,12,1075,713,3.21,4.8,0.6,75
ShunDerrick Powell,154768,HB,N ALABAMA,11,222,95,27,55.2,843,2,1526,2,15,95,1034,208.3,42,73,389,1,20,86.6,91.5,4.4,,22.0,70.9,94.1,56.6,75,3,242,24,194,291,0,0,27,246,18,1526,1034,4.66,6.9,1.25,202
Aaron Dawson,62013,HB,VALPO,12,221,45,14,44.1,530,0,1203,1,3,45,651,56.8,36,53,332,3,99,71.4,72.8,60.0,73.1,25.9,67.4,74.2,58.1,99,2,168,28,244,292,0,0,32,249,10,1203,651,2.95,5.4,0.69,118
Marcus Cooper,57408,HB,INCAR WORD,13,211,77,22,42.2,607,0,1440,2,11,77,807,137.9,42,70,189,2,135,78.3,86.1,87.6,,76.1,59.8,90.9,72.3,78,0,296,33,325,288,0,0,37,244,11,1440,807,3.82,6.8,0.91,71
Bhayshul Tuten,150568,HB,NC A&T,11,208,73,23,48.5,665,0,1370,4,10,73,904,151.6,42,62,246,0,106,91.2,89.9,55.8,,50.3,70.5,91.4,53.0,70,1,333,30,216,271,0,0,40,238,13,1370,904,4.35,6.6,1.54,97
Asher O'Hara,78529,QB,SACRAMENTO,13,207,31,9,16.7,160,0,781,0,0,18,322,17.3,26,79,279,5,114,68.8,86.5,86.0,78.0,,72.6,77.1,60.0,39,1,0,0,1,328,178,24,0,183,19,959,389,1.88,4.6,0.0,56
Kayvon Britten,63937,HB,ARKAPB,11,207,67,17,47.1,522,0,1109,2,6,67,738,108.9,27,56,112,1,65,85.2,84.9,87.9,47.3,37.6,61.5,91.4,53.6,78,0,139,32,246,238,0,0,39,239,16,1109,738,3.57,5.4,0.57,132
Aidan Borguet,109135,HB,HARVARD,10,206,71,15,33.1,386,0,1167,1,2,71,758,127.3,32,60,179,0,118,91.2,91.4,86.2,,61.5,51.3,92.6,58.4,67,0,58,5,139,225,0,0,6,211,10,1167,758,3.68,5.7,0.42,88
Bronson Yoder,104872,HB,WM & MARY,12,205,86,19,35.3,439,0,1243,0,2,86,848,173.3,45,75,348,3,28,60.9,89.5,87.0,,89.2,60.8,86.8,55.9,38,0,39,5,89,245,0,0,6,210,13,1243,848,4.14,6.1,0.44,175
