player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
AJ Forbes,81751,C,MONTANA,15,99.9,0,232,66.1,79.6,60.4,1,12,481,100.0,99.8,98.0,2,16,3,1053,1051,0,0,1054,507,508,0,0,546,2
Nolan Latulippe,174226,T,ALBANY,15,100.0,2,106,48.6,50.0,51.9,7,31,542,100.0,100.0,95.2,9,45,7,1008,0,1,0,1008,573,573,0,1004,435,0
Will Marotta,142219,G,ALBANY,15,100.0,0,106,53.1,66.0,47.0,1,17,542,100.0,100.0,98.2,3,19,1,1005,0,0,1,1005,573,573,1003,0,432,0
Ozzie Hutchinson,102197,T,ALBANY,15,99.9,0,106,62.7,72.6,52.5,1,8,542,100.0,99.8,98.2,1,14,5,1000,0,0,997,1001,571,572,0,0,429,2
Brandon Casey,143705,T,MONTANA,15,99.9,1,232,65.8,76.9,60.6,2,14,434,100.0,99.8,97.5,10,19,3,959,0,0,0,960,457,458,0,954,502,5
Jackson Slater,147796,G,SACRAMENTO,13,100.0,0,279,66.3,76.3,62.6,1,9,479,100.0,100.0,99.0,3,10,0,925,0,924,0,925,498,498,0,0,427,0
Nathan Mejia,147790,C,SACRAMENTO,13,100.0,0,279,71.5,80.9,68.7,0,7,479,100.0,100.0,99.1,4,8,1,924,924,0,0,924,498,498,0,0,426,0
Ivan Garza,104691,T,SACRAMENTO,13,100.0,0,279,66.6,70.3,63.1,2,16,479,100.0,100.0,98.1,8,18,0,922,0,0,715,922,498,498,0,206,424,0
Brandon Westberg,106302,C,N DAK ST,15,100.0,2,250,71.1,83.1,67.4,0,5,385,100.0,100.0,99.1,4,6,1,919,919,0,0,919,411,411,0,0,508,0
Grey Zabel,125314,T,N DAK ST,15,100.0,0,250,79.6,88.5,76.7,2,5,385,100.0,100.0,98.6,8,9,2,911,0,211,0,911,411,411,3,686,500,10
Mason Miller,125300,G,N DAK ST,15,99.9,1,250,57.1,50.4,61.6,2,18,381,100.0,99.8,96.1,9,25,5,905,0,697,0,906,406,407,27,172,499,10
Chris Walker,59907,T,MONTANA,15,99.9,2,232,68.2,73.2,67.7,2,14,417,99.8,99.8,97.1,10,20,4,898,0,0,897,899,441,442,0,0,457,1
JaQuan Adams,176868,T,GARD-WEBB,12,100.0,0,171,59.9,70.0,53.2,6,14,464,100.0,100.0,97.4,3,22,2,894,0,0,885,894,486,486,1,2,408,5
Journey Grimsrud,143717,G,MONTANA,15,100.0,1,232,67.4,78.8,63.2,0,7,416,100.0,100.0,98.4,4,10,3,892,0,1,0,892,438,438,891,0,454,0
Will McCraw,164503,T,GARD-WEBB,12,99.9,0,171,59.6,70.1,51.5,3,16,462,99.8,99.8,97.5,3,21,2,890,0,2,2,891,484,485,0,882,406,4
Gabriel Thompson,102264,C,GARD-WEBB,12,99.9,0,171,67.6,82.2,64.4,1,1,461,99.8,99.8,99.3,4,4,2,889,887,0,0,890,483,484,0,0,406,3
Chance Reid,168356,G,GARD-WEBB,12,100.0,0,171,59.2,72.8,55.7,1,9,455,100.0,100.0,98.5,4,12,2,878,0,873,0,878,477,477,0,1,401,3
Jalen Sundell,91396,T,N DAK ST,15,99.9,2,250,83.0,89.2,78.1,0,8,381,100.0,99.8,98.7,5,9,1,877,0,1,865,878,406,407,0,1,471,10
David Metzler,138348,G,YNGTOWN ST,13,100.0,0,353,59.7,61.4,57.4,3,13,439,100.0,100.0,97.7,2,18,2,874,0,874,0,874,458,458,0,0,416,0
Reid Williams,129405,C,CHATTNOOGA,13,100.0,0,137,74.3,87.8,68.3,1,3,425,100.0,100.0,99.5,2,4,0,873,873,0,0,873,450,450,0,0,423,0
Griffin McDowell,81633,T,CHATTNOOGA,13,99.8,0,137,67.7,81.7,62.6,2,9,423,99.5,99.6,97.8,6,15,4,871,0,0,863,873,448,450,0,1,423,9
Dave Monnot III,101597,T,CHATTNOOGA,13,100.0,0,137,72.1,76.4,69.1,5,8,425,100.0,100.0,97.8,5,16,3,870,0,0,0,870,450,450,0,866,420,4
Nate Azzopardi,141546,G,IDAHO,13,100.0,0,185,56.7,64.9,53.3,2,15,472,100.0,100.0,97.6,5,20,3,862,97,765,0,862,499,499,0,0,363,0
Brock Gingrich,142247,C,DELAWARE,13,100.0,0,151,69.2,83.5,62.5,3,6,491,100.0,100.0,98.9,2,10,1,862,862,0,0,862,514,514,0,0,348,0
Blaise Sparks,129428,T,DELAWARE,13,99.8,1,151,63.3,65.0,60.5,5,26,489,99.6,99.6,95.8,2,36,5,860,0,2,856,862,512,514,1,0,348,1
Fintan Brose,142242,T,DELAWARE,13,99.7,0,151,72.4,76.6,67.4,3,18,488,99.4,99.4,97.6,4,22,1,859,0,0,0,862,511,514,2,857,348,1
Desmeal Leigh,164912,T,YNGTOWN ST,13,100.0,0,353,64.9,75.2,58.4,2,19,431,100.0,100.0,97.3,3,22,1,857,0,0,857,857,450,450,0,0,407,0
Tom Elia,104686,C,RICHMOND,13,100.0,0,276,72.8,80.0,69.4,4,9,437,100.0,100.0,98.5,3,13,0,853,853,0,0,853,468,468,0,0,385,0
Gage Saint,123721,C,N ALABAMA,11,99.6,0,389,54.1,67.5,50.5,4,12,456,99.3,99.4,97.6,7,19,3,852,797,0,47,855,487,490,0,0,365,6
Luke Dahlgren,102250,G,E WASHGTON,11,100.0,0,161,61.1,69.9,56.5,3,9,475,100.0,100.0,98.7,3,12,0,846,0,575,0,846,496,496,270,0,350,0
Jack Seelye,170694,C,E WASHGTON,11,100.0,0,161,62.7,68.7,62.1,4,7,475,100.0,100.0,98.8,7,11,0,846,846,0,0,846,496,496,0,0,350,0
Wyatt Hansen,141525,T,E WASHGTON,11,99.9,0,161,62.5,76.1,56.1,3,7,472,99.8,99.8,98.5,4,12,2,842,0,271,569,843,493,494,0,0,349,2
Jaison Williams,108481,T,YNGTOWN ST,13,100.0,2,353,68.4,85.8,57.8,2,5,420,100.0,100.0,98.9,3,8,1,834,0,0,0,834,439,439,0,834,395,0
Garret Greenfield,78360,T,S DAK ST,15,99.9,0,292,65.4,82.6,56.6,2,4,359,100.0,99.7,98.3,4,9,3,831,0,0,830,832,376,377,0,0,455,1
Gus Miller,138312,C,S DAK ST,15,100.0,0,292,77.2,75.1,76.5,1,9,359,100.0,100.0,98.3,2,11,1,831,831,0,0,831,377,377,0,0,454,0
Mason McCormick,78326,G,S DAK ST,15,99.9,1,292,87.6,85.4,90.8,0,3,359,100.0,99.7,99.6,10,3,0,831,0,830,0,832,376,377,0,0,455,1
John O'Brian,77497,T,S DAK ST,15,100.0,0,292,65.9,67.4,66.1,3,18,359,100.0,100.0,97.1,7,21,0,830,0,1,0,830,377,377,0,829,453,0
