player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Chedon James,164073,WR,IDAHO ST,11,7.9,20,66.0,42.9,6,14,0,6.4,7,-0.06,46,186,1,74.1,65.3,73.3,,73.7,0.0,0,4,65,0.0,0,544,1,42.0,103,95.0,517,96.5,525,91.7,156,8,2.8,15,1054,528,5.1,10.2,2.04
Hayden Hatten,102500,WR,IDAHO,13,12.3,17,71.0,46.2,12,26,0,1.1,1,0.1,67,185,2,91.6,59.4,90.6,62.1,90.6,0.0,0,3,37,0.2,1,485,1,48.1,93,93.6,454,32.0,155,113.9,131,9,68.0,330,1235,291,3.1,13.3,2.72
Beau Sparks,173021,WR,UTAHTC,11,9.5,8,57.6,58.3,7,12,0,6.5,5,-0.07,34,1285,1,75.5,56.1,68.6,,69.1,0.0,0,5,43,0.0,0,448,1,38.1,72,96.2,431,96.4,432,73.5,125,7,3.6,16,641,273,3.8,8.9,1.49
Dymere Miller,142935,WR,MONMOUTH,11,9.6,15,75.0,36.4,4,11,0,3.2,3,-0.01,58,231,1,88.2,77.2,92.1,,92.0,0.5,2,3,75,0.0,0,368,0,41.5,90,96.2,354,79.1,291,124.2,120,9,20.4,75,1298,671,7.5,14.4,3.67
Rickie Johnson,73804,WR,UTAHTC,11,11.2,7,60.8,25.0,5,20,0,6.4,5,-0.02,44,1285,0,75.1,80.0,78.6,,78.8,0.0,0,3,70,0.0,0,414,1,39.9,73,96.1,398,97.3,403,86.8,120,5,2.7,11,881,402,5.5,12.1,2.21
Jaden Smith,150262,WR,E KENTUCKY,11,8.3,14,65.8,50.0,7,14,0,6.3,5,0.12,39,159,1,76.4,68.3,74.6,,73.9,0.7,3,3,46,0.0,0,456,0,50.3,75,95.8,437,95.8,437,89.7,114,5,3.5,16,798,365,4.9,10.6,1.83
Brevin Easton,160316,WR,ALBANY,15,18.2,6,50.4,47.4,9,19,1,13.6,9,0.1,36,106,0,52.6,75.4,71.2,65.4,74.8,0.2,1,8,83,0.2,1,476,9,44.2,57,94.3,449,37.4,178,93.2,113,13,62.4,297,1091,359,6.3,19.1,2.43
Wes Rockett,109536,WR,BROWN,10,10.0,17,64.0,47.1,8,17,0,5.3,4,-0.03,40,123,0,78.7,71.5,74.9,17.8,75.1,0.7,3,4,51,0.2,1,447,0,44.3,71,94.6,423,41.4,185,79.3,111,3,57.5,257,798,361,5.1,11.2,1.89
Daniel Sobkowicz,148032,WR,ILL STATE,11,13.0,5,61.8,33.3,10,30,0,8.1,6,0.17,51,188,0,68.8,75.7,82.4,,82.3,0.0,0,1,62,0.0,0,376,1,49.3,68,95.5,359,6.9,26,115.8,110,10,93.1,350,942,332,4.9,13.9,2.62
Efton Chism III,141521,WR,E WASHGTON,11,6.7,27,78.0,44.4,4,9,0,3.4,3,0.13,44,161,1,87.3,69.0,82.4,,83.3,0.0,0,2,46,0.0,0,476,1,46.4,85,96.0,457,89.1,424,119.4,109,8,8.8,42,939,540,6.4,11.0,2.05
Jamoi Mayes,129394,WR,CHATTNOOGA,13,12.7,11,57.9,40.0,6,15,0,4.6,3,0.12,49,137,0,81.2,83.4,80.4,61.0,82.3,0.2,1,6,70,0.2,1,444,0,49.8,62,94.4,419,8.6,38,79.8,107,4,91.0,404,1037,446,7.2,16.7,2.47
Treyvhon Saunders,163878,WR,COLGATE,11,7.1,13,64.2,45.5,5,11,0,6.8,5,-0.15,40,142,0,69.3,76.8,77.3,,78.8,0.0,0,3,55,0.0,0,381,1,39.7,68,95.8,365,84.8,323,89.9,106,4,15.0,57,854,492,7.2,12.6,2.34
Nicholas Dunneman,177364,WR,GEORGETOWN,11,6.8,17,69.8,42.9,6,14,1,3.9,3,0.01,41,172,0,84.8,68.4,75.1,54.4,77.3,0.5,2,8,51,0.0,0,413,2,44.0,74,94.2,389,89.6,370,69.9,106,4,9.7,40,726,411,5.6,9.8,1.87
Bryce Oliver,84248,WR,YNGTOWN ST,13,13.3,8,62.1,38.9,7,18,0,4.5,3,0.24,39,353,1,82.1,51.8,76.9,,77.0,0.2,1,4,71,0.0,0,412,0,51.3,64,95.6,394,7.5,31,103.1,103,8,90.8,374,977,310,4.8,15.3,2.48
Jared Richardson,164680,WR,PENN,9,9.2,18,65.7,41.2,7,17,0,9.5,7,0.06,40,267,0,63.9,75.1,82.3,,82.1,0.0,0,6,59,0.0,0,363,0,46.9,67,97.8,355,17.6,64,90.6,102,8,82.4,299,788,303,4.5,11.8,2.22
Matt Stianche,149650,WR,MARIST,11,13.0,6,52.9,46.2,12,26,0,6.9,4,-0.09,30,213,1,73.1,47.9,71.5,,71.8,0.0,0,2,68,0.0,0,416,1,40.4,54,96.9,403,2.6,11,93.5,102,7,97.4,405,797,312,5.8,14.8,1.98
Ty James,99232,WR,MERCER,13,14.8,8,62.4,52.4,11,21,0,7.4,5,0.0,49,219,0,71.8,75.7,90.2,61.9,90.8,0.0,0,2,75,0.3,1,342,2,42.1,63,94.2,322,15.5,53,115.9,101,7,84.5,289,1138,347,5.5,18.1,3.53
Raylen Sharpe,144255,WR,MO STATE,10,10.0,12,73.0,55.6,5,9,0,2.7,2,0.29,51,230,1,88.6,64.2,88.4,,89.1,0.6,2,3,46,0.0,0,338,0,49.2,73,96.2,325,94.4,319,114.8,100,7,5.0,17,986,402,5.5,13.5,3.03
Christian Fredericksen,147624,WR,IDAHO ST,11,13.5,14,54.5,50.0,9,18,0,6.9,4,-0.06,40,186,0,73.0,74.3,67.6,,68.0,0.0,0,7,38,0.0,0,607,2,41.4,54,94.2,572,18.8,114,68.8,99,5,81.2,493,806,216,4.0,14.9,1.41
Nick DeGennaro,129503,WR,RICHMOND,13,10.7,13,73.5,40.0,4,10,0,1.4,1,-0.06,42,276,1,91.6,53.5,76.9,60.9,75.8,0.0,0,4,69,0.2,1,464,1,43.1,72,93.3,433,6.9,32,122.4,98,11,93.1,432,909,329,4.6,12.6,2.1
Chandler Smith,87722,WR,SAMFORD,11,8.2,22,74.5,42.9,3,7,0,6.4,5,0.07,41,282,0,76.4,85.6,71.3,,76.7,0.2,1,3,41,0.0,0,430,0,47.9,73,94.7,407,94.7,407,105.5,98,5,5.1,22,873,430,5.9,12.0,2.14
Kylon Harris,164101,WR,STF AUSTIN,11,8.4,10,63.9,50.0,5,10,0,8.8,6,-0.02,31,301,2,68.3,44.4,73.3,76.2,73.9,0.8,3,1,64,0.5,2,377,0,42.2,62,95.0,358,96.0,362,109.6,97,8,3.2,12,723,356,5.7,11.7,2.02
Noah Robinson,145352,WR,ROB MORRIS,11,9.6,15,73.2,52.9,9,17,0,9.0,7,-0.05,41,277,0,61.7,75.5,75.0,50.4,76.7,0.5,2,1,60,1.1,4,379,0,39.6,71,95.0,360,7.1,27,116.0,97,6,92.3,350,851,410,5.8,12.0,2.36
Anthony Johnson,156709,WR,STNY BROOK,10,11.1,2,60.4,25.0,4,16,0,7.9,5,-0.22,36,303,1,70.7,50.9,78.6,,80.0,0.6,2,5,68,0.0,0,315,2,34.8,58,94.6,298,71.7,226,72.4,96,3,27.6,87,720,241,4.2,12.4,2.42
Ryan Flournoy,159617,WR,SE MO ST,9,11.4,24,61.5,35.0,7,20,0,1.7,1,0.0,30,293,0,90.2,75.7,82.1,,80.6,0.0,0,2,89,0.0,0,330,5,40.7,59,94.5,312,17.0,56,104.7,96,7,82.7,273,825,440,7.5,14.0,2.64
Junior Bergen,147642,WR,MONTANA,15,11.1,11,57.3,40.0,6,15,0,6.8,4,-0.03,34,232,0,74.0,88.2,76.7,,75.9,0.0,0,1,76,0.0,0,443,1,41.1,55,95.0,421,95.5,423,96.6,96,5,3.4,15,777,326,5.9,14.1,1.85
MJ Wright,104933,WR,FORDHAM,11,14.5,7,69.5,38.5,5,13,0,5.7,4,0.17,46,168,0,77.4,77.2,80.8,,80.8,0.0,0,0,64,0.0,0,424,0,49.9,66,94.1,399,9.7,41,127.0,95,7,90.3,383,969,253,3.8,14.7,2.43
Julian Hicks,55059,WR,ALBANY,15,16.0,11,53.2,27.8,5,18,0,7.4,4,0.15,35,106,0,71.0,73.9,74.2,,74.9,0.0,0,2,85,0.0,0,449,2,46.8,50,96.2,432,10.9,49,112.9,94,11,89.1,400,820,242,4.8,16.4,1.9
Brandon Porter,61528,WR,INCAR WORD,10,8.5,20,71.3,30.8,4,13,0,5.6,4,0.08,47,189,1,73.1,55.5,86.2,,89.8,0.6,2,2,73,0.0,0,340,6,44.4,67,95.3,324,92.1,313,124.5,94,7,6.8,23,1062,573,8.6,15.9,3.28
Sam Phillips,149833,WR,CHATTNOOGA,13,11.2,11,62.8,41.7,5,12,1,6.3,4,0.18,34,137,1,75.5,55.1,70.2,,71.3,0.5,2,0,31,0.0,0,399,1,51.5,59,94.5,377,15.8,63,96.1,94,4,83.7,334,620,153,2.6,10.5,1.64
Jah'Marae Sheread,84443,WR,FL A&M,13,7.4,13,54.8,50.0,1,2,0,17.7,11,0.11,26,164,0,36.6,86.2,66.0,,64.8,0.0,0,1,68,0.0,0,296,0,45.7,51,95.3,282,70.6,209,76.3,93,3,28.0,83,496,370,7.3,9.7,1.76
DeVonte Tanksley,149250,WR,TENN MARTN,11,11.4,5,57.0,22.2,2,9,1,13.1,8,-0.01,33,310,0,46.8,74.7,66.5,,68.5,0.0,0,3,46,0.0,0,366,1,40.5,53,96.4,353,90.7,332,76.6,93,3,9.0,33,664,300,5.7,12.5,1.88
Garrett Cody,104932,WR,FORDHAM,11,16.5,8,58.1,42.9,6,14,0,3.6,2,0.16,38,168,0,83.7,74.3,74.4,,75.1,0.0,0,1,91,0.0,0,437,4,48.7,54,94.1,411,9.8,43,109.5,93,7,90.2,394,858,240,4.4,15.9,2.09
DJ Powell,78859,WR,DUQUESNE,12,20.4,3,37.4,23.8,5,21,0,17.1,7,0.1,29,155,1,35.3,47.2,69.3,,72.5,0.3,1,5,59,0.0,0,318,5,39.3,34,93.7,298,1.3,4,75.9,91,9,98.4,313,712,128,3.8,20.9,2.39
Damian Harris,142993,WR,BUCKNELL,11,12.1,10,61.1,25.0,4,16,0,5.2,3,0.09,38,125,2,78.7,28.3,72.0,,73.0,0.0,0,0,32,0.0,0,442,2,43.9,55,94.8,419,16.3,72,95.9,90,4,83.7,370,606,260,4.7,11.0,1.45
Jalen Coker,143068,WR,HOLY CROSS,11,15.1,11,66.3,52.2,12,23,0,3.3,2,0.26,47,181,0,85.0,81.1,89.8,,90.6,0.0,0,2,74,0.0,0,308,5,48.0,59,95.8,295,18.2,56,136.0,89,15,81.2,250,1035,286,4.8,17.5,3.51
Kyle Daly,150715,WR,MOREHEAD,11,15.7,9,48.9,16.7,2,12,0,12.2,6,0.03,29,234,0,54.8,75.1,64.3,,64.9,0.0,0,0,68,0.0,0,369,1,41.7,43,94.9,350,1.4,5,94.5,88,5,98.6,364,692,229,5.3,16.1,1.98
Dylan Laube,88664,HB,NEW HAMP,10,1.8,23,77.3,100.0,2,2,0,6.8,5,0.07,31,240,1,73.2,79.3,81.6,57.3,90.5,0.0,0,2,80,11.8,50,423,0,46.2,68,85.6,362,11.3,48,117.0,88,7,2.8,12,708,701,10.3,10.4,1.96
Chris Domercant,165058,WR,STHLSK,10,15.9,3,43.2,17.6,3,17,0,7.3,3,-0.25,25,1470,0,70.3,79.8,70.6,,68.3,0.0,0,4,65,0.0,0,299,2,31.5,38,92.3,276,29.8,89,64.3,88,5,69.9,209,553,149,3.9,14.6,2.0
Sam Schnee,88668,WR,N IOWA,11,12.8,6,63.6,58.8,10,17,0,6.7,4,0.03,46,255,0,68.5,78.0,87.9,,89.0,0.6,2,9,66,0.0,0,355,0,45.2,56,96.1,341,89.0,316,86.9,88,6,10.4,37,1028,323,5.8,18.4,3.01
Ja'seem Reed,149619,WR,SAN DIEGO,10,13.3,5,63.6,52.6,10,19,0,1.8,1,-0.16,29,283,0,84.3,74.7,76.0,62.1,76.9,0.3,1,2,57,0.3,1,370,3,39.4,56,94.1,348,15.9,59,91.1,88,2,83.5,309,801,233,4.2,14.3,2.3
Kisean Johnson,141735,WR,ALABAMA ST,10,11.3,9,67.0,65.0,13,20,0,6.3,4,-0.07,28,105,2,74.7,30.0,76.1,,78.6,0.0,0,2,63,0.0,0,298,2,39.9,59,97.7,291,23.5,70,113.8,88,7,76.2,227,819,374,6.3,13.9,2.81
Isaiah Wooden,100230,WR,SO UTAH,11,13.1,10,68.2,35.7,5,14,0,6.3,4,0.18,43,298,0,76.2,49.6,81.2,,85.8,0.0,0,0,66,0.0,0,344,3,42.7,60,95.9,330,25.9,89,141.3,88,14,73.3,252,904,339,5.7,15.1,2.74
Solomon Davis,109517,WR,VALPO,11,12.6,4,56.3,30.8,4,13,1,10.9,6,-0.24,27,332,0,58.7,74.3,70.1,,68.9,0.3,1,2,53,0.0,0,371,2,33.0,49,94.9,352,21.0,78,93.4,87,6,78.2,290,646,269,5.5,13.2,1.84
Jarrod Barnes,61138,WR,CENT ARK,11,11.3,12,57.5,43.8,7,16,1,10.7,6,-0.01,29,132,3,59.5,26.5,60.0,,60.1,0.0,0,3,46,0.0,0,434,4,42.0,50,94.5,410,25.6,111,82.4,87,5,74.4,323,577,253,5.1,11.5,1.41
Kahtero Summers,109829,WR,RHODE ISLD,11,13.0,15,64.4,57.1,4,7,0,11.1,7,0.06,45,274,1,58.3,47.9,78.3,,77.9,0.0,0,1,70,0.0,0,418,0,45.2,56,95.2,398,12.7,53,123.1,87,6,87.3,365,1027,418,7.5,18.3,2.58
Javin Whatley,149832,WR,CHATTNOOGA,13,14.2,6,63.2,35.7,5,14,0,3.5,2,0.15,41,137,0,83.7,78.2,80.2,70.8,83.2,0.3,1,3,67,0.3,1,366,1,49.0,55,94.3,345,93.4,342,121.7,87,9,6.0,22,977,286,5.2,17.8,2.83
Eli Mirza,171752,WR,E ILLINOIS,11,9.6,8,70.1,25.0,3,12,1,6.2,4,0.07,36,158,1,67.4,60.0,72.0,62.1,74.0,0.5,2,3,38,0.3,1,380,4,42.7,61,93.2,354,95.8,364,91.8,87,3,2.9,11,713,344,5.6,11.7,2.01
Ryan Upp,150733,WR,MOREHEAD,11,11.4,9,65.5,20.0,2,10,0,1.7,1,-0.01,31,234,1,79.5,34.1,76.9,,79.6,0.0,0,2,80,0.0,0,378,1,40.9,57,93.9,355,97.9,370,122.4,87,9,1.9,7,853,378,6.6,15.0,2.4
Nick Laboy,148767,WR,CORNELL,10,12.1,8,68.2,61.1,11,18,0,4.9,3,0.05,37,147,0,79.7,74.6,71.4,,71.1,0.5,2,2,38,0.0,0,407,0,46.7,58,95.8,390,6.6,27,91.5,85,2,92.9,378,705,244,4.2,12.2,1.81
Jay Parker,78795,WR,W ILLINOIS,11,5.8,14,71.4,20.0,1,5,0,7.7,5,-0.24,31,345,2,69.8,42.3,66.5,,67.6,0.0,0,3,28,0.0,0,334,1,36.6,60,94.9,317,89.8,300,78.0,84,2,6.3,21,470,266,4.4,7.8,1.48
Benjamin Omayebu,147626,WR,TARLETON,11,6.7,10,75.0,40.0,2,5,0,7.4,5,0.0,32,401,1,71.1,50.9,75.3,,75.3,0.0,0,3,67,0.0,0,285,0,42.2,63,96.5,275,95.1,271,86.7,84,1,4.9,14,666,395,6.3,10.6,2.42
Izaiah Hartrup,134761,WR,S ILLINOIS,13,13.0,7,60.7,52.6,10,19,1,8.9,5,0.0,35,295,2,66.6,28.3,66.9,67.3,68.1,0.4,2,2,60,0.2,1,474,1,42.3,51,95.6,453,19.6,93,101.7,84,6,80.0,379,708,174,3.4,13.9,1.56
Harry Van Dyne,55247,WR,INDIANA ST,11,14.8,3,51.8,38.9,7,18,0,6.5,3,-0.35,30,191,0,73.7,74.8,69.9,,71.5,0.0,0,5,54,0.0,0,337,0,36.6,43,93.2,314,5.0,17,59.3,83,2,95.0,320,619,208,4.8,14.4,1.97
Cameron Young,120877,WR,ALAB A&M,11,7.5,6,65.1,38.5,5,13,0,6.9,4,-0.07,24,104,1,67.5,51.5,65.5,62.1,66.2,0.3,1,2,30,0.3,1,378,1,41.8,54,94.7,358,92.9,351,91.5,83,5,5.8,22,502,257,4.8,9.3,1.4
Bo Belquist,138230,WR,N DAKOTA,12,8.4,20,79.5,60.0,3,5,0,1.5,1,0.08,35,249,0,93.6,62.3,88.6,,89.0,0.4,1,2,41,0.0,0,270,0,45.4,66,97.0,262,64.8,175,119.3,83,6,34.4,93,768,393,6.0,11.6,2.93
Mason Tipton,109617,WR,YALE,10,17.1,2,63.4,63.6,7,11,0,3.7,2,0.08,37,352,0,83.0,74.4,82.6,,84.3,0.0,0,3,41,0.0,0,310,1,45.8,52,96.5,299,29.7,92,119.3,82,10,70.3,218,787,157,3.0,15.1,2.63
Dominic Kibby,162256,WR,PRESBYTERN,11,14.7,6,55.6,80.0,4,5,0,6.3,3,-0.15,24,271,1,74.4,75.9,68.0,,69.8,0.0,0,5,93,0.0,0,386,2,34.5,45,93.0,359,23.1,89,79.2,81,4,76.9,297,779,316,7.0,17.3,2.17
Aaron Fontes,86638,WR,MONTANA,14,11.1,10,63.0,50.0,7,14,0,8.9,5,0.01,32,232,1,65.9,23.9,68.7,,69.8,0.2,1,2,52,0.0,0,406,2,42.7,51,96.8,393,7.9,32,97.0,81,5,91.6,372,625,262,5.1,12.3,1.59
Connor Kennedy,143110,WR,LEHIGH,11,11.5,7,54.3,0.0,0,12,1,12.0,6,-0.25,25,205,0,51.4,74.0,65.0,63.1,67.5,0.0,0,5,32,0.3,1,361,5,35.9,44,94.7,342,67.6,244,61.8,81,4,31.9,115,461,166,3.8,10.5,1.35
Karl Reynolds,161429,WR,HOUCHR,10,14.1,10,58.0,44.0,11,25,0,4.1,2,-0.03,25,183,1,74.6,52.1,74.7,,76.3,0.0,0,5,52,0.0,0,289,4,39.0,47,94.1,272,6.2,18,83.2,81,6,93.8,271,657,158,3.4,14.0,2.42
Jadon Janke,78938,WR,S DAK ST,13,12.9,25,75.0,37.5,6,16,0,1.6,1,0.33,39,292,0,90.2,75.1,89.8,46.6,90.9,0.4,1,1,56,0.4,1,281,2,54.6,60,96.1,270,60.9,171,151.0,80,11,38.1,107,1005,409,6.8,16.8,3.72
Luke Colella,155372,WR,PRINCETON,10,12.4,2,58.8,38.1,8,21,0,11.3,6,-0.11,28,272,1,58.1,45.6,67.5,,68.5,0.3,1,0,75,0.0,0,333,3,37.0,47,95.8,319,36.9,123,108.7,80,6,62.8,209,627,197,4.2,13.3,1.97
Cyrus Wallace,164091,WR,IDAHO ST,11,11.6,2,59.5,62.5,10,16,0,9.6,5,-0.07,25,186,0,63.8,73.6,55.9,,58.2,0.0,0,5,40,0.0,0,574,2,41.1,47,94.4,542,17.2,99,73.1,79,4,82.8,475,587,98,2.1,12.5,1.08
Blayne Taylor,165697,WR,ABILENE CH,11,15.1,2,51.9,30.0,6,20,0,12.8,6,-0.09,32,100,0,53.1,73.3,72.4,,74.7,0.0,0,0,75,0.0,0,310,1,40.9,41,97.7,303,15.5,48,107.4,79,7,84.5,262,616,186,4.5,15.0,2.03
Jaxon Janke,78939,WR,S DAK ST,14,12.9,21,62.0,54.5,6,11,0,9.3,5,0.33,38,292,0,64.8,74.4,80.1,,81.5,0.3,1,1,60,0.0,0,306,1,55.7,49,94.8,290,12.4,38,105.8,79,4,86.9,266,767,352,7.2,15.7,2.64
Devron Harper,102587,WR,MERCER,13,6.0,9,73.4,0.0,0,3,0,6.5,4,0.04,25,219,1,75.3,39.1,67.6,,69.6,0.0,0,2,50,0.0,0,319,0,42.2,58,94.4,301,50.8,162,91.4,79,2,47.6,152,574,407,7.0,9.9,1.91
Giancarlo Woods,142801,WR,CAL POLY,10,9.6,9,64.1,21.4,3,14,0,5.7,3,-0.14,28,129,0,76.0,74.1,67.7,61.1,69.1,0.0,0,1,37,0.3,1,327,0,41.1,50,95.4,312,6.7,22,93.9,78,4,93.3,305,499,179,3.6,10.0,1.6
Jamie Lamson,104947,WR,MAINE,11,10.6,4,64.1,53.8,7,13,0,9.1,5,-0.02,32,212,0,65.5,73.9,71.3,,71.0,0.3,1,3,49,0.0,0,338,0,45.2,50,95.6,323,23.4,79,95.3,78,6,76.0,257,565,201,4.0,11.3,1.75
Re-al Mitchell,77670,WR,SAN DIEGO,8,3.6,13,70.5,20.0,1,5,0,5.2,3,0.0,19,283,1,83.7,34.2,74.4,,75.0,0.0,0,3,61,0.0,0,254,1,42.7,55,92.1,234,78.3,199,78.2,78,2,16.1,41,464,448,8.1,8.4,1.98
Keelan White,105718,WR,MONTANA,15,11.2,8,70.5,37.5,6,16,0,6.8,4,0.02,35,232,0,73.7,74.3,71.9,,72.3,0.0,0,3,97,0.0,0,481,1,43.2,55,95.2,458,12.7,61,105.2,78,4,87.3,420,811,313,5.7,14.7,1.77
Carlos Hill,161648,WR,SACRAMENTO,13,10.6,13,66.7,60.0,6,10,0,7.1,4,0.22,30,279,0,71.9,74.3,74.5,,76.3,0.0,0,2,69,0.0,0,297,1,49.8,52,96.6,287,98.0,291,106.3,78,5,2.0,6,710,384,7.4,13.7,2.47
Tre Shackelford,149111,WR,AUSTINPEAY,12,14.0,5,66.2,31.6,6,19,0,7.3,4,0.06,27,116,0,71.2,73.9,71.3,,71.5,0.0,0,0,69,0.0,0,360,3,39.0,51,93.3,336,10.3,37,126.4,77,6,89.7,323,798,238,4.7,15.6,2.38
Bradley Clark,88749,WR,TENN TECH,11,12.6,2,54.5,60.0,9,15,0,10.6,5,-0.31,24,309,0,61.8,73.3,63.1,62.1,63.6,0.0,0,6,31,0.3,1,398,4,35.4,42,93.5,372,12.3,49,45.0,77,1,87.7,349,474,102,2.4,11.3,1.27
Coleman Owen,104969,WR,N ARIZONA,11,9.7,9,71.1,33.3,3,9,0,5.3,3,-0.02,29,252,0,77.6,81.0,78.0,,78.4,0.0,0,4,49,0.0,0,272,1,44.0,54,94.5,257,77.2,210,96.9,76,5,22.1,60,650,278,5.1,12.0,2.53
Joshua Youngblood,99552,WR,DELAWARE,13,13.6,6,57.9,54.5,12,22,0,4.3,2,0.04,29,151,0,80.2,52.6,73.2,,74.9,0.0,0,2,49,0.0,0,343,3,45.4,44,95.0,326,12.5,43,98.8,76,7,87.5,300,524,106,2.4,11.9,1.61
Carter Bell,104995,WR,S DAKOTA,13,13.0,4,67.1,33.3,1,3,0,5.6,3,0.18,37,291,1,77.2,67.5,80.8,61.0,82.3,0.0,0,3,63,0.3,1,305,0,48.5,51,95.7,292,32.8,100,112.6,76,5,66.9,204,895,387,7.6,17.5,3.07
Dawson Snyder,109579,WR,ST FRANCIS,10,12.9,6,56.6,53.8,7,13,0,6.5,3,0.07,32,299,0,72.7,73.7,74.6,,75.5,0.0,0,6,77,0.0,0,310,0,43.1,43,95.8,297,7.7,24,77.7,76,5,92.3,286,719,310,7.2,16.7,2.42
Cam Grandy,134552,TE,ILL STATE,11,6.1,11,85.1,71.4,5,7,2,1.6,1,0.19,40,188,0,90.4,74.8,81.1,69.0,86.2,44.3,174,0,32,10.9,43,393,6,49.3,63,86.3,339,54.5,214,114.9,74,3,0.3,1,617,289,4.6,9.8,1.82
Karim Page,168342,WR,GARD-WEBB,12,13.1,0,50.0,37.5,3,8,0,14.0,6,-0.17,21,171,0,50.6,72.7,58.4,,58.8,0.0,0,2,62,0.0,0,427,0,34.6,37,95.6,408,8.9,38,67.5,74,3,90.9,388,381,96,2.6,10.3,0.93
Aidan Twombly,139127,TE,VA MILT IN,11,12.5,0,52.1,66.7,6,9,0,9.5,4,-0.25,27,336,0,63.1,72.7,64.2,67.1,70.0,26.9,101,4,38,6.4,24,375,4,37.8,38,87.7,329,70.7,265,68.2,73,3,1.3,5,558,114,3.0,14.7,1.7
