player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Paxton DeLaurent,159618,QB,SE MO ST,13,69.1,592,618,9.4,2.53,2,27,4.2,59.2,366,0,162,10.5,657,43,0.03,215,293,65.0,88.3,84.8,71.2,2,15,688,0,43.2,11.7,86.4,2.9,19,20,3,19,33,18,2.6,4044,6.5
Zach Calzada,98006,QB,INCAR WORD,14,73.3,501,534,9.2,2.82,4,23,4.1,65.0,347,0,147,5.4,586,20,0.09,182,189,74.3,74.9,71.5,73.3,2,9,613,10,44.9,12.2,100.6,3.1,18,34,1,26,35,14,2.3,3789,7.1
Miles Hastings,103943,QB,UC DAVIS,14,79.1,493,525,7.8,2.55,10,14,2.6,70.5,370,0,125,5.1,562,20,0.21,226,322,76.0,87.9,87.4,59.5,2,13,586,4,52.3,21.6,110.3,4.8,27,10,2,18,38,17,2.9,4490,8.6
Maverick McIvor,99476,QB,ABILENE CH,13,73.5,468,497,9.3,2.65,5,20,3.9,62.6,311,0,127,9.6,523,33,0.23,183,100,59.1,90.9,90.5,59.1,5,7,543,1,46.5,14.2,100.5,3.4,18,8,4,15,30,10,1.8,3814,7.7
Kobe Tracy,141317,QB,IDAHO ST,12,67.0,409,434,10.4,2.66,3,20,4.3,60.1,261,0,119,4.7,459,13,0.1,155,186,56.7,72.1,73.7,49.7,3,10,488,1,47.3,7.6,90.4,2.0,9,15,1,18,24,18,3.7,3061,7.1
Derek Robertson,142298,QB,MONMOUTH,12,72.7,417,432,10.7,2.11,4,30,6.6,65.5,283,0,75,6.6,451,20,0.37,182,231,66.6,91.3,90.9,54.8,0,6,475,1,52.3,14.7,112.9,2.4,11,7,0,11,31,9,1.9,3947,9.1
Carson Conklin,170765,QB,SACRAMENTO,12,72.7,384,424,8.6,2.7,10,19,4.3,62.0,263,0,110,5.7,454,16,0.02,149,279,53.2,72.9,73.5,49.0,0,8,473,1,46.9,11.8,96.5,2.9,13,17,1,29,28,13,2.7,2909,6.9
Draylen Ellis,121346,QB,TENN STATE,13,72.5,386,416,8.6,2.57,8,18,4.1,62.0,258,0,145,7.9,462,22,0.08,140,308,70.1,70.7,68.5,66.1,2,8,487,6,43.1,18.6,95.4,5.8,27,18,0,20,24,13,2.7,3038,7.3
Pierce Holley,108981,QB,E ILLINOIS,12,71.2,382,411,10.6,2.68,8,22,5.1,60.1,247,1,157,9.2,464,25,-0.01,141,158,66.9,73.0,72.6,56.8,4,14,484,6,44.0,24.8,84.5,8.4,39,14,1,16,19,23,4.8,3074,7.5
Luke Bailey,143172,QB,DRAKE,12,75.9,378,409,7.0,2.8,6,16,3.7,65.8,269,0,103,6.3,437,18,0.03,141,153,79.4,77.7,79.2,47.3,4,9,460,2,48.5,10.7,89.1,2.5,11,16,0,21,17,11,2.4,2697,6.6
Adam Urena,186682,QB,MERCYHURST,11,77.2,373,403,7.0,2.43,7,13,3.1,66.3,267,1,125,7.3,438,21,0.13,150,977,41.5,73.6,76.6,32.6,6,5,458,6,46.8,20.8,106.2,5.9,26,7,1,16,31,14,3.1,2754,6.8
Nathan Lamb,98020,QB,W ILLINOIS,12,70.9,382,402,9.1,2.69,7,13,3.0,64.9,261,0,178,3.7,465,10,0.23,163,345,66.2,78.7,75.2,70.9,7,8,493,3,48.6,14.0,98.4,5.4,25,37,0,6,20,14,2.8,3276,8.1
Quincy Crittendon,149944,QB,SAMFORD,11,78.1,374,395,7.1,2.53,5,11,2.7,69.6,275,0,96,5.8,444,17,-0.1,131,282,63.0,77.7,72.4,73.6,2,12,460,1,44.4,26.0,91.1,5.6,25,21,1,13,18,25,5.4,2702,6.8
Richie Munoz,173668,QB,WEBER ST,12,69.7,363,393,9.1,2.43,11,23,5.7,60.1,236,0,103,6.7,443,17,0.0,120,342,49.2,71.4,72.4,55.0,5,6,458,4,41.8,14.6,93.4,3.4,15,30,0,14,24,13,2.8,2571,6.5
Seth Morgan,103954,QB,NEW HAMP,12,70.1,368,389,8.5,2.6,8,14,3.5,63.0,245,0,123,5.0,426,13,-0.09,116,240,61.0,65.9,63.4,67.1,2,8,444,1,40.8,18.7,90.4,5.4,23,13,1,10,22,17,3.8,2383,6.1
Tommy Rittenhouse,148028,QB,ILL STATE,14,72.8,372,389,8.4,2.61,5,12,3.0,66.3,258,0,102,4.8,430,13,0.16,140,188,65.3,83.7,80.1,73.1,1,7,443,2,49.3,15.7,94.9,3.7,16,24,0,11,17,9,2.0,2843,7.3
Jake Willcox,148649,QB,BROWN,10,71.4,357,385,8.7,2.68,3,15,3.6,63.6,245,0,116,3.9,447,10,0.02,128,123,61.2,68.9,66.1,63.8,5,13,475,0,45.4,15.5,77.6,4.0,18,43,2,18,11,16,3.4,2497,6.5
Ron Peace,186224,QB,TXAMEA,12,65.1,352,382,10.3,2.51,6,23,5.8,56.5,216,0,122,5.7,427,13,-0.17,123,1139,31.0,59.9,58.6,60.7,12,14,447,2,38.6,21.3,75.6,6.1,26,16,1,11,16,22,4.9,2537,6.6
Jacob Clark,101628,QB,MO STATE,12,79.4,364,379,8.0,2.79,3,21,5.3,69.1,262,0,169,9.3,455,27,0.23,175,230,54.1,90.4,90.2,62.9,4,6,472,1,49.0,24.3,115.8,9.0,41,33,2,6,26,14,3.0,3621,9.6
Jameson Wang,148782,QB,CORNELL,10,72.2,360,379,8.6,2.74,5,18,4.6,63.6,241,0,91,7.3,420,19,0.09,136,147,83.8,74.1,70.9,70.3,2,11,437,4,44.0,8.8,91.9,1.9,8,33,1,11,24,17,3.9,2533,6.7
Pat McQuaide,145792,QB,NICHOLLS,12,66.8,352,371,8.2,2.51,2,10,2.6,57.7,214,0,115,8.9,431,21,-0.19,104,243,71.2,62.9,64.0,49.6,4,10,453,3,36.7,26.1,76.3,7.0,30,29,0,13,14,9,2.0,2210,6.0
Ralph Rucker IV,144625,QB,BUCKNELL,11,73.0,352,367,10.8,2.7,6,14,3.6,66.8,245,0,148,4.7,442,12,0.07,151,125,54.8,77.2,75.9,62.8,4,7,473,1,46.8,28.4,104.6,9.5,42,30,0,5,25,17,3.6,2827,7.7
Brady Olson,147415,QB,CENT CT ST,13,61.4,350,363,9.8,2.59,2,17,4.4,51.0,185,0,102,14.0,401,30,-0.13,121,133,40.2,57.1,58.4,51.3,0,12,422,3,39.9,9.8,72.1,2.5,10,27,1,10,17,16,3.8,2238,6.2
Cam Miller,125299,QB,N DAK ST,16,77.7,346,354,10.2,2.85,2,21,5.5,72.9,258,0,100,4.1,413,11,0.42,177,250,79.1,92.7,91.8,77.8,1,4,439,1,57.9,22.0,127.4,5.3,22,37,3,2,33,10,2.3,3247,9.2
Dean DeNobile,159740,QB,LAFAYETTE,12,73.0,330,353,10.4,2.69,5,18,4.9,64.6,228,1,96,5.4,391,13,-0.01,112,203,59.1,70.6,71.6,54.4,6,12,406,4,44.8,25.0,83.6,6.1,24,13,1,11,14,10,2.5,2429,6.9
Brady Meitz,149729,QB,STETSON,8,68.7,323,347,9.7,2.34,4,18,5.0,56.2,195,0,105,12.2,367,27,-0.08,110,302,57.3,73.7,75.4,38.8,4,16,385,3,40.9,11.4,73.2,3.3,12,7,3,13,17,17,4.4,2261,6.5
Tyler Riddell,102355,QB,GARD-WEBB,12,70.7,317,346,8.1,2.85,4,15,4.1,62.4,216,0,114,3.6,387,8,0.12,133,171,50.0,68.0,71.8,47.8,4,11,408,7,43.9,16.7,87.1,4.9,19,21,0,21,16,11,2.7,2556,7.4
Connor Watkins,108971,QB,VILLANOVA,14,60.8,324,344,10.9,2.74,5,10,2.7,51.5,177,0,133,10.2,402,20,-0.05,108,334,60.6,61.6,52.9,74.9,7,5,427,1,39.3,24.8,76.9,8.2,33,22,0,8,13,9,2.1,2093,6.1
Mark Gronowski,138303,QB,S DAK ST,15,70.1,314,340,9.0,2.74,2,19,5.4,60.6,206,1,109,6.4,378,14,0.16,130,292,83.1,83.1,76.8,76.3,4,7,394,1,46.3,6.4,99.8,1.9,7,30,3,17,23,7,1.8,2717,8.0
Austin Smith,145763,QB,AUSTINPEAY,12,73.4,320,340,7.7,2.77,5,12,3.4,62.6,213,0,140,9.4,416,22,-0.13,103,116,69.5,68.8,62.5,72.7,5,7,428,2,38.7,27.9,89.3,9.4,39,37,0,10,15,10,2.3,2359,6.9
Daniel Richardson,97103,QB,FL A&M,12,77.6,321,336,8.5,2.63,1,17,4.7,69.9,235,0,109,5.6,374,14,0.17,133,164,36.6,80.8,82.4,49.1,6,8,400,4,47.3,20.2,106.9,5.9,22,16,1,7,23,17,4.3,2711,8.1
Eli Sawyer,141870,QB,SE LA,12,71.2,306,335,7.1,2.28,9,4,1.1,61.2,205,0,91,6.0,368,13,-0.22,96,294,64.0,62.3,59.5,70.0,4,8,391,2,38.6,22.0,77.7,5.4,20,7,2,14,12,13,3.3,1818,5.4
Cole Gonzales,159939,QB,W CAROLINA,8,69.1,317,334,8.9,2.65,7,15,4.2,61.7,206,0,102,5.9,383,13,0.13,123,344,58.5,69.5,68.1,62.4,1,7,406,1,46.7,17.6,88.5,4.7,18,30,2,7,12,14,3.4,2545,7.6
Mekhi Hagens,167009,QB,ARKAPB,12,65.1,295,331,11.0,3.19,6,21,5.9,52.3,173,0,160,9.9,397,19,-0.07,112,112,50.1,71.7,65.3,76.4,4,7,424,3,38.5,23.8,84.7,9.6,38,27,0,26,16,16,3.8,2521,7.6
Sonny Mannino,166694,QB,MARIST,11,64.8,298,326,9.5,2.99,7,17,4.9,53.7,175,0,136,9.3,393,18,-0.11,106,213,65.0,68.9,60.7,79.2,3,6,416,3,38.4,15.4,76.4,5.3,21,43,0,18,14,13,3.1,1791,5.5
Carter Peevy,129563,QB,MAINE,12,74.0,300,326,9.0,2.93,5,16,4.6,66.0,215,0,128,3.2,385,7,0.09,124,212,53.6,73.3,77.3,49.8,0,5,406,4,45.7,24.2,100.4,8.1,31,28,1,20,18,10,2.5,2449,7.5
Grant Sergent,108937,QB,SAN DIEGO,11,67.2,305,323,11.5,2.79,1,25,7.4,59.4,192,0,113,6.3,374,13,0.03,121,283,44.6,82.7,85.7,41.9,3,5,392,5,43.3,26.5,102.9,8.0,30,20,1,13,26,8,2.0,2399,7.4
Kinkead Dent,99132,QB,TENN MARTN,14,69.7,300,323,10.6,2.85,4,21,6.4,58.2,188,0,143,10.0,365,21,0.14,111,310,43.4,79.6,75.4,74.3,6,7,373,3,42.7,14.0,95.5,5.5,20,22,0,13,21,13,3.5,2502,7.7
Beau Brungard,164897,QB,YNGTOWN ST,12,72.3,300,321,8.7,3.22,7,8,2.4,65.7,211,0,128,2.8,407,6,0.21,148,353,68.6,82.0,65.7,88.0,1,11,416,2,48.2,15.6,83.0,4.9,20,64,4,9,12,15,3.6,2152,6.7
Matt Morrissey,148177,QB,E KENTUCKY,13,68.2,292,317,8.8,3.0,5,9,2.6,58.0,184,0,132,7.5,368,15,-0.04,113,159,68.3,68.3,61.7,73.4,9,8,399,0,42.4,15.9,82.0,5.7,21,29,0,11,14,15,3.8,2081,6.6
