player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Nichel Herron,12538,LB,ALCORN ST,11,0,0,107,59.5,,,,,,52.0,,,28.1,0,1,0,26,1,0,33,10,0
LeCharles Pringle,12613,WR,ALCORN ST,7,0,0,107,,,,59.4,,,66.3,61.0,,69.8,0,0,0,0,0,14,8,2,1
Taurence Wilson,12965,CB,ALCORN ST,9,0,0,107,59.5,,,,,,66.4,,,76.1,0,0,0,30,0,0,0,32,0
Vincent Perry,13408,WR,TENN STATE,3,0,0,308,,,,62.8,,,62.5,,,70.3,0,0,0,0,5,11,0,3,0
Uzoma Okere,13603,G,INCAR WORD,3,0,0,189,,,67.8,,,,63.0,,,62.9,0,0,14,0,0,0,0,0,0
Felix Harper,13753,QB,ALCORN ST,4,0,0,107,,,,,,,60.0,,63.1,65.7,0,0,0,0,0,0,4,0,0
Joshua Carter,19821,CB,SAMFORD,11,2,1,282,59.2,,,,,,53.0,,,35.8,2,1,0,40,44,29,46,0,0
Armond Lloyd,19822,DI,SAMFORD,9,0,0,282,58.5,,,,,,58.9,,,67.4,0,0,0,37,0,0,0,2,0
Coutrell Plair,20191,CB,SAMFORD,7,1,0,282,59.4,,,,,,58.7,,,72.2,1,0,0,37,31,1,0,4,0
Tru Wilson,21456,HB,N COLORADO,2,0,0,253,,,,,,,60.2,,,66.2,0,0,0,0,0,2,0,0,0
Rashun Freeman,21870,CB,CHATTNOOGA,11,0,0,137,60.0,,,,,,64.5,,,66.6,0,0,0,29,0,0,0,26,0
Timothy Mccloyn II,21934,FB,ILL STATE,1,0,0,188,,,60.0,,,,60.0,,,65.4,0,0,3,0,0,6,0,0,0
