player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Eric Goins,24577,K,NOTRE DAME,9,0,0,258,,60.0,,,69.8,,63.5,,,77.5,0,0,1,0,63,0,0,0,1
Cam McCormick,41982,TE,MIAMI FL,13,0,0,220,,,78.2,,,,59.2,,,29.3,0,1,86,0,0,66,26,0,1
Mason White,43872,CB,OREGON ST,12,0,0,265,90.7,,,,,,83.6,,,75.3,1,0,0,17,58,0,6,25,1
Skip Velotta,51815,S,LSU,4,0,0,211,,,,,,,62.0,,,67.3,0,0,0,0,6,0,0,0,0
Bentley Hanshaw,51984,TE,LIBERTY,9,0,0,206,,,72.6,,,,68.4,,,65.5,0,0,43,0,0,1,35,0,1
Noah Taylor,52348,LB,NWESTERN,9,0,0,256,60.0,,,,,,70.7,,,75.0,0,0,0,2,29,22,0,24,1
Marshall Lang,52369,TE,NWESTERN,12,0,0,256,,,72.9,,,,67.8,,,66.8,0,0,45,0,1,9,4,0,0
Jakob James,52540,C,TOLEDO,4,0,0,316,,,69.1,,,,63.3,,,64.3,0,0,17,0,0,0,0,0,0
Joe Royer,52545,TE,CINCINNATI,11,0,0,138,,,74.0,,,,56.7,,,28.3,0,1,50,0,0,0,11,0,0
Zaid Hamdan,52925,DI,KENT STATE,12,0,0,201,57.7,,60.0,,,,62.3,,,30.7,2,1,4,37,0,39,78,22,3
Michael McCalmont,52962,TE,CINCINNATI,12,0,0,138,,,75.0,,,,65.7,,,73.4,0,0,57,0,0,60,0,0,0
Nick Presley,53372,WR,BALL ST,11,0,0,117,,,,,,,68.6,,,77.1,2,0,0,0,2,36,37,6,2
Eric Meeks,53398,G,MARSHALL,12,0,0,214,,,60.0,,,,55.6,,,69.6,0,0,2,0,0,43,51,0,0
DeShawn Pace,53549,LB,UCF,12,0,0,323,59.6,,,,,,59.3,,,37.2,0,1,0,50,19,0,36,6,2
Eric Phillips,53572,ED,CINCINNATI,12,0,0,138,58.3,,,,,,59.1,,,68.0,0,0,0,38,0,0,0,7,0
