rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
1,Ohio St.,ohiostate,26.1,38.0,12.0
2,Alabama,alabama,25.5,39.3,13.7
3,Georgia,georgia,24.2,37.7,13.5
4,Penn St.,pennstate,24.2,38.8,14.6
5,Texas,texas,23.1,33.7,10.7
6,Notre Dame,notredame,22.0,36.8,14.8
7,Oregon,oregon,22.0,38.5,16.6
8,Michigan,michigan,20.9,31.5,10.6
9,Ole Miss,olemiss,20.7,35.2,14.5
10,Clemson,clemson,20.2,38.4,18.2
11,LSU,lsu,20.1,39.7,19.6
12,Tennessee,tennessee,19.4,31.9,12.5
13,Texas A&M,texasam,18.3,35.4,17.1
14,Miami,miamifl,18.1,42.7,24.6
15,Oklahoma,oklahoma,17.5,33.8,16.2
16,Florida,florida,16.2,34.9,18.7
17,S. Carolina,southcarolina,16.0,33.2,17.2
18,Kansas St.,kansasstate,15.3,35.5,20.2
19,SMU,smu,14.6,38.0,23.5
20,Missouri,missouri,14.0,31.5,17.5
21,USC,usc,13.2,37.3,24.1
22,Auburn,auburn,13.1,30.1,17.0
23,Indiana,indiana,12.5,32.2,19.7
24,Louisville,louisville,12.3,36.7,24.4
25,Iowa,iowa,12.1,27.2,15.1
26,Utah,utah,12.1,28.8,16.7
27,Illinois,illinois,11.8,31.0,19.2
28,TCU,tcu,11.7,35.1,23.4
29,Texas Tech,texastech,11.6,38.2,26.6
30,Arizona St.,arizonastate,11.3,32.1,20.8
31,Iowa St.,iowastate,10.6,31.3,20.8
32,Nebraska,nebraska,10.3,27.0,16.7
33,Boise St.,boisestate,10.0,35.9,25.9
34,Arkansas,arkansas,9.7,32.4,22.7
35,Baylor,baylor,9.4,35.5,26.2
36,BYU,byu,9.3,29.4,20.1
37,Washington,washington,9.0,30.1,21.1
38,Wisconsin,wisconsin,8.9,27.4,18.4
39,Florida St.,floridastate,8.7,28.5,19.8
40,Minnesota,minnesota,7.1,23.4,16.3
41,Ga. Tech,georgiatech,7.1,33.6,26.5
42,Va. Tech,virginiatech,6.9,30.0,23.1
43,Duke,duke,6.6,27.8,21.2
44,Kentucky,kentucky,6.5,26.4,19.9
45,Tulane,tulane,5.9,33.0,27.0
46,NC St.,ncstate,5.7,31.7,25.9
47,Rutgers,rutgers,5.4,29.3,23.9
48,Kansas,kansas,5.2,33.1,27.9
49,Colorado,colorado,5.1,31.1,26.0
50,UCLA,ucla,4.9,27.6,22.6
51,Pittsburgh,pittsburgh,4.7,30.6,25.9
52,Memphis,memphis,4.2,34.9,30.7
53,N. Carolina,northcarolina,4.1,32.0,27.9
54,Vanderbilt,vanderbilt,3.8,28.4,24.6
55,Syracuse,syracuse,3.3,31.6,28.3
56,JMU,jamesmadison,2.6,29.0,26.4
57,Oklahoma St.,oklahomastate,2.3,31.6,29.3
58,UCF,ucf,2.2,28.7,26.4
59,Cincinnati,cincinnati,2.2,26.3,24.1
60,WVU,westvirginia,2.0,30.4,28.4
61,Arizona,arizona,1.8,29.4,27.6
62,Boston Coll.,bostoncollege,1.6,27.5,25.9
63,Houston,houston,1.5,24.6,23.1
64,California,california,1.2,26.5,25.3
65,Michigan St.,michiganstate,1.1,22.3,21.1
66,Miss. St.,mississippistate,0.7,28.5,27.9
67,Maryland,maryland,0.4,25.0,24.6
68,UTSA,utsa,0.3,34.0,33.7
69,Army,army,-0.2,24.7,24.9
70,Navy,navy,-0.2,28.1,28.3
71,Toledo,toledo,-1.2,26.3,27.5
72,Liberty,liberty,-1.3,27.3,28.6
73,UNLV,unlv,-1.8,28.2,29.9
