rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
1,Georgia,georgia,29.2,40.2,10.9
2,Ohio St.,ohiostate,29.0,44.4,15.4
3,Michigan,michigan,28.6,40.1,11.5
4,Alabama,alabama,28.1,42.9,14.8
5,LSU,lsu,23.3,39.2,15.9
6,Penn St.,pennstate,23.2,36.0,12.8
7,Clemson,clemson,22.9,37.1,14.2
8,Tennessee,tennessee,22.4,43.1,20.7
9,Texas,texas,22.2,38.3,16.1
10,USC,usc,20.9,43.5,22.6
11,Notre Dame,notredame,19.9,35.3,15.4
12,Florida St.,floridastate,19.1,35.7,16.6
13,Oregon,oregon,19.0,41.7,22.8
14,Utah,utah,18.8,38.2,19.4
15,Oklahoma,oklahoma,18.8,40.0,21.2
16,Texas A&M,texasam,18.5,29.5,11.0
17,Washington,washington,17.2,39.9,22.7
18,Ole Miss,olemiss,17.1,36.9,19.8
19,Wisconsin,wisconsin,16.1,30.5,14.3
20,Kansas St.,kansasstate,14.5,34.8,20.3
21,TCU,tcu,14.5,36.5,22.0
22,Iowa,iowa,14.0,22.9,8.9
23,Florida,florida,13.7,35.5,21.8
24,Kentucky,kentucky,13.4,26.6,13.2
25,N. Carolina,northcarolina,12.9,37.0,24.1
26,Auburn,auburn,12.8,32.0,19.2
27,Minnesota,minnesota,12.8,27.1,14.2
28,UCLA,ucla,12.5,37.3,24.8
29,Miss. St.,mississippistate,12.4,33.6,21.2
30,Arkansas,arkansas,12.1,36.3,24.3
31,Oregon St.,oregonstate,11.8,32.5,20.7
32,Texas Tech,texastech,11.5,37.0,25.5
33,S. Carolina,southcarolina,11.3,36.1,24.8
34,Baylor,baylor,10.9,33.9,23.0
35,Missouri,missouri,10.5,27.8,17.3
36,Pittsburgh,pittsburgh,10.3,32.1,21.8
37,Miami,miamifl,10.0,28.5,18.5
38,Oklahoma St.,oklahomastate,9.8,34.1,24.2
39,UCF,ucf,9.6,31.2,21.7
40,Louisville,louisville,9.5,28.1,18.7
41,Maryland,maryland,9.3,28.9,19.6
42,NC St.,ncstate,9.2,26.8,17.6
43,Illinois,illinois,9.0,22.7,13.7
44,Tulane,tulane,7.3,33.2,25.9
45,Wake Forest,wakeforest,6.8,31.8,25.1
46,Michigan St.,michiganstate,6.3,26.5,20.2
47,SMU,smu,6.0,36.2,30.2
48,Boise St.,boisestate,5.8,27.3,21.5
49,Iowa St.,iowastate,5.6,21.5,15.9
50,Duke,duke,5.6,29.1,23.6
51,BYU,byu,5.1,31.4,26.3
52,Memphis,memphis,4.9,33.4,28.4
53,Cincinnati,cincinnati,4.9,23.9,19.0
54,Wash. St.,washingtonstate,4.6,27.1,22.5
55,Syracuse,syracuse,4.3,26.3,21.9
56,UTSA,utsa,4.3,32.3,28.1
57,Houston,houston,4.3,35.5,31.3
58,Purdue,purdue,4.0,27.7,23.7
59,Nebraska,nebraska,3.7,25.4,21.7
60,WVU,westvirginia,2.6,31.1,28.5
61,California,california,1.9,24.6,22.7
62,Kansas,kansas,1.9,33.3,31.4
63,Fresno St.,fresnostate,1.8,23.9,22.1
64,Troy,troy,1.3,22.3,21.0
65,S. Alabama,southalabama,1.0,25.0,24.0
66,JMU,jamesmadison,0.8,26.9,26.1
67,Arizona,arizona,-0.8,34.0,34.8
68,Coastal Caro.,coastalcarolina,-0.8,29.0,29.8
69,Arizona St.,arizonastate,-1.0,28.6,29.5
70,Air Force,airforce,-1.6,14.6,16.2
71,Toledo,toledo,-1.6,25.9,27.5
72,Va. Tech,virginiatech,-2.4,20.5,22.9
73,Marshall,marshall,-3.5,19.1,22.6
74,App. St.,appalachianstate,-4.4,27.0,31.3
75,Ga. Tech,georgiatech,-5.4,19.8,25.2
76,Vanderbilt,vanderbilt,-5.5,26.5,31.9
77,Rutgers,rutgers,-5.7,18.7,24.4
