rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
1,Alabama,alabama,32.2,45.1,12.9
2,Georgia,georgia,30.5,41.7,11.3
3,Ohio St.,ohiostate,29.7,47.9,18.1
4,Oklahoma,oklahoma,22.5,41.9,19.4
5,Clemson,clemson,21.4,32.4,10.9
6,Michigan,michigan,21.4,39.9,18.6
7,Notre Dame,notredame,21.0,35.7,14.7
8,Texas A&M,texasam,19.5,32.2,12.7
9,Ole Miss,olemiss,17.9,36.8,18.9
10,Tennessee,tennessee,17.3,42.9,25.6
11,Kentucky,kentucky,16.8,33.3,16.6
12,Utah,utah,16.5,38.2,21.7
13,Penn St.,pennstate,16.5,30.2,13.7
14,Arkansas,arkansas,16.3,35.2,18.9
15,Michigan St.,michiganstate,16.1,35.5,19.4
16,Cincinnati,cincinnati,16.1,36.2,20.1
17,Wisconsin,wisconsin,15.6,28.9,13.3
18,NC St.,ncstate,15.4,32.7,17.3
19,Oklahoma St.,oklahomastate,14.9,34.8,19.8
20,Miss. St.,mississippistate,14.7,33.2,18.5
21,Auburn,auburn,14.4,32.1,17.7
22,Texas,texas,14.4,38.6,24.2
23,Pittsburgh,pittsburgh,14.4,39.2,24.9
24,Oregon,oregon,14.3,35.5,21.2
25,BYU,byu,13.9,34.0,20.1
26,Florida,florida,13.8,35.1,21.2
27,Iowa,iowa,13.3,28.2,15.0
28,LSU,lsu,13.2,32.7,19.5
29,Miami,miamifl,13.2,36.2,22.9
30,Baylor,baylor,12.9,30.1,17.1
31,Minnesota,minnesota,12.4,28.7,16.3
32,Houston,houston,10.3,34.0,23.7
33,Kansas St.,kansasstate,10.0,29.6,19.5
34,Purdue,purdue,9.9,30.7,20.8
35,Boise St.,boisestate,9.9,27.1,17.2
36,UCLA,ucla,9.8,36.7,26.9
37,S. Carolina,southcarolina,9.4,29.0,19.6
38,N. Carolina,northcarolina,9.4,36.4,27.1
39,Louisville,louisville,9.3,33.3,24.0
40,UCF,ucf,8.5,32.2,23.8
41,TCU,tcu,8.4,36.3,27.8
42,Florida St.,floridastate,8.4,30.3,21.8
43,SMU,smu,8.4,36.5,28.1
44,Nebraska,nebraska,8.3,29.4,21.1
45,Fresno St.,fresnostate,7.9,31.2,23.3
46,USC,usc,7.2,33.8,26.6
47,Wake Forest,wakeforest,7.0,38.0,31.0
48,Iowa St.,iowastate,6.9,30.2,23.3
49,Texas Tech,texastech,6.3,32.6,26.3
50,Missouri,missouri,5.9,32.5,26.6
51,Arizona St.,arizonastate,5.8,27.0,21.2
52,UTSA,utsa,5.8,34.8,29.0
53,Air Force,airforce,4.9,28.1,23.3
54,Maryland,maryland,4.1,33.9,29.8
55,App. St.,appalachianstate,4.1,30.3,26.2
56,Oregon St.,oregonstate,3.8,28.8,25.0
57,Washington,washington,3.6,24.1,20.5
58,W. Virginia,westvirginia,3.3,27.8,24.5
