rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
1,Georgia,georgia,34.2,46.2,12.0
2,Ohio St.,ohiostate,30.8,35.7,4.9
3,Oregon,oregon,29.0,47.1,18.1
4,Alabama,alabama,27.8,42.7,14.9
5,Texas,texas,27.7,44.4,16.8
6,Penn St.,pennstate,26.1,35.8,9.7
7,Michigan,michigan,25.0,31.9,6.9
8,Ole Miss,olemiss,24.7,42.9,18.3
9,Notre Dame,notredame,23.4,39.0,15.6
10,LSU,lsu,23.1,46.3,23.2
11,Missouri,missouri,22.2,40.7,18.5
12,Florida St.,floridastate,19.9,36.2,16.2
13,Oklahoma,oklahoma,19.8,37.1,17.3
14,Texas A&M,texasam,19.2,38.2,19.0
15,Tennessee,tennessee,19.2,37.7,18.6
16,Clemson,clemson,18.8,36.5,17.7
17,Kansas St.,kansasstate,16.4,36.3,19.9
18,Utah,utah,15.8,32.5,16.7
19,Miami,miamifl,15.5,37.3,21.9
20,Oklahoma St.,oklahomastate,14.0,37.9,23.9
21,USC,usc,13.9,44.4,30.5
22,Kentucky,kentucky,13.8,34.4,20.6
23,Florida,florida,13.2,36.9,23.7
24,Iowa,iowa,13.2,17.9,4.7
25,Auburn,auburn,13.1,32.3,19.2
26,Wisconsin,wisconsin,12.9,25.1,12.2
27,SMU,smu,12.7,35.9,23.3
28,Arizona,arizona,12.4,37.9,25.6
29,NC St.,ncstate,12.1,30.5,18.4
30,Iowa St.,iowastate,11.5,29.8,18.3
31,Louisville,louisville,11.3,30.7,19.4
32,Washington,washington,10.3,34.8,24.5
33,Kansas,kansas,9.7,37.7,28.0
34,W. Virginia,westvirginia,9.7,35.8,26.1
35,S. Carolina,southcarolina,9.5,30.0,20.5
36,Va. Tech,virginiatech,9.4,31.3,21.9
37,UCLA,ucla,8.8,30.3,21.5
38,TCU,tcu,8.7,33.3,24.6
39,Boise St.,boisestate,7.9,32.6,24.8
40,N. Carolina,northcarolina,7.9,34.1,26.3
41,Texas Tech,texastech,7.4,31.9,24.5
42,Nebraska,nebraska,7.4,19.4,12.0
43,Memphis,memphis,6.1,39.9,33.8
44,Arkansas,arkansas,6.1,32.1,26.1
45,UCF,ucf,5.9,31.2,25.4
46,Maryland,maryland,5.2,24.2,19.0
