TEAM,Bet365 Win Total,FanDuel Win Total,DraftKings Win Total,Caesars Win Total,BetRivers Win Total,DraftKings Conference Win Total,BR Conference Win Total,Bet365 Conference Win Total
Air Force,5.5 (-200),5.5 (-196),5.5 (-170),6.5 (+115),5.5 (-200),3.5 (-160),,
Akron,4.5 (+115),4.5 (+136),4.5 (+105),4.5 (+115),4.5 (+112),2.5 (-160),,
Alabama,9.5 (-115),9.5 (-110),9.5 (-120),9.5 (-130),9.5 (-127),5.5 (-180),5.5 (-200),5.5 (-180)
Appalachian State,5.5 (-155),5.5 (-158),5.5 (-160),5.5 (-170),5.5 (-167),3.5 (-140),,
Arizona,5.5 (+100),5.5 (-110),4.5 (-180),5.5 (-115),5.5 (+100),3.5 (+135),3.5 (+150),
Arizona State,8.5 (-110),8.5 (+106),8.5 (+100),8.5 (-105),8.5 (+100),5.5 (-160),5.5 (-143),
Arkansas,5.5 (+110),5.5 (+106),5.5 (+110),5.5 (+120),5.5 (+118),2.5 (-120),2.5 (+104),2.5 (-115)
Arkansas State,5.5 (+145),5.5 (+158),5.5 (+125),5.5 (+160),5.0 (+123),3.5 (-135),,
Army,7.5 (-150),7.5 (-140),7.5 (-140),7.5 (-160),7.5 (-148),5.5 (-150),,
Auburn,7.5 (-165),7.5 (-164),7.5 (-160),7.5 (-170),7.5 (-177),4.5 (+135),4.5 (+145),4.5 (+140)
Ball State,3.5 (-130),3.5 (-122),3.5 (-140),3.5 (-125),3.5 (-132),2.5 (-125),,
Baylor,7.5 (+100),7.5 (-105),7.5 (-105),7.5 (-105),7.5 (-115),5.5 (-115),5.5 (-125),
Boise State,9.5 (-210),9.5 (-215),9.5 (-180),9.5 (-240),9.5 (-230),6.5 (-210),,
Boston College,5.5 (+100),5.5 (+108),5.5 (+100),5.5 (+110),5.5 (+110),3.5 (+125),3.5 (+125),
Bowling Green,6.5 (+155),6.5 (+152),6.5 (+150),6.5 (+160),6.0 (+117),OFF,,
Buffalo,7.5 (-115),7.5 (-124),7.5 (-110),7.5 (-115),7.5 (-155),5.5 (+100),,
BYU,6.5 (-130),6.5 (-118),6.5 (-135),6.5 (-140),6.5 (-121),4.5 (+100),3.5 (-177),
California,5.5 (+110),5.5 (+118),5.5 (+130),5.5 (+110),5.5 (+125),2.5 (-150),2.5 (-150),
Central Michigan,5.5 (+120),5.5 (+122),5.5 (+110),5.5 (+120),5.5 (-107),3.5 (-165),,
Charlotte,2.5 (-150),3.5 (+124),2.5 (-150),2.5 (-160),2.5 (-150),1.5 (-145),,
Cincinnati,6.5 (+100),6.5 (+106),6.5 (+110),6.5 (+100),6.5 (+110),3.5 (-150),3.5 (-155),
Clemson,9.5 (-210),9.5 (-230),9.5 (-180),10.5 (-140),10.0 (-114),6.5 (-160),6.5 (-305),
Coastal Carolina,5.5 (+100),5.5 (+104),5.5 (-110),5.5 (+100),5.5 (-103),3.5 (-150),,
Colorado,5.5 (-130),5.5 (-118),5.5 (-125),5.5 (-120),5.5 (-115),3.5 (-125),3.5 (+125),
Colorado State,6.5 (+130),6.5 (+120),6.5 (+125),6.5 (+140),6.5 (+120),4.5 (+115),,
Delaware,5.5 (+140),4.5 (-140),5.5 (+125),4.5 (-140),4.5 (-139),3.5 (-135),,
Duke,6.5 (-185),6.5 (-192),6.5 (-160),6.5 (-190),6.5 (-162),4.5 (+110),4.5 (-106),
