team,market,book,line,over_odds
Air Force,regular,FD,7.5,-114
Air Force,regular,CZR,6.5,-200
Air Force,regular,DK,6.5,-180
Air Force,regular,Bet365,6.5,-180
Akron,regular,FD,4.5,108
Akron,regular,CZR,4.5,-120
Akron,regular,BetRivers,4.5,-125
Akron,regular,DK,4.5,-125
Akron,regular,Bet365,4.5,-115
Alabama,regular,FD,8.5,-120
Alabama,regular,CZR,8.5,-120
Alabama,regular,BetRivers,8.5,-118
Alabama,regular,DK,8.5,100
Alabama,regular,Bet365,8.5,-110
Appalachian State,regular,FD,5.5,-158
Appalachian State,regular,CZR,5.5,-160
Appalachian State,regular,BetRivers,5.5,-157
Appalachian State,regular,DK,5.5,-166
Appalachian State,regular,Bet365,5.5,-165
Arizona,regular,FD,7.5,112
Arizona,regular,CZR,7.5,105
Arizona,regular,BetRivers,7.5,108
Arizona,regular,DK,7.5,105
Arizona,regular,Bet365,7.5,110
Arizona State,regular,FD,6.5,-112
Arizona State,regular,CZR,6.5,-140
Arizona State,regular,BetRivers,6.5,-134
Arizona State,regular,DK,6.5,-120
Arizona State,regular,Bet365,6.5,-115
Arkansas,regular,FD,4.5,138
Arkansas,regular,CZR,4.5,135
Arkansas,regular,BetRivers,4.5,120
Arkansas,regular,DK,3.5,-175
Arkansas,regular,Bet365,4.5,135
Arkansas State,regular,FD,6.5,112
Arkansas State,regular,CZR,5.5,-200
Arkansas State,regular,BetRivers,5.5,-200
Arkansas State,regular,DK,5.5,-186
Arkansas State,regular,Bet365,6.5,110
Army,regular,FD,7.5,-118
Army,regular,CZR,7.5,-160
Army,regular,BetRivers,7.5,-150
Army,regular,DK,7.5,-146
Army,regular,Bet365,7.5,-145
Auburn,regular,FD,6.5,-115
Auburn,regular,CZR,6.5,-120
Auburn,regular,BetRivers,6.5,-114
Auburn,regular,DK,6.5,-115
Auburn,regular,Bet365,6.5,-110
BYU,regular,FD,8.5,-140
BYU,regular,CZR,8.5,-150
BYU,regular,BetRivers,8.5,-121
BYU,regular,DK,8.5,-136
BYU,regular,Bet365,8.5,-130
Ball State,regular,FD,3.5,-110
Ball State,regular,CZR,3.5,-115
Ball State,regular,BetRivers,3.5,-115
Ball State,regular,DK,3.5,-120
Ball State,regular,Bet365,3.5,-115
Baylor,regular,FD,6.5,152
Baylor,regular,CZR,6.5,150
Baylor,regular,DK,6.5,140
Baylor,regular,Bet365,6.5,135
Boise State,regular,FD,8.5,-108
Boise State,regular,BetRivers,8.5,100
Boise State,regular,DK,7.5,-136
Boise State,regular,Bet365,7.5,-160
Boston College,regular,FD,3.5,114
Boston College,regular,CZR,3.5,-105
Boston College,regular,BetRivers,3.5,120
Boston College,regular,DK,3.5,100
Boston College,regular,Bet365,3.5,105
Bowling Green,regular,FD,4.5,-162
Bowling Green,regular,CZR,4.5,-165
Bowling Green,regular,BetRivers,4.5,-167
Bowling Green,regular,DK,4.5,-160
Bowling Green,regular,Bet365,4.5,-160
Buffalo,regular,FD,5.5,-142
Buffalo,regular,CZR,5.5,-170
Buffalo,regular,BetRivers,5.5,-167
Buffalo,regular,DK,6.5,134
Buffalo,regular,Bet365,5.5,-165
California,regular,FD,6.5,120
California,regular,CZR,6.5,110
California,regular,BetRivers,6.5,115
California,regular,DK,6.5,100
California,regular,Bet365,6.5,110
Central Michigan,regular,FD,6.5,-112
Central Michigan,regular,CZR,6.5,115
Central Michigan,regular,BetRivers,6.5,110
Central Michigan,regular,DK,6.5,110
Central Michigan,regular,Bet365,6.5,110
Charlotte,regular,FD,2.5,134
Charlotte,regular,CZR,2.5,115
Charlotte,regular,BetRivers,2.5,120
Charlotte,regular,DK,2.5,120
Charlotte,regular,Bet365,2.5,120
Cincinnati,regular,FD,5.5,118
Cincinnati,regular,CZR,5.5,120
Cincinnati,regular,BetRivers,5.5,118
Cincinnati,regular,DK,5.5,125
Cincinnati,regular,Bet365,5.5,120
Clemson,regular,FD,7.5,-144
Clemson,regular,CZR,7.5,-130
Clemson,regular,BetRivers,7.5,-139
Clemson,regular,DK,7.5,-130
Clemson,regular,Bet365,7.5,-130
Coastal Carolina,regular,FD,5.5,112
Coastal Carolina,regular,CZR,4.5,-170
Coastal Carolina,regular,BetRivers,4.5,-159
Coastal Carolina,regular,DK,4.5,-140
Coastal Carolina,regular,Bet365,4.5,-145
Colorado,regular,FD,4.5,132
Colorado,regular,CZR,4.5,100
Colorado,regular,DK,4.5,134
Colorado,regular,Bet365,4.5,125
Colorado State,regular,FD,3.5,-144
Colorado State,regular,BetRivers,3.5,-143
Colorado State,regular,DK,3.5,-130
Colorado State,regular,Bet365,3.5,-120
Connecticut,regular,FD,5.5,-105
Connecticut,regular,BetRivers,5.5,-113
Connecticut,regular,DK,5.5,-105
Delaware,regular,FD,5.5,-144
Delaware,regular,CZR,5.5,-165
Delaware,regular,DK,5.5,-166
Delaware,regular,Bet365,5.5,-165
Duke,regular,FD,5.5,-134
Duke,regular,CZR,5.5,-130
Duke,regular,BetRivers,5.5,-130
Duke,regular,DK,5.5,-130
Duke,regular,Bet365,5.5,-135
East Carolina,regular,FD,7.5,-122
East Carolina,regular,CZR,7.5,100
East Carolina,regular,BetRivers,7.5,-106
East Carolina,regular,DK,7.5,-105
East Carolina,regular,Bet365,7.5,-105
Eastern Michigan,regular,FD,6.5,108
Eastern Michigan,regular,CZR,5.5,-170
Eastern Michigan,regular,BetRivers,5.5,-159
Eastern Michigan,regular,DK,5.5,-150
Eastern Michigan,regular,Bet365,5.5,-150
FIU,regular,FD,6.5,-102
FIU,regular,CZR,6.5,120
FIU,regular,BetRivers,6.5,127
FIU,regular,DK,6.5,120
FIU,regular,Bet365,6.5,120
Florida Atlantic,regular,FD,6.5,112
Florida Atlantic,regular,CZR,5.5,-160
Florida Atlantic,regular,BetRivers,5.5,-139
Florida Atlantic,regular,DK,5.5,-160
Florida Atlantic,regular,Bet365,5.5,-160
Florida,regular,FD,7.5,120
Florida,regular,CZR,7.5,-115
Florida,regular,BetRivers,7.5,119
Florida,regular,DK,6.5,-175
Florida,regular,Bet365,7.5,115
Florida State,regular,FD,5.5,-150
Florida State,regular,CZR,6.5,140
Florida State,regular,BetRivers,6.5,140
Florida State,regular,DK,6.5,140
Florida State,regular,Bet365,6.5,130
Fresno State,regular,FD,6.5,-128
Fresno State,regular,DK,6.5,100
Fresno State,regular,Bet365,6.5,-120
Georgia,regular,FD,9.5,-172
Georgia,regular,CZR,9.5,-200
Georgia,regular,BetRivers,9.5,-185
Georgia,regular,DK,9.5,-180
Georgia,regular,Bet365,9.5,-180
Georgia Southern,regular,FD,4.5,-162
Georgia Southern,regular,CZR,4.5,-170
Georgia Southern,regular,DK,4.5,-150
Georgia Southern,regular,Bet365,4.5,-150
Georgia State,regular,FD,3.5,-122
Georgia State,regular,CZR,4.5,140
Georgia State,regular,BetRivers,4.5,153
Georgia State,regular,DK,4.5,134
Georgia State,regular,Bet365,3.5,-165
Georgia Tech,regular,FD,6.5,118
Georgia Tech,regular,CZR,6.5,110
Georgia Tech,regular,BetRivers,6.5,105
Georgia Tech,regular,DK,6.5,105
Georgia Tech,regular,Bet365,6.5,100
Hawaii,regular,FD,7.5,100
Hawaii,regular,CZR,7.5,-110
Hawaii,regular,BetRivers,7.5,-103
Hawaii,regular,DK,7.5,120
Hawaii,regular,Bet365,7.5,120
Houston,regular,FD,7.5,-172
Houston,regular,CZR,7.5,-170
Houston,regular,BetRivers,7.5,-164
Houston,regular,DK,8.5,130
Houston,regular,Bet365,7.5,-170
Illinois,regular,FD,6.5,-148
Illinois,regular,CZR,7.5,120
Illinois,regular,BetRivers,7.5,130
Illinois,regular,DK,7.5,134
Illinois,regular,Bet365,7.5,135
Indiana,regular,FD,10.5,-114
Indiana,regular,CZR,10.5,125
Indiana,regular,BetRivers,10.5,-118
Indiana,regular,DK,10.5,105
Indiana,regular,Bet365,10.5,-110
Iowa,regular,FD,7.5,-144
Iowa,regular,CZR,7.5,-140
Iowa,regular,BetRivers,7.5,-125
Iowa,regular,DK,7.5,-125
Iowa,regular,Bet365,7.5,-130
Iowa State,regular,FD,4.5,-150
Iowa State,regular,CZR,5.5,145
Iowa State,regular,BetRivers,5.5,155
Iowa State,regular,DK,5.5,154
Iowa State,regular,Bet365,4.5,-140
Jacksonville State,regular,FD,7.5,-102
Jacksonville State,regular,CZR,7.5,-115
Jacksonville State,regular,BetRivers,7.5,-103
Jacksonville State,regular,DK,7.5,105
Jacksonville State,regular,Bet365,7.5,105
James Madison,regular,FD,8.5,-128
James Madison,regular,CZR,8.5,-150
James Madison,regular,BetRivers,8.5,-143
James Madison,regular,DK,8.5,-130
James Madison,regular,Bet365,8.5,-130
Kansas,regular,FD,6.5,118
Kansas,regular,CZR,5.5,-150
Kansas,regular,BetRivers,5.5,-154
Kansas,regular,DK,5.5,-156
Kansas,regular,Bet365,5.5,-170
Kansas State,regular,FD,8.5,102
Kansas State,regular,CZR,7.5,-175
Kansas State,regular,BetRivers,7.5,-169
Kansas State,regular,DK,7.5,-175
Kansas State,regular,Bet365,8.5,-110
Kennesaw State,regular,FD,6.5,-122
Kennesaw State,regular,CZR,6.5,100
Kennesaw State,regular,DK,6.5,120
Kennesaw State,regular,Bet365,6.5,120
Kent State,regular,FD,3.5,-118
Kent State,regular,CZR,2.5,-200
Kent State,regular,BetRivers,3.5,110
Kent State,regular,DK,3.5,-105
Kent State,regular,Bet365,3.5,-105
Kentucky,regular,FD,4.5,-150
Kentucky,regular,CZR,4.5,-150
Kentucky,regular,BetRivers,4.5,-137
Kentucky,regular,DK,4.5,-148
Kentucky,regular,Bet365,4.5,-140
LSU,regular,FD,8.5,-110
LSU,regular,CZR,8.5,-120
LSU,regular,BetRivers,8.5,-127
LSU,regular,DK,8.5,-115
LSU,regular,Bet365,8.5,-115
Liberty,regular,FD,8.5,102
Liberty,regular,CZR,8.5,-105
Liberty,regular,DK,8.5,110
Liberty,regular,Bet365,8.5,115
Louisiana,regular,FD,7.5,-105
Louisiana,regular,CZR,7.5,110
Louisiana,regular,BetRivers,7.5,120
Louisiana,regular,DK,7.5,115
Louisiana Tech,regular,FD,5.5,-140
Louisiana Tech,regular,CZR,5.5,-160
Louisiana Tech,regular,BetRivers,5.5,-159
Louisiana Tech,regular,DK,5.5,-160
Louisiana Tech,regular,Bet365,5.5,-160
Louisville,regular,FD,8.5,114
Louisville,regular,CZR,7.5,-180
Louisville,regular,BetRivers,7.5,-167
Louisville,regular,DK,8.5,134
Louisville,regular,Bet365,7.5,-170
Marshall,regular,FD,7.5,100
Marshall,regular,CZR,7.5,115
Marshall,regular,BetRivers,7.5,115
Marshall,regular,DK,7.5,105
Marshall,regular,Bet365,7.5,110
Maryland,regular,FD,5.5,108
Maryland,regular,CZR,4.5,-200
Maryland,regular,BetRivers,4.5,-172
Maryland,regular,DK,5.5,105
Maryland,regular,Bet365,5.5,100
Massachusetts,regular,FD,2.5,-168
Massachusetts,regular,CZR,2.5,-170
Massachusetts,regular,DK,2.5,-146
Massachusetts,regular,Bet365,2.5,-150
Memphis,regular,FD,7.5,-104
Memphis,regular,CZR,7.5,-105
Memphis,regular,BetRivers,7.5,-118
Memphis,regular,DK,7.5,-125
Memphis,regular,Bet365,7.5,-115
Miami Florida,regular,FD,10.5,-122
Miami Florida,regular,CZR,10.5,-140
Miami Florida,regular,BetRivers,10.5,-125
Miami Florida,regular,DK,10.5,-110
Miami Florida,regular,Bet365,10.5,-115
Miami Ohio,regular,FD,7.5,-106
Miami Ohio,regular,CZR,6.5,-200
Miami Ohio,regular,DK,6.5,-190
Miami Ohio,regular,Bet365,7.5,130
Michigan,regular,FD,8.5,136
Michigan,regular,CZR,8.5,120
Michigan,regular,DK,7.5,-186
Michigan,regular,Bet365,8.5,135
Michigan State,regular,FD,4.5,122
Michigan State,regular,CZR,3.5,-180
Michigan State,regular,BetRivers,4.5,120
Michigan State,regular,DK,4.5,130
Michigan State,regular,Bet365,3.5,-180
Middle Tennessee,regular,FD,3.5,-132
Middle Tennessee,regular,CZR,4.5,140
Middle Tennessee,regular,BetRivers,3.5,-159
Middle Tennessee,regular,DK,4.5,134
Middle Tennessee,regular,Bet365,3.5,-160
Minnesota,regular,FD,6.5,128
Minnesota,regular,CZR,6.5,125
Minnesota,regular,BetRivers,5.5,-154
Minnesota,regular,DK,5.5,-160
Minnesota,regular,Bet365,5.5,-160
Mississippi State,regular,FD,4.5,-130
Mississippi State,regular,CZR,4.5,-125
Mississippi State,regular,BetRivers,4.5,-110
Mississippi State,regular,DK,4.5,-136
Mississippi State,regular,Bet365,4.5,-130
Missouri,regular,FD,6.5,-108
Missouri,regular,CZR,6.5,-130
Missouri,regular,BetRivers,6.5,-139
Missouri,regular,DK,6.5,-136
Missouri,regular,Bet365,6.5,-135
Missouri State,regular,FD,3.5,-158
Missouri State,regular,CZR,4.5,130
Missouri State,regular,BetRivers,4.5,125
Missouri State,regular,DK,4.5,130
Missouri State,regular,Bet365,4.5,135
North Carolina State,regular,FD,7.5,106
North Carolina State,regular,CZR,7.5,105
North Carolina State,regular,BetRivers,7.5,110
North Carolina State,regular,DK,7.5,120
North Carolina State,regular,Bet365,7.5,110
Navy,regular,FD,8.5,132
Navy,regular,CZR,7.5,-200
Navy,regular,BetRivers,7.5,-182
Navy,regular,DK,7.5,-160
Navy,regular,Bet365,7.5,-190
Nebraska,regular,FD,6.5,122
Nebraska,regular,CZR,6.5,115
Nebraska,regular,BetRivers,6.5,125
Nebraska,regular,DK,6.5,115
Nebraska,regular,Bet365,6.5,115
Nevada,regular,FD,4.5,100
Nevada,regular,CZR,4.5,110
Nevada,regular,BetRivers,4.5,105
Nevada,regular,DK,4.5,120
Nevada,regular,Bet365,4.5,120
New Mexico,regular,FD,8.5,118
New Mexico,regular,CZR,7.5,-200
New Mexico,regular,BetRivers,7.5,-200
New Mexico,regular,DK,7.5,-186
New Mexico,regular,Bet365,8.5,120
New Mexico State,regular,FD,4.5,108
New Mexico State,regular,CZR,4.5,110
New Mexico State,regular,BetRivers,4.5,105
New Mexico State,regular,DK,4.5,-120
New Mexico State,regular,Bet365,4.5,-105
North Carolina,regular,FD,4.5,-142
North Carolina,regular,CZR,4.5,-145
North Carolina,regular,BetRivers,4.5,-125
North Carolina,regular,DK,4.5,-130
North Carolina,regular,Bet365,4.5,-140
North Dakota State,regular,FD,8.5,-132
North Dakota State,regular,CZR,9.5,180
North Dakota State,regular,DK,9.5,170
North Dakota State,regular,Bet365,8.5,-185
North Texas,regular,FD,5.5,-122
North Texas,regular,CZR,6.5,155
