player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Jaylan Foster,13095,S,S CAROLINA,13,0,0,289,59.7,,,,,,59.8,,,66.8,0,0,0,57,3,0,0,17,0
Mark Williams,21922,CB,LA MONROE,7,0,0,209,59.4,,,,,,61.6,,,70.3,0,0,0,19,0,1,0,8,0
Devin Taylor,22317,CB,BOWL GREEN,12,0,0,122,59.2,,,,,,63.5,,,79.3,0,0,0,61,4,0,0,40,0
Cortez Davis,22974,CB,HAWAII,13,0,0,180,59.1,,,,,,56.1,,,77.2,0,0,0,74,61,0,1,22,0
Chris Hughes,23029,G,KANSAS,2,0,0,198,,,64.8,,,,62.4,,,62.5,0,0,9,0,0,0,0,0,0
Dru Prox,23093,LB,UTSA,6,0,0,331,60.0,,,,,,62.3,,,69.0,1,0,0,2,26,0,0,1,0
Kwamie Lassiter II,23226,WR,KANSAS,11,0,0,198,,,,,,,60.3,70.4,,69.9,0,0,0,0,12,1,5,29,0
Korbin Sorensen,23427,G,OREGON ST,13,0,0,265,,,76.7,,,,65.5,,,73.8,0,0,69,0,0,0,32,0,0
Reggie Stubblefield,23441,S,KANSAS ST,12,0,0,199,59.8,,,,,,66.7,,,71.9,0,0,0,44,3,0,2,15,0
Mikel Horton,23509,DI,CHARLOTTE,6,0,0,136,57.5,,,,,,56.9,,,67.7,0,0,0,26,0,0,0,0,0
Quincy Jountti,23788,HB,USC,8,0,0,326,60.0,,,59.9,,,70.6,,,74.1,0,0,0,6,18,44,9,5,0
Colby Burton,23898,CB,HAWAII,9,0,0,180,60.0,,,,,,60.6,,,72.4,0,0,0,1,20,10,0,30,0
Darion Dunn,23963,CB,TEXAS,10,0,0,311,59.4,,,,,,65.0,,,72.7,0,0,0,23,3,2,0,18,1
Darren Evans,24171,CB,LSU,13,0,0,211,59.4,,,,,,68.6,,,81.1,0,0,0,20,56,0,0,49,1
Alvinoski LaFleur,24504,S,E MICHIGAN,9,0,0,160,59.8,,,,,,71.4,,,75.2,1,0,0,15,12,0,30,9,1
Beau Morris,24688,T,SMU,8,0,0,287,,,72.8,,,,64.6,,,69.7,0,0,42,0,0,0,0,0,0
Nate Needham,24901,K,BOWL GREEN,12,0,0,122,,90.2,,,,,61.3,,60.0,66.8,0,0,48,0,0,0,1,0,0
Blake Jeresaty,25150,G,ILLINOIS,11,0,0,187,,,76.1,,,,65.7,,,73.2,0,0,49,0,0,0,0,0,0
Samori Toure,25276,WR,NEBRASKA,5,0,0,238,,,,,,,55.0,63.7,,67.7,0,0,0,0,2,0,3,13,0
Luc Bequette,25776,DI,CAL,11,0,0,130,59.9,,,,,,61.4,,,72.0,0,0,0,43,0,0,0,12,0
Aaron Young,26090,WR,FAU,6,0,0,165,,,,,,,40.6,,,28.9,0,2,0,0,1,27,0,19,0
Zach Rasmussen,26134,TE,LA MONROE,12,0,0,209,,,74.2,,,,56.6,,,29.0,0,1,51,0,0,74,0,0,0
Jeremiah Moon,26453,LB,FLORIDA,9,0,0,163,59.6,,,,,,61.5,,,69.7,0,0,0,33,0,11,5,11,0
Trey Smith,27042,HB,WYOMING,9,0,0,351,,,,,,,75.1,,,75.7,1,0,0,0,48,24,0,21,5
Kekoa Crawford,27369,WR,CAL,4,0,0,130,,,,58.7,,,60.3,64.6,,64.7,0,0,0,0,0,4,0,8,0
Demario McCall,28012,CB,OHIO STATE,11,1,0,260,59.8,,,,,,54.5,,,79.0,1,0,0,3,59,0,0,27,0
Brenden Schooler,28253,S,TEXAS,12,0,0,311,59.6,,,,,,70.2,,,84.0,1,1,0,28,74,72,49,43,4
Richard Moore,28853,LB,SMU,9,0,0,287,59.9,,,,,,60.8,,,63.6,0,0,0,23,0,0,0,2,0
Jawon Hamilton,28919,HB,E MICHIGAN,5,0,0,160,,,,56.9,,,61.8,,,65.2,0,0,0,0,4,14,0,1,0
Julio Garcia,28977,G,UNLV,12,0,0,325,,,27.2,,,,48.2,,,71.0,0,0,43,0,0,0,0,0,0
Jack Jones,29050,CB,ARIZONA ST,11,0,1,110,81.7,,,,,,65.6,,,26.9,0,2,0,38,0,1,0,2,0
Aubry Payne,29432,TE,GA STATE,13,0,0,175,,,,59.9,,,59.7,,,74.6,0,0,0,0,0,70,64,0,1
Wesley French,29608,T,W MICHIGAN,13,0,0,347,,,76.5,,,,65.3,,,67.5,0,0,73,0,0,0,0,0,0
Adeeb Atariwa,30482,ED,VIRGINIA,1,0,0,335,59.8,,,,,,60.0,,,62.7,0,0,0,1,0,0,0,0,0
