TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Air Force,10-3,403,257,92.6,94.5,80.4,50.5,84.1,89.4,88.9,81.1,66.9,86.5,88.9,74.6,75.3
Akron,2-10,238,474,53.6,62.8,72.9,24.6,70.8,71.4,51.7,36.4,28.6,66.8,67.1,40.8,66.8
Alabama,13-2,598,302,91.9,89.7,91.8,61.9,82.9,89.7,72.0,90.1,92.0,90.5,82.4,79.0,75.2
Appalachian State,10-4,483,310,90.3,87.5,76.2,63.2,84.6,88.4,74.3,78.3,73.8,77.5,77.7,78.6,89.5
Arizona,1-11,206,377,58.9,60.8,55.0,64.9,60.1,77.6,49.2,49.7,53.6,59.6,69.9,38.6,62.1
Arizona State,8-5,369,271,82.3,82.5,70.9,75.0,62.3,91.9,82.2,74.9,67.5,76.1,72.2,79.8,69.3
Arkansas,9-4,402,298,84.0,83.3,73.3,72.1,67.7,88.4,79.9,72.3,69.2,72.4,76.6,71.1,76.1
Arkansas State,2-10,303,463,65.8,68.2,70.3,62.1,67.7,76.8,50.0,51.5,32.1,48.3,82.0,61.3,78.7
Army,9-4,427,290,89.7,91.4,71.4,27.1,90.8,81.2,87.4,75.2,71.0,69.2,78.4,66.9,70.0
Auburn,6-7,368,283,83.5,76.7,74.3,68.6,68.6,87.6,61.7,82.1,77.1,71.5,83.3,75.6,82.6
Ball State,6-7,313,369,72.1,67.9,65.6,59.9,64.6,75.9,59.4,71.2,66.6,76.5,84.9,59.5,77.9
Baylor,12-2,443,256,91.3,92.0,75.7,84.2,77.6,90.8,84.0,82.3,77.5,70.3,81.6,77.3,73.9
Boise State,7-5,350,228,84.2,76.2,79.2,52.6,74.5,83.5,60.0,81.6,75.2,76.3,67.6,87.2,75.3
Boston College,6-6,296,266,88.4,83.7,67.1,72.2,70.3,81.4,86.6,81.1,76.6,90.0,63.2,87.8,88.0
Bowling Green,4-8,257,368,66.5,59.6,60.8,33.1,60.6,82.2,50.3,70.7,66.6,73.2,80.4,62.5,71.9
Buffalo,4-8,351,359,74.8,71.0,59.2,57.7,66.6,82.2,63.2,73.8,79.6,80.0,90.1,41.6,72.2
BYU,10-3,430,322,90.5,93.7,83.4,89.1,86.5,87.3,87.3,70.7,59.7,59.1,65.7,77.7,79.6
California,5-7,285,267,80.0,76.7,77.4,66.1,68.6,89.4,62.0,74.9,58.6,59.6,75.9,80.2,75.8
Central Michigan,9-4,420,335,88.0,84.7,71.0,62.0,75.2,85.9,85.4,81.6,73.1,71.7,86.6,75.5,75.1
Charlotte,5-7,326,408,66.9,75.1,75.8,40.2,81.9,78.7,59.6,44.6,41.1,48.0,63.6,42.8,75.3
Cincinnati,13-1,516,236,91.5,84.4,86.7,61.8,77.4,92.6,66.5,91.4,85.6,82.1,91.0,91.0,88.6
Clemson,10-3,342,193,82.5,72.6,63.5,67.3,61.8,80.0,73.0,86.3,77.3,73.6,81.1,85.7,76.3
Coastal Carolina,11-2,532,281,91.2,92.1,91.9,71.1,90.7,90.5,67.1,79.3,72.7,74.8,88.2,67.2,83.3
Colorado,4-8,225,320,66.7,67.0,63.7,43.7,63.6,80.8,61.7,56.2,51.6,59.9,64.0,58.2,89.2
Colorado State,3-9,284,339,80.9,76.0,78.8,54.4,78.5,73.7,62.4,79.5,73.0,72.1,89.0,69.8,65.9
Connecticut,1-11,187,462,60.4,50.9,37.0,56.8,50.3,77.1,50.7,71.3,75.4,58.9,69.2,60.8,70.4
Duke,3-9,274,477,67.5,71.3,64.6,62.3,66.8,76.2,67.2,54.0,53.6,49.0,67.3,49.0,82.0
East Carolina,7-5,356,315,72.8,70.1,69.6,44.4,71.0,78.5,59.0,70.5,59.0,66.5,64.6,79.5,64.4
Eastern Michigan,7-6,392,390,77.4,83.6,81.7,66.1,74.5,82.3,74.3,56.2,47.9,57.5,84.8,47.2,80.0
Florida,6-7,399,348,76.8,76.8,68.6,67.7,75.4,94.2,51.9,69.8,72.8,68.6,83.7,55.8,72.6
Florida Atlantic,5-7,305,309,76.9,69.4,74.0,56.6,61.1,76.8,65.3,81.6,77.0,62.1,67.3,87.5,68.5
Florida International,1-11,244,477,69.8,69.7,58.5,60.1,72.0,84.9,55.5,65.5,68.1,73.8,60.8,61.1,71.9
Florida State,5-7,331,318,78.0,71.0,76.3,69.7,67.2,80.9,52.2,83.2,86.7,80.3,81.1,72.3,67.3
Fresno State,10-3,434,267,85.5,78.5,79.9,55.8,77.0,85.2,65.0,86.7,79.0,78.9,81.0,85.6,69.4
Georgia,14-1,579,153,95.2,93.1,81.3,75.6,84.2,93.7,82.1,94.3,92.2,93.7,90.6,92.8,90.3
Georgia Southern,3-9,243,377,61.3,64.1,47.6,60.6,63.7,77.0,58.3,52.5,42.9,50.9,69.0,55.5,69.8
Georgia State,8-5,366,352,82.1,79.3,68.7,52.2,71.1,84.4,75.2,77.3,76.9,61.8,84.1,65.9,71.2
Georgia Tech,3-9,288,402,67.8,72.7,57.5,65.2,71.0,91.1,56.0,55.6,57.3,62.4,70.9,44.0,62.2
Hawaii,6-7,374,408,74.3,72.5,73.1,69.6,62.1,83.2,64.4,69.6,72.7,66.0,81.7,53.6,73.3
Houston,12-2,502,286,92.0,85.1,90.9,72.4,78.8,79.4,68.5,91.3,89.4,68.7,91.7,81.8,80.2
Illinois,5-7,242,263,82.4,74.8,50.0,56.5,61.7,81.2,86.0,80.8,67.9,83.1,83.5,81.8,81.2
Indiana,2-10,207,399,70.2,65.2,52.3,60.4,62.7,71.4,67.3,71.4,74.1,79.2,63.4,66.4,71.3
Iowa,10-4,328,269,88.8,79.5,67.2,53.4,66.1,76.4,87.6,88.6,77.6,74.3,71.6,90.9,83.0
Iowa State,7-6,407,267,87.3,80.8,76.7,66.6,79.5,83.7,67.2,83.4,79.5,69.6,81.0,76.7,75.9
Kansas,2-10,249,506,62.1,67.1,61.8,47.4,69.3,79.6,54.3,48.2,41.8,52.1,68.9,48.9,75.2
Kansas State,8-5,358,273,82.4,83.3,69.1,65.1,73.3,91.5,75.6,73.0,70.5,47.0,75.2,68.3,65.7
Kent State,7-7,462,508,78.2,86.8,84.3,65.1,71.9,94.7,72.3,57.4,48.1,57.5,67.1,64.0,79.0
Kentucky,10-3,420,282,91.1,93.1,82.3,77.2,80.5,91.3,86.9,74.2,71.2,70.1,75.3,69.2,75.7
Liberty,8-5,437,280,88.3,85.6,79.0,67.7,78.2,91.2,71.1,83.0,75.5,77.7,90.4,73.0,78.1
Louisiana,13-1,435,259,91.3,90.5,75.6,74.1,70.4,86.2,89.0,87.1,85.0,58.2,77.3,83.3,79.5
Louisiana Tech,3-9,336,408,73.0,70.5,69.8,33.1,75.8,79.2,59.4,70.2,66.7,56.1,71.9,67.8,74.4
Louisiana-Monroe,4-8,251,402,59.5,54.8,49.6,30.4,63.9,68.9,43.9,64.8,54.4,54.7,71.0,67.1,62.1
Louisville,6-7,411,355,85.0,88.6,80.7,79.1,75.3,85.6,83.4,69.0,57.1,66.0,68.6,76.3,76.2
LSU,6-7,345,346,83.0,75.9,71.3,75.6,72.0,73.9,66.4,81.3,75.6,78.2,82.9,73.0,78.4
Marshall,7-6,429,309,83.5,79.4,74.9,74.4,71.4,79.9,74.0,80.7,73.1,75.3,85.9,75.6,73.5
Maryland,7-6,381,399,75.6,82.2,86.4,74.9,76.4,89.0,61.1,60.0,57.2,75.7,67.3,60.2,67.9
Massachusetts,1-11,196,517,50.9,58.3,33.5,54.6,58.3,83.2,55.7,42.4,43.7,54.6,65.3,35.5,60.9
Memphis,6-6,361,351,79.7,75.2,66.6,60.3,78.4,78.6,64.2,80.2,71.6,75.4,70.4,82.3,73.9
Miami (FL),7-5,409,341,76.5,78.8,78.9,81.4,73.7,78.3,63.2,65.3,65.0,37.7,68.6,67.2,65.2
Miami (OH),7-6,376,300,82.2,80.3,80.6,33.3,80.8,79.0,75.0,78.8,83.6,71.3,84.5,58.0,61.5
Michigan,12-2,501,243,91.9,84.5,78.4,68.5,73.0,93.5,68.6,91.3,89.6,86.7,91.1,80.4,84.0
Michigan State,11-2,414,329,86.4,86.0,74.5,74.5,82.0,85.2,77.1,80.5,84.8,57.7,85.3,65.6,62.6
Middle Tennessee,7-6,388,334,73.4,67.3,65.1,61.8,71.6,72.2,54.9,78.6,76.7,73.3,64.8,81.8,63.8
Minnesota,9-4,331,225,91.9,92.9,77.4,73.5,80.0,80.7,88.3,81.8,70.9,62.5,75.6,82.9,79.3
Mississippi,10-3,438,321,81.2,81.2,81.2,69.8,73.5,89.1,67.0,72.3,57.5,64.5,81.1,79.5,75.8
Mississippi State,7-6,378,337,81.2,78.8,89.2,83.4,70.7,73.9,68.8,76.2,68.2,71.0,71.0,77.1,74.1
Missouri,6-7,378,440,81.4,79.8,67.5,75.3,69.2,86.1,76.0,68.8,62.8,66.3,77.8,64.5,84.5
Navy,4-8,241,339,67.9,72.0,58.6,14.4,61.6,73.2,75.9,53.5,54.4,61.8,59.6,52.3,78.8
Nebraska,3-9,335,272,76.2,76.1,75.0,29.8,81.1,79.6,66.6,71.2,53.4,65.0,75.9,81.6,75.4
Nevada,8-5,464,345,82.2,79.7,88.4,50.2,79.6,78.3,67.0,73.1,51.2,69.4,82.2,81.3,78.4
New Mexico,3-9,146,341,62.4,59.5,51.4,60.4,58.0,63.4,61.5,62.1,51.4,68.2,73.2,72.0,67.3
New Mexico State,2-10,271,485,51.0,59.8,62.5,20.3,65.0,69.8,61.6,33.5,34.6,32.9,60.3,33.0,67.5
North Carolina,6-7,458,417,81.3,84.5,81.4,74.1,70.9,94.3,68.3,64.4,65.7,68.2,68.3,60.7,79.1
North Carolina State,9-3,397,236,88.2,83.1,83.9,68.9,76.1,77.8,80.6,82.3,80.8,74.0,74.1,79.2,76.0
North Texas,6-7,357,357,77.5,69.7,65.3,46.9,63.0,88.9,56.4,81.1,79.1,62.4,92.3,60.7,81.7
Northern Illinois,9-5,451,472,72.7,81.2,62.4,63.9,72.7,89.9,72.2,51.7,46.7,66.0,64.4,51.6,73.8
Northwestern,3-9,199,348,65.9,66.1,44.4,63.3,58.5,81.5,69.6,61.7,51.2,65.2,66.2,67.8,77.8
Notre Dame,11-2,458,256,91.4,86.8,78.5,76.8,78.0,85.2,81.7,88.6,82.3,86.6,79.9,84.1,85.1
Ohio,3-9,271,364,72.0,74.2,76.3,60.6,67.3,81.8,62.8,64.5,51.0,46.3,72.0,73.4,67.3
Ohio State,11-2,594,296,93.4,96.2,90.9,73.3,92.2,91.8,88.1,78.2,73.2,64.2,84.5,69.5,82.7
Oklahoma,11-2,508,335,91.8,93.0,91.0,79.8,81.6,92.1,81.9,80.8,76.1,65.8,90.0,70.4,76.4
Oklahoma State,12-2,435,253,91.3,82.1,83.7,69.4,75.8,81.2,69.0,91.5,91.2,71.1,82.7,89.3,89.1
Old Dominion,6-7,359,361,77.1,71.4,68.9,60.8,59.9,85.4,66.4,77.4,76.6,65.2,65.2,81.4,77.4
Oregon,10-4,440,378,76.4,76.5,66.0,63.0,66.2,87.6,75.7,69.4,68.2,46.2,84.3,56.4,55.7
Oregon State,7-6,406,335,86.2,90.7,78.3,52.8,79.3,88.0,87.8,69.5,63.9,53.3,69.0,70.3,64.6
Penn State,7-6,325,225,80.1,73.7,67.6,64.0,72.3,73.2,67.4,78.2,61.2,68.2,73.7,89.8,87.6
Pittsburgh,11-3,580,331,88.2,87.7,92.4,71.5,80.0,90.2,61.9,78.8,83.7,72.0,76.2,69.3,78.9
Purdue,9-4,378,291,79.4,84.3,86.1,69.1,85.8,75.6,62.7,61.6,50.9,75.0,83.0,58.2,74.5
Rice,4-8,258,434,68.2,68.7,62.2,56.9,67.2,78.6,59.2,63.2,53.9,52.1,77.9,61.9,75.7
Rutgers,5-8,256,333,67.5,67.2,47.0,66.7,68.1,85.2,52.1,60.8,64.3,65.3,69.2,49.1,80.7
San Diego State,12-2,383,277,87.9,80.5,66.1,76.1,68.7,77.9,82.9,84.7,73.6,71.7,84.7,85.7,83.9
San Jose State,5-7,240,318,72.9,64.8,60.7,49.3,60.4,81.5,61.6,77.9,69.4,75.0,83.2,76.0,73.5
SMU,8-4,461,341,84.6,83.0,84.1,73.7,78.8,88.4,61.5,73.4,83.3,60.9,87.0,43.2,84.7
South Alabama,5-7,299,317,73.5,69.5,78.9,43.2,75.2,77.6,45.3,75.4,67.2,56.3,74.3,76.2,67.3
South Carolina,7-6,294,312,79.0,71.1,63.9,46.7,69.1,82.7,65.2,77.9,60.5,61.5,85.7,83.8,90.0
Southern Miss,3-9,212,335,64.9,53.9,37.6,30.6,66.1,77.1,47.9,80.1,79.3,73.9,75.5,67.5,57.9
Stanford,3-9,245,389,64.9,69.0,64.4,55.9,69.6,72.4,65.8,49.6,29.8,59.2,69.3,67.6,78.8
Syracuse,5-7,299,316,74.7,67.7,57.9,50.4,60.4,91.2,57.9,78.3,76.4,84.7,76.6,71.5,72.5
TCU,5-7,344,419,75.4,83.1,78.8,79.5,74.1,84.1,72.8,52.9,53.4,41.3,69.7,45.3,67.2
