TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Air Force,10-3,362,174,93.6,93.2,68.4,54.0,77.6,92.6,86.0,87.9,79.8,73.5,75.8,82.2,83.5
Akron,2-10,261,402,67.7,67.5,63.1,60.4,70.1,78.9,54.2,63.9,60.5,59.7,71.7,58.6,68.6
Alabama,11-2,534,236,93.1,87.3,85.1,84.4,74.9,90.6,73.6,92.5,92.6,84.1,87.8,90.5,81.1
Appalachian State,6-6,419,321,88.5,86.2,75.6,68.7,75.0,86.6,82.0,79.5,81.9,69.7,80.4,63.7,75.9
Arizona,5-7,370,438,73.5,81.3,75.6,64.1,79.3,93.2,55.7,52.2,40.8,58.2,66.1,63.4,76.9
Arizona State,3-9,313,377,74.0,74.9,71.9,56.3,76.9,84.1,58.0,64.2,57.1,62.5,74.8,63.4,74.7
Arkansas,7-6,423,398,84.8,85.4,80.5,82.2,68.5,87.5,79.5,74.7,84.9,63.3,73.4,60.5,69.6
Arkansas State,3-9,300,377,74.4,69.1,72.7,48.4,72.1,77.3,52.5,69.4,67.3,53.2,74.2,63.9,77.3
Army,6-6,343,270,81.5,80.2,42.1,34.5,70.1,88.0,77.2,75.1,67.9,68.4,66.9,80.5,74.3
Auburn,5-7,297,354,72.1,63.8,49.0,65.4,58.2,87.6,55.2,80.2,65.2,70.9,77.2,86.1,60.0
Ball State,5-7,279,323,75.5,69.8,62.2,58.4,66.8,88.6,55.8,77.6,82.2,78.9,67.5,71.2,73.0
Baylor,6-7,418,349,88.2,82.9,78.9,78.1,70.1,83.4,74.9,84.8,77.2,68.6,78.7,84.0,76.2
Boise State,10-4,413,273,90.0,79.4,63.3,70.5,71.1,93.8,66.1,90.7,87.7,77.0,72.1,90.2,76.5
Boston College,3-9,213,364,65.3,59.4,53.0,55.1,64.4,74.2,43.7,71.2,75.9,61.5,74.6,54.9,73.7
Bowling Green,6-7,305,423,74.8,67.1,66.8,56.1,68.1,80.2,53.6,79.6,75.2,57.5,87.1,70.7,70.9
Buffalo,7-6,371,347,73.7,65.2,60.1,55.9,67.8,75.9,50.2,79.8,79.2,59.6,74.7,74.0,67.2
BYU,8-5,407,383,86.2,90.2,80.5,92.0,82.4,83.1,78.2,71.1,64.2,68.5,70.1,76.8,82.8
California,4-8,287,334,68.5,70.2,76.0,38.3,69.4,93.3,46.1,60.1,51.9,66.8,58.3,67.6,68.2
Central Michigan,4-8,297,338,75.0,64.3,58.0,50.5,59.5,80.7,60.0,86.4,86.8,70.5,83.1,75.0,85.1
Charlotte,3-9,293,473,72.0,76.9,72.0,53.6,78.1,76.6,71.8,56.2,59.8,49.7,74.3,43.0,78.1
Cincinnati,9-4,380,268,87.4,76.4,78.5,64.2,73.8,79.4,64.6,90.6,91.5,72.0,90.8,76.4,77.6
Clemson,11-3,465,292,88.6,76.4,72.4,66.9,68.6,87.8,63.6,91.2,90.1,85.3,90.6,82.4,90.2
Coastal Carolina,9-4,378,414,75.8,74.4,77.2,52.3,72.8,81.8,58.8,71.0,69.8,47.8,86.5,55.0,70.2
Colorado,1-11,185,534,49.5,58.1,49.5,66.1,52.9,78.0,52.7,33.7,36.5,30.0,57.4,30.3,74.6
Colorado State,3-9,158,323,69.0,57.0,63.4,36.5,63.8,75.4,39.9,85.0,72.0,72.2,84.8,84.5,65.8
Connecticut,6-7,252,341,74.2,69.3,45.7,76.4,58.3,82.3,69.5,77.6,70.3,67.1,68.5,82.7,64.2
Duke,9-4,427,287,83.7,77.9,69.6,68.3,71.6,85.9,67.2,81.6,78.9,65.3,82.0,72.0,77.8
East Carolina,8-5,423,353,77.3,79.1,81.5,55.4,77.0,89.2,58.4,66.5,81.0,71.6,60.4,54.3,79.6
