rank,team,conference,anchor_blend,implied_off,anchor_off,implied_def,anchor_def,residual,k_x_resid_clipped,class,st_term,recenter_shift,final,band,L_count,new_HC,capped
1,Ohio State,Big Ten,31.40,40.36,40.40,16.77,9.00,-7.61,-2.66,-0.00,+0.28,+0.57,29.59,6.00,0,,
2,Oregon,Big Ten,28.80,38.93,40.95,14.34,12.35,-3.80,-1.33,-0.00,+0.24,+0.57,28.28,6.00,0,,
3,Georgia,SEC,26.46,34.22,38.68,20.34,12.82,-4.40,-1.54,-0.00,+0.20,+0.57,25.69,6.00,0,,
4,Notre Dame,FBS Independents,27.07,37.68,40.84,14.78,13.96,-8.25,-2.89,-0.00,+0.24,+0.57,25.00,6.00,0,,
5,Indiana,Big Ten,25.46,34.20,37.88,16.27,13.02,-6.73,-2.35,-0.00,+0.30,+0.57,23.98,6.00,0,,
6,Texas,SEC,23.13,31.77,37.32,21.23,14.58,-4.61,-1.61,-0.00,+0.04,+0.57,22.13,6.60,0,,
7,Miami,ACC,22.25,34.27,35.03,21.27,13.07,-7.11,-2.49,-0.00,+0.16,+0.57,20.49,6.00,0,,
8,Texas Tech,Big 12,21.67,31.71,36.89,18.75,15.41,-6.27,-2.20,-0.00,+0.30,+0.57,20.35,6.00,0,,
9,Ole Miss,SEC,18.87,33.54,36.48,21.48,18.22,+1.38,+0.48,-0.00,+0.24,+0.57,20.17,6.78,0,Y,
10,LSU,SEC,18.93,30.53,31.86,20.48,13.14,-1.09,-0.38,-0.00,+0.08,+0.57,19.20,7.46,0,Y,
11,Oklahoma,SEC,18.82,30.06,32.41,20.70,13.89,-1.58,-0.55,-0.00,+0.24,+0.57,19.08,6.00,0,,
12,Texas A&M,SEC,19.67,29.63,36.98,21.98,17.02,-4.73,-1.65,-0.00,+0.12,+0.57,18.71,6.00,0,,
13,USC,Big Ten,17.93,35.95,38.26,17.85,19.94,-0.02,-0.01,-0.00,+0.00,+0.57,18.50,6.00,0,,
14,Alabama,SEC,20.13,26.76,32.27,21.20,11.63,-7.50,-2.63,-0.00,-0.04,+0.57,18.04,6.36,2,,
15,Michigan,Big Ten,17.85,33.13,33.67,17.63,15.33,-2.63,-0.92,-0.00,+0.10,+0.57,17.61,6.98,1,Y,
16,Penn State,Big Ten,16.60,34.44,34.05,19.35,18.15,-0.60,-0.21,-0.00,+0.32,+0.57,17.28,6.78,0,Y,
17,BYU,Big 12,14.65,36.56,32.87,21.04,18.53,+3.43,+1.20,-0.00,-0.16,+0.57,16.27,6.00,0,,
18,Tennessee,SEC,16.56,29.05,38.98,23.25,22.72,-2.88,-1.01,-0.00,+0.08,+0.57,16.21,6.18,1,,
19,Washington,Big Ten,14.81,32.00,32.55,18.67,17.45,-1.56,-0.55,-0.00,+0.16,+0.57,15.00,6.00,0,,
20,Missouri,SEC,13.45,31.30,31.53,24.19,17.57,+0.73,+0.25,-0.00,+0.12,+0.57,14.40,6.00,0,,
21,Florida,SEC,13.02,28.28,29.26,23.23,16.84,+0.21,+0.07,-0.00,+0.12,+0.57,13.79,7.19,2,Y,
22,Iowa,Big Ten,13.83,29.91,30.42,20.10,17.18,-3.22,-1.13,-0.00,+0.20,+0.57,13.48,6.72,4,,
23,Utah,Big 12,13.22,32.47,33.66,23.95,20.44,-2.45,-0.86,-0.00,+0.24,+0.57,13.18,7.46,0,Y,
24,Auburn,SEC,11.65,29.38,28.62,23.29,17.28,+2.34,+0.82,-0.00,+0.12,+0.57,13.16,6.78,0,Y,
25,South Carolina,SEC,11.37,27.76,29.53,22.88,18.77,+1.71,+0.60,-0.00,-0.04,+0.57,12.50,6.18,1,,
26,Vanderbilt,SEC,9.79,27.82,33.29,22.94,24.21,+3.38,+1.18,-0.00,+0.20,+0.57,11.75,6.18,1,,
27,Louisville,ACC,11.91,30.07,31.06,21.92,19.24,-1.82,-0.64,-0.00,-0.12,+0.57,11.73,6.36,2,,
28,SMU,ACC,11.91,30.69,32.41,23.27,20.19,-2.95,-1.03,-0.00,+0.00,+0.57,11.45,6.00,0,,
29,Clemson,ACC,12.36,27.53,29.28,22.15,17.22,-4.83,-1.69,-0.00,+0.12,+0.57,11.36,6.36,2,,
30,Arizona,Big 12,9.15,34.44,30.98,24.56,21.32,+2.47,+0.87,-0.00,-0.16,+0.57,10.43,6.00,0,,
31,Kansas State,Big 12,9.88,28.94,32.84,24.65,23.26,-3.03,-1.06,-0.00,+0.10,+0.57,9.49,6.78,0,Y,
32,TCU,Big 12,9.34,27.32,31.42,22.74,21.78,-2.80,-0.98,-0.00,+0.10,+0.57,9.03,6.00,0,,
33,Houston,Big 12,7.47,29.54,30.93,21.97,23.17,+2.06,+0.72,-0.00,-0.16,+0.57,8.61,6.00,0,,
34,Kentucky,SEC,5.61,27.40,25.90,22.95,20.30,+6.44,+2.25,-0.00,-0.04,+0.57,8.40,6.98,1,Y,
35,Nebraska,Big Ten,7.45,28.90,29.07,22.29,21.63,-0.63,-0.22,-0.00,+0.24,+0.57,8.04,6.00,0,,
36,Pittsburgh,ACC,7.14,28.57,30.52,22.68,23.48,+0.70,+0.24,-0.00,-0.08,+0.57,7.88,6.18,1,,
37,Mississippi State,SEC,4.66,28.00,30.48,24.22,26.32,+7.20,+2.52,-0.00,+0.08,+0.57,7.84,6.18,1,,
38,Virginia,ACC,6.99,29.02,26.50,23.63,19.70,+0.43,+0.15,-0.00,+0.08,+0.57,7.80,6.36,2,,
39,Virginia Tech,ACC,7.05,28.15,29.92,22.83,22.68,-0.08,-0.03,-0.00,+0.00,+0.57,7.60,7.91,2,Y,
40,Florida State,ACC,8.30,27.96,29.45,24.92,20.85,-3.72,-1.30,-0.00,-0.12,+0.57,7.45,6.54,3,,
41,Wisconsin,Big Ten,5.42,30.15,22.41,21.46,16.69,+3.18,+1.11,-0.00,-0.04,+0.57,7.07,6.00,0,,
42,Minnesota,Big Ten,4.69,29.74,25.04,19.89,19.76,+4.78,+1.67,-0.00,+0.12,+0.57,7.06,6.00,0,,
43,Illinois,Big Ten,9.03,25.81,31.37,23.87,22.83,-6.40,-2.24,-0.00,-0.40,+0.57,6.96,6.18,1,,
44,UCLA,Big Ten,3.91,29.99,28.40,20.70,24.50,+5.60,+1.96,-0.00,+0.12,+0.57,6.56,6.78,0,Y,
45,Arkansas,SEC,4.83,25.16,34.01,24.73,29.39,+3.40,+1.19,-0.00,-0.12,+0.57,6.47,6.98,1,Y,
46,Georgia Tech,ACC,5.58,28.78,28.59,25.78,23.61,-0.13,-0.05,-0.00,+0.24,+0.57,6.35,6.54,3,,
47,Arizona State,Big 12,6.93,25.73,28.46,24.11,20.94,-3.65,-1.28,-0.00,-0.20,+0.57,6.03,6.00,0,,
48,Oklahoma State,Big 12,3.89,30.50,28.40,24.97,25.00,+4.39,+1.54,-0.00,-0.10,+0.57,5.90,7.46,0,Y,
49,Northwestern,Big Ten,3.52,29.11,23.96,21.25,20.94,+5.04,+1.76,-0.00,-0.20,+0.57,5.66,6.00,0,,
50,Duke,ACC,4.31,29.33,32.11,25.54,28.19,+1.71,+0.60,-0.00,+0.00,+0.57,5.48,6.54,3,,
51,NC State,ACC,5.38,28.48,30.94,26.26,25.06,-1.81,-0.63,-0.00,-0.04,+0.57,5.28,6.54,3,,
52,Baylor,Big 12,4.70,26.10,32.30,24.51,28.20,-0.26,-0.09,-0.00,+0.04,+0.57,5.22,6.18,1,,
53,Wake Forest,ACC,3.35,27.00,24.07,22.84,20.83,+2.76,+0.97,-0.00,+0.08,+0.57,4.97,6.36,2,,
54,Maryland,Big Ten,2.62,26.29,25.51,20.62,23.29,+3.65,+1.28,-0.00,-0.28,+0.57,4.19,6.00,0,,
55,Kansas,Big 12,4.02,25.52,29.16,25.01,25.74,-0.65,-0.23,-0.00,-0.20,+0.57,4.16,6.00,0,,
56,UCF,Big 12,2.42,26.50,24.56,23.18,22.04,+3.05,+1.07,-0.00,-0.10,+0.57,3.96,6.00,0,,
57,Cincinnati,Big 12,3.57,27.99,29.14,27.85,25.86,-0.89,-0.31,-0.00,+0.04,+0.57,3.87,6.18,1,,
58,Rutgers,Big Ten,1.06,31.60,30.03,25.14,29.07,+5.70,+2.00,-0.00,-0.12,+0.57,3.51,6.00,0,,
59,Boise State,Pac-12,5.40,21.87,29.20,25.07,23.50,-6.82,-2.39,+0.00,-0.12,+0.57,3.47,6.18,1,,
60,North Carolina,ACC,1.87,26.75,23.53,24.23,22.07,+2.91,+1.02,-0.00,-0.08,+0.57,3.38,6.36,2,,
61,California,ACC,2.15,27.82,28.43,25.80,25.97,+1.41,+0.49,-0.00,-0.16,+0.57,3.06,7.39,3,Y,
62,Colorado,Big 12,0.44,25.99,26.07,23.64,25.13,+3.66,+1.28,-0.00,-0.16,+0.57,2.13,6.00,0,,
63,West Virginia,Big 12,1.23,26.47,26.51,26.80,25.39,+0.80,+0.28,-0.00,-0.16,+0.57,1.92,6.00,0,,
64,Iowa State,Big 12,0.99,24.58,22.89,26.20,22.41,+0.15,+0.05,-0.00,+0.04,+0.57,1.66,8.13,3,Y,
65,Michigan State,Big Ten,0.75,27.05,26.87,25.62,25.73,+0.49,+0.17,-0.00,-0.48,+0.57,1.02,6.78,0,Y,
66,Memphis,American Athletic,-0.72,23.92,28.49,21.05,29.81,+1.78,+0.62,+0.00,+0.00,+0.57,0.48,7.59,4,Y,
67,Purdue,Big Ten,-2.28,25.25,24.11,23.69,27.09,+4.75,+1.66,-0.00,+0.08,+0.57,0.04,6.00,0,,
68,Tulane,American Athletic,0.47,26.53,25.19,27.92,25.31,-3.69,-1.29,+0.00,+0.04,+0.57,-0.21,7.39,3,Y,
69,San Diego State,Pac-12,-0.82,24.54,23.34,27.24,24.76,+0.80,+0.28,+0.00,-0.28,+0.57,-0.25,6.18,1,,
70,East Carolina,American Athletic,-1.16,25.20,24.62,23.40,25.58,+0.35,+0.12,+0.00,+0.04,+0.57,-0.43,6.36,2,,
71,Stanford,ACC,-3.17,26.37,22.06,24.80,24.64,+6.00,+2.10,-0.00,+0.04,+0.57,-0.46,7.39,3,Y,
72,Boston College,ACC,-3.26,25.52,24.52,25.99,28.28,+5.14,+1.80,-0.00,+0.04,+0.57,-0.85,6.54,3,,
73,Syracuse,ACC,-1.88,23.83,23.31,26.54,25.59,+1.41,+0.49,-0.00,-0.20,+0.57,-1.01,6.36,2,,
74,Fresno State,Pac-12,-2.08,22.95,20.71,25.97,22.79,+1.14,+0.40,+0.00,-0.04,+0.57,-1.15,6.18,1,,
75,UNLV,Mountain West,0.36,19.58,29.98,33.73,29.62,-5.48,-1.92,+0.00,-0.60,+0.57,-1.58,6.36,2,,
76,Navy,American Athletic,0.27,24.81,27.39,31.49,27.31,-9.18,-3.21,+0.00,+0.10,+0.57,-2.27,6.18,1,,
77,Army,American Athletic,-2.64,29.42,24.68,32.43,27.42,-2.69,-0.94,+0.00,+0.30,+0.57,-2.71,6.36,2,,
