rank,team,conference,anchor_blend,implied_off,anchor_off,implied_def,anchor_def,residual,k_x_resid_clipped,class,st_term,recenter_shift,final,band,L_count,new_HC,capped
1,Ohio State,Big Ten,31.40,43.60,40.40,12.74,9.00,-1.05,-0.37,-0.00,+0.28,+0.57,31.88,6.00,0,,
2,Oregon,Big Ten,28.80,41.86,40.95,9.22,12.35,+3.27,+1.15,-0.00,+0.24,+0.57,30.76,6.00,0,,
3,Notre Dame,FBS Independents,27.07,40.33,40.84,9.96,13.96,+6.57,+2.30,-0.00,+0.24,+0.57,30.18,6.00,0,,
4,Georgia,SEC,26.46,36.10,38.68,17.90,12.82,+0.03,+0.01,-0.00,+0.20,+0.57,27.24,6.00,0,,
5,Indiana,Big Ten,25.46,36.07,37.88,12.12,13.02,-2.00,-0.70,-0.00,+0.30,+0.57,25.63,6.00,0,,
6,Texas,SEC,23.13,33.11,37.32,19.12,14.58,-1.39,-0.48,-0.00,+0.04,+0.57,23.26,6.60,0,,
7,Miami,ACC,22.25,36.16,35.03,19.11,13.07,-2.36,-0.83,-0.00,+0.16,+0.57,22.16,6.00,0,,
8,Texas Tech,Big 12,21.67,33.02,36.89,15.60,15.41,-1.36,-0.47,-0.00,+0.30,+0.57,22.07,6.00,0,,
9,Ole Miss,SEC,18.87,35.27,36.48,19.50,18.22,+4.46,+1.56,-0.00,+0.24,+0.57,21.25,6.78,0,Y,
10,LSU,SEC,18.93,31.60,31.86,18.04,13.14,+1.80,+0.63,-0.00,+0.08,+0.57,20.21,7.46,0,Y,
11,Oklahoma,SEC,18.82,31.02,32.41,18.36,13.89,+1.09,+0.38,-0.00,+0.24,+0.57,20.02,6.00,0,,
12,USC,Big Ten,17.93,38.22,38.26,14.32,19.94,+3.75,+1.31,-0.00,+0.00,+0.57,19.82,6.00,0,,
13,Texas A&M,SEC,19.67,30.49,36.98,20.18,17.02,-2.62,-0.92,-0.00,+0.12,+0.57,19.45,6.00,0,,
14,Michigan,Big Ten,17.85,34.77,33.67,13.80,15.33,+0.80,+0.28,-0.00,+0.10,+0.57,18.80,6.98,1,Y,
