source,team_raw,norm_key,overall_rating,rank,scale,captured_date
SP+ (ESPN ref),Ohio State,ohiostate,31.8,1,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Oregon,oregon,28.3,2,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Notre Dame,notredame,25.8,3,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Georgia,georgia,25.5,4,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Indiana,indiana,24.5,5,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Texas,texas,23.7,6,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Texas Tech,texastech,23.1,7,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Miami,miamifl,21.0,8,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Texas A&M,texasam,20.3,9,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),LSU,lsu,20.2,10,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Alabama,alabama,18.2,11,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Oklahoma,oklahoma,17.2,12,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),USC,usc,16.8,13,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Michigan,michigan,16.1,14,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Tennessee,tennessee,16.0,15,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Ole Miss,olemiss,15.9,16,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Penn State,pennstate,15.7,17,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),BYU,byu,15.5,18,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Florida,florida,14.9,19,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Missouri,missouri,14.8,20,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Washington,washington,14.5,21,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Iowa,iowa,13.6,22,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Clemson,clemson,12.8,23,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),South Carolina,southcarolina,12.1,24,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Utah,utah,11.9,25,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Auburn,auburn,11.2,26,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Louisville,louisville,11.0,27,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),SMU,smu,10.9,28,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Kansas State,kansasstate,10.4,29,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Arizona,arizona,10.2,30,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Vanderbilt,vanderbilt,10.0,31,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Virginia Tech,virginiatech,9.4,32,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Illinois,illinois,9.3,33,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),TCU,tcu,9.1,34,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Florida State,floridastate,8.8,35,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Houston,houston,8.2,36,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Nebraska,nebraska,7.7,37,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Oklahoma State,oklahomastate,7.1,38,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Boise State,boisestate,6.8,39,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Virginia,virginia,6.6,40,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Pittsburgh,pittsburgh,6.5,41,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Arizona State,arizonastate,6.4,42,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Georgia Tech,georgiatech,6.0,43,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Duke,duke,5.7,44,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Minnesota,minnesota,5.2,45,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),UCLA,ucla,5.1,46,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Arkansas,arkansas,5.0,47,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),NC State,ncstate,4.9,48,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Northwestern,northwestern,4.6,49,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Cincinnati,cincinnati,4.5,50,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Baylor,baylor,4.5,51,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Mississippi State,mississippistate,3.9,52,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Kentucky,kentucky,3.8,53,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),North Carolina,northcarolina,3.8,54,SP+ points vs avg,2026-07-12
SP+ (ESPN ref),Maryland,maryland,3.8,55,SP+ points vs avg,2026-07-12
