rat_rank,team_raw,norm_key,conference,massey_rat,pwr_rank,massey_pwr,off_rank,massey_off,def_rank,massey_def,hfa,ssf_rank,massey_ssf,exp_wins,exp_losses
1,Ohio St,ohiostate,Big 10,9.30,1,80.30,4,65.41,1,42.87,2.26,10,61.57,10.24,1.76
2,Indiana,indiana,Big 10,9.18,2,78.77,1,66.68,2,40.07,2.12,29,58.71,10.44,1.56
3,Notre Dame,notredame,FBS Indep,9.02,3,76.57,3,65.89,3,38.66,2.19,66,53.52,10.92,1.08
4,Oregon,oregon,Big 10,9.00,4,75.88,2,65.98,5,37.88,2.22,24,60.15,9.80,2.20
5,Georgia,georgia,Southeastern,8.89,5,73.96,6,63.66,4,38.28,2.20,25,60.01,9.45,2.55
6,Mississippi,olemiss,Southeastern,8.74,6,71.80,5,64.60,16,35.18,2.24,17,61.02,8.72,3.28
7,Alabama,alabama,Southeastern,8.74,7,71.46,11,62.65,9,36.79,2.33,23,60.29,8.89,3.11
8,Penn St,pennstate,Big 10,8.73,8,71.38,13,62.17,8,37.19,2.25,58,55.33,9.85,2.15
9,Texas,texas,Southeastern,8.70,9,70.95,12,62.49,11,36.44,2.28,1,63.32,8.05,3.95
10,Miami FL,miamifl,Atlantic Coast,8.68,11,70.34,14,61.84,10,36.47,2.14,63,54.37,9.84,2.16
11,Texas Tech,texastech,Big 12,8.65,10,70.60,8,63.08,13,35.50,2.19,68,52.52,10.21,1.79
12,Michigan,michigan,Big 10,8.63,13,69.99,18,60.68,6,37.29,2.22,2,62.43,7.90,4.10
13,Utah,utah,Big 12,8.62,12,70.24,10,63.00,14,35.21,2.29,52,56.61,9.38,2.62
14,USC,usc,Big 10,8.53,14,68.51,9,63.05,23,33.44,2.28,5,62.38,7.58,4.42
15,Washington,washington,Big 10,8.50,15,68.01,16,60.79,15,35.20,2.23,20,60.91,7.84,4.16
16,Iowa,iowa,Big 10,8.50,19,67.45,35,58.21,7,37.23,2.23,32,58.54,8.23,3.77
17,Oklahoma,oklahoma,Southeastern,8.50,18,67.52,26,59.32,12,36.18,2.32,4,62.42,7.30,4.70
18,Texas A&M,texasam,Southeastern,8.49,17,67.55,17,60.71,17,34.82,2.29,18,61.00,7.64,4.36
19,Tennessee,tennessee,Southeastern,8.47,16,67.95,7,63.57,31,32.36,2.27,22,60.61,7.84,4.16
20,BYU,byu,Big 12,8.34,20,65.23,24,59.51,22,33.70,2.25,33,58.48,7.74,4.26
21,Missouri,missouri,Southeastern,8.30,22,64.63,27,58.59,19,34.02,2.23,19,60.96,6.86,5.14
22,Louisville,louisville,Atlantic Coast,8.30,21,64.69,20,59.77,27,32.90,2.33,54,56.25,8.22,3.78
23,LSU,lsu,Southeastern,8.29,24,64.32,32,58.30,20,34.01,2.27,12,61.40,6.66,5.34
24,Iowa St,iowastate,Big 12,8.26,26,63.97,37,58.02,21,33.93,2.32,49,56.76,7.81,4.19
25,SMU,smu,Atlantic Coast,8.26,25,64.07,19,59.85,32,32.20,2.35,62,54.52,8.50,3.50
26,Vanderbilt,vanderbilt,Southeastern,8.24,23,64.47,15,61.26,42,31.19,2.11,21,60.83,6.90,5.10
27,Clemson,clemson,Atlantic Coast,8.24,28,63.55,29,58.41,26,33.11,2.18,59,55.06,8.17,3.83
28,TCU,tcu,Big 12,8.23,27,63.55,21,59.63,34,31.90,2.33,46,57.29,7.58,4.42
29,Kansas St,kansasstate,Big 12,8.21,29,63.47,23,59.61,35,31.84,2.29,55,55.90,7.96,4.04
30,Illinois,illinois,Big 10,8.21,30,63.17,31,58.32,28,32.84,2.19,34,58.46,7.24,4.76
31,Arizona,arizona,Big 12,8.18,31,62.84,33,58.24,30,32.59,2.22,28,58.74,7.05,4.95
32,Auburn,auburn,Southeastern,8.18,32,62.67,41,57.33,24,33.32,2.25,15,61.12,6.27,5.73
33,South Carolina,southcarolina,Southeastern,8.16,33,62.35,44,57.05,25,33.28,2.21,16,61.04,6.18,5.82
34,Florida,florida,Southeastern,8.12,34,61.78,45,56.94,29,32.81,2.35,6,62.24,5.73,6.27
35,Arizona St,arizonastate,Big 12,8.03,36,60.16,48,56.72,40,31.41,2.16,47,57.25,6.67,5.33
36,Florida St,floridastate,Atlantic Coast,8.03,35,60.64,43,57.12,39,31.49,2.31,35,58.34,6.51,5.49
37,Wisconsin,wisconsin,Big 10,8.02,40,59.69,78,53.16,18,34.51,2.24,39,58.15,6.30,5.70
38,Georgia Tech,georgiatech,Atlantic Coast,8.01,38,60.06,36,58.04,46,30.01,2.19,44,57.52,6.66,5.34
39,Nebraska,nebraska,Big 10,8.00,41,59.62,55,55.66,33,31.94,2.30,11,61.44,5.47,6.53
40,Arkansas,arkansas,Southeastern,7.98,37,60.11,22,59.62,61,28.47,2.11,7,62.22,5.33,6.67
41,Kentucky,kentucky,Southeastern,7.98,42,59.57,52,55.82,37,31.74,2.28,3,62.42,5.15,6.85
42,Pittsburgh,pittsburgh,Atlantic Coast,7.98,39,59.74,34,58.23,49,29.49,2.26,64,54.13,7.44,4.56
43,Duke,duke,Atlantic Coast,7.96,43,59.29,30,58.41,58,28.86,2.24,50,56.68,6.66,5.34
44,Virginia,virginia,Atlantic Coast,7.96,45,58.97,54,55.72,41,31.23,2.21,67,52.60,7.62,4.38
45,Kansas,kansas,Big 12,7.93,44,59.06,40,57.58,52,29.46,2.32,51,56.64,6.53,5.47
46,NC State,ncstate,Atlantic Coast,7.92,46,58.63,42,57.17,53,29.44,2.33,65,53.56,7.31,4.69
47,Houston,houston,Big 12,7.90,48,58.10,56,55.64,43,30.44,2.19,60,54.76,6.82,5.18
48,James Madison,jamesmadison,Sun Belt,7.89,49,58.00,46,56.86,57,29.12,2.28,121,42.12,9.86,2.14
49,Minnesota,minnesota,Big 10,7.89,52,57.80,72,54.05,38,31.73,2.29,26,59.45,5.42,6.58
50,Cincinnati,cincinnati,Big 12,7.87,50,57.96,50,56.45,50,29.49,2.33,36,58.24,5.87,6.13
51,Northwestern,northwestern,Big 10,7.87,53,57.46,76,53.65,36,31.79,2.23,9,61.86,4.83,7.17
52,Baylor,baylor,Big 12,7.86,47,58.21,28,58.58,72,27.61,2.27,42,57.82,6.01,5.99
53,Mississippi St,mississippistate,Southeastern,7.86,51,57.85,39,57.58,63,28.25,2.28,13,61.23,4.96,7.04
54,Boise St,boisestate,Pac 12,7.85,54,57.20,53,55.77,54,29.41,2.31,74,50.22,7.28,3.72
55,Tulane,tulane,American Athletic,7.84,57,56.82,60,55.12,48,29.68,2.29,76,49.22,8.05,3.95
56,Michigan St,michiganstate,Big 10,7.82,55,56.97,58,55.23,47,29.71,2.24,14,61.14,4.85,7.15
57,Washington St,washingtonstate,Pac 12,7.82,58,56.66,67,54.47,44,30.17,2.27,69,52.25,6.52,4.48
58,Rutgers,rutgers,Big 10,7.79,56,56.87,47,56.82,65,28.02,2.22,40,58.03,5.53,6.47
59,Maryland,maryland,Big 10,7.79,59,56.64,59,55.13,51,29.48,2.22,41,58.02,5.55,6.45
60,UCLA,ucla,Big 10,7.79,60,56.44,69,54.34,45,30.08,2.24,30,58.71,5.38,6.62
61,Wake Forest,wakeforest,Atlantic Coast,7.78,61,56.28,61,55.10,56,29.16,2.23,56,55.61,6.03,5.97
62,South Florida,southflorida,American Athletic,7.74,62,56.28,38,57.94,80,26.32,2.24,99,45.18,8.73,3.27
63,UCF,ucf,Big 12,7.73,63,55.53,68,54.35,55,29.16,2.38,57,55.44,5.90,6.10
64,North Texas,northtexas,American Athletic,7.69,64,55.35,25,59.48,96,23.85,2.24,81,48.21,7.82,4.18
65,Memphis,memphis,American Athletic,7.68,65,54.97,51,55.92,77,27.03,2.25,82,48.17,7.77,4.23
66,East Carolina,eastcarolina,American Athletic,7.68,66,54.71,63,54.60,64,28.10,2.23,90,46.64,8.07,3.93
67,West Virginia,westvirginia,Big 12,7.66,67,54.58,62,55.02,73,27.54,2.29,48,57.23,5.22,6.78
68,Virginia Tech,virginiatech,Atlantic Coast,7.65,69,54.29,74,54.01,62,28.26,2.32,53,56.33,5.32,6.68
69,California,california,Atlantic Coast,7.65,70,54.20,70,54.31,67,27.87,2.33,61,54.53,5.78,6.22
70,Colorado,colorado,Big 12,7.65,68,54.45,64,54.58,68,27.85,2.35,31,58.63,4.81,7.19
71,N Dakota St,northdakotastate,Mountain West,7.62,71,53.55,66,54.48,76,27.05,2.20,126,41.14,9.16,2.84
72,Navy,navy,American Athletic,7.59,73,53.25,71,54.14,75,27.09,2.16,85,47.36,7.56,4.44
73,North Carolina,northcarolina,Atlantic Coast,7.57,75,52.90,79,53.07,69,27.81,2.33,27,59.07,4.25,7.75
74,Purdue,purdue,Big 10,7.57,74,53.12,77,53.42,71,27.67,2.30,8,62.04,3.64,8.36
75,UT San Antonio,utsa,American Athletic,7.57,72,53.43,49,56.52,88,24.88,2.35,83,48.15,7.36,4.64
76,Toledo,toledo,Mid-American,7.56,76,52.59,84,52.01,60,28.56,2.26,134,39.42,9.24,2.76
77,Army,army,American Athletic,7.54,80,51.93,90,51.09,59,28.82,2.19,93,46.19,7.49,4.51
78,UNLV,unlv,Mountain West,7.54,77,52.40,57,55.55,89,24.83,2.20,89,46.70,7.58,4.42
79,Old Dominion,olddominion,Sun Belt,7.53,78,52.21,80,52.75,74,27.45,2.20,107,44.20,8.06,3.94
80,Boston College,bostoncollege,Atlantic Coast,7.51,79,52.16,73,54.03,85,26.11,2.24,38,58.20,4.34,7.66
81,San Diego St,sandiegostate,Pac 12,7.46,82,50.89,92,50.91,66,27.95,2.27,75,50.07,5.64,5.36
82,Fresno St,fresnostate,Pac 12,7.45,81,50.91,89,51.20,70,27.69,2.24,77,49.02,5.97,5.03
83,Stanford,stanford,Atlantic Coast,7.43,83,50.78,83,52.14,78,26.62,2.28,37,58.22,3.99,8.01
84,Oklahoma St,oklahomastate,Big 12,7.39,84,50.08,85,51.70,79,26.36,2.38,43,57.55,3.96,8.04
85,Syracuse,syracuse,Atlantic Coast,7.37,85,49.98,81,52.63,87,25.33,2.34,45,57.37,4.01,7.99
86,Ohio,ohio,Mid-American,7.34,88,48.80,95,50.46,81,26.31,2.21,132,40.22,8.23,3.77
87,Oregon St,oregonstate,Pac 12,7.31,87,48.94,93,50.79,84,26.12,2.46,72,51.21,4.93,6.07
88,Utah St,utahstate,Pac 12,7.31,86,49.08,75,53.88,99,23.18,2.31,70,51.96,4.78,6.22
89,Texas St,texasstate,Pac 12,7.28,89,48.68,65,54.55,106,22.11,2.27,73,50.74,4.98,6.02
90,W Michigan,westernmichigan,Mid-American,7.24,94,47.07,103,49.26,86,25.79,2.25,113,43.21,7.13,4.87
91,Miami OH,miamioh,Mid-American,7.24,95,46.71,112,48.39,82,26.30,2.25,123,41.51,7.41,4.59
92,WKU,westernkentucky,Conference USA,7.23,93,47.29,91,51.02,91,24.24,2.28,120,42.12,7.48,4.52
93,Air Force,airforce,Mountain West,7.23,90,47.59,88,51.48,92,24.09,2.21,106,44.39,6.82,5.18
94,New Mexico,newmexico,Mountain West,7.23,91,47.51,86,51.53,94,23.96,2.20,108,44.19,6.85,5.15
95,Marshall,marshall,Sun Belt,7.22,92,47.39,82,52.35,102,23.02,2.22,109,43.75,7.01,4.99
96,Troy,troy,Sun Belt,7.17,98,45.92,104,49.22,90,24.67,2.21,114,43.16,6.75,5.25
97,Hawaii,hawaii,Mountain West,7.14,96,46.17,98,50.07,93,24.07,2.33,98,45.34,6.23,5.77
98,Connecticut,connecticut,FBS Indep,7.13,97,46.06,87,51.51,103,22.52,2.33,96,45.78,6.01,5.99
99,Wyoming,wyoming,Mountain West,7.09,99,44.62,123,46.44,83,26.16,2.30,111,43.37,6.29,5.71
100,Louisiana Tech,louisianatech,Sun Belt,7.04,101,44.17,110,48.44,97,23.72,2.31,101,45.03,5.70,6.30
101,South Alabama,southalabama,Sun Belt,7.03,100,44.35,97,50.11,105,22.22,2.29,103,44.72,5.90,6.10
102,Louisiana,louisiana,Sun Belt,7.00,102,43.62,99,49.83,109,21.77,2.27,128,40.84,6.79,5.21
103,San Jose St,sanjosestate,Mountain West,6.99,103,43.61,101,49.71,107,21.88,2.28,97,45.34,5.99,7.01
104,Jacksonville St,jacksonvillestate,Conference USA,6.97,106,42.91,105,49.15,110,21.74,2.26,133,39.92,6.84,5.16
105,Ga Southern,georgiasouthern,Sun Belt,6.95,105,43.17,94,50.49,116,20.65,2.34,91,46.32,5.10,6.90
106,Temple,temple,American Athletic,6.94,104,43.32,100,49.77,112,21.53,2.31,80,48.22,4.71,7.29
107,Appalachian St,appalachianstate,Sun Belt,6.92,107,42.60,106,48.96,111,21.61,2.38,105,44.42,5.48,6.52
108,Liberty,liberty,Conference USA,6.91,108,42.43,109,48.57,108,21.84,2.26,136,38.61,7.04,4.96
109,C Michigan,centralmichigan,Mid-American,6.90,111,41.83,119,46.65,100,23.16,2.31,116,42.57,5.81,6.19
110,Bowling Green,bowlinggreen,Mid-American,6.90,110,41.89,124,46.36,98,23.51,2.11,100,45.08,5.15,6.85
111,Nevada,nevada,Mountain West,6.88,112,41.57,122,46.45,101,23.10,2.27,86,47.07,4.49,7.51
112,FL Atlantic,floridaatlantic,American Athletic,6.86,109,42.01,96,50.29,123,19.70,2.28,92,46.30,4.81,7.19
113,Arkansas St,arkansasstate,Sun Belt,6.86,113,41.43,113,48.34,114,21.08,2.30,119,42.26,5.77,6.23
114,Colorado St,coloradostate,Pac 12,6.86,114,41.40,117,46.87,104,22.51,2.25,71,51.94,2.99,8.01
115,N Illinois,northernillinois,Mountain West,6.84,117,40.70,130,44.78,95,23.91,2.12,79,48.34,4.04,7.96
116,Coastal Car,coastalcarolina,Sun Belt,6.83,115,41.18,107,48.88,118,20.28,2.28,112,43.35,5.37,6.63
117,Tulsa,tulsa,American Athletic,6.81,116,41.07,108,48.79,119,20.26,2.24,94,45.89,4.68,7.32
118,Missouri St,missouristate,Conference USA,6.78,118,40.21,111,48.43,122,19.76,2.26,122,42.10,5.53,6.47
119,Southern Miss,southernmiss,Sun Belt,6.77,119,40.06,115,47.54,117,20.50,2.26,95,45.84,4.39,7.61
120,Buffalo,buffalo,Mid-American,6.75,121,39.54,125,46.30,113,21.23,2.22,135,39.32,6.02,5.98
121,UAB,uab,American Athletic,6.73,120,39.98,102,49.65,134,18.31,2.30,88,46.77,4.22,7.78
122,Rice,rice,American Athletic,6.72,122,39.07,126,46.21,115,20.84,2.33,78,48.95,3.42,8.58
123,E Michigan,easternmichigan,Mid-American,6.68,124,38.49,121,46.46,120,20.01,2.22,118,42.28,4.98,7.02
124,Florida Intl,floridainternational,Conference USA,6.66,123,38.67,116,47.36,128,19.28,2.24,137,38.36,6.07,5.93
125,Georgia St,georgiastate,Sun Belt,6.62,125,37.70,120,46.64,130,19.04,2.18,110,43.46,4.42,7.58
126,CS Sacramento,sacramentostate,Mid-American,6.59,126,37.45,114,47.67,136,17.76,2.24,129,40.65,5.03,6.97
127,Kennesaw,kennesawstate,Conference USA,6.57,129,36.60,128,45.26,127,19.32,2.18,130,40.54,4.95,7.05
128,MTSU,middletennessee,Conference USA,6.57,128,36.63,127,45.56,129,19.04,2.30,131,40.39,4.97,7.03
129,Delaware,delaware,Conference USA,6.56,127,36.68,118,46.75,135,17.91,2.29,124,41.45,4.73,7.27
130,New Mexico St,newmexicostate,Conference USA,6.54,131,36.19,131,44.67,125,19.49,2.27,127,40.95,4.67,7.33
131,Akron,akron,Mid-American,6.53,130,36.20,134,44.28,121,19.90,2.20,117,42.54,4.26,7.74
132,Ball St,ballstate,Mid-American,6.53,133,36.03,133,44.48,124,19.53,2.35,115,43.03,4.24,7.76
133,UTEP,utep,Mountain West,6.53,132,36.08,129,45.26,132,18.80,2.26,87,46.89,3.27,8.73
134,Charlotte,charlotte,American Athletic,6.49,134,35.49,132,44.48,131,18.98,2.17,84,47.93,2.91,9.09
135,ULM,louisianamonroe,Sun Belt,6.46,135,35.01,137,43.56,126,19.42,2.35,104,44.43,3.53,8.47
136,Sam Houston St,samhouston,Conference USA,6.43,136,34.48,136,43.93,133,18.53,2.25,125,41.34,4.20,7.80
137,Kent,kentstate,Mid-American,6.32,137,33.04,135,44.15,137,16.87,2.32,102,44.98,3.10,8.90
138,Massachusetts,massachusetts,Mid-American,5.90,138,26.18,138,40.40,138,13.77,2.26,138,37.65,3.17,8.83
