overall_rank,conf_rank,conference,team_raw,cfbd_school
1,1,Big Ten,Oregon,Oregon
2,2,Big Ten,Ohio State,Ohio State
3,1,ACC,Miami,Miami
4,,FBS Independents,Notre Dame,Notre Dame
5,1,SEC,Georgia,Georgia
6,2,SEC,Oklahoma,Oklahoma
7,2,SEC,Texas,Texas
8,1,Big 12,Texas Tech,Texas Tech
9,3,Big Ten,Indiana,Indiana
10,4,SEC,Ole Miss,Ole Miss
11,4,Big Ten,Usc,USC
12,5,SEC,Lsu,LSU
13,6,SEC,Texas A&M,Texas A&M
14,5,Big Ten,Michigan,Michigan
15,7,SEC,Tennessee,Tennessee
16,7,SEC,Alabama,Alabama
17,2,Big 12,Byu,BYU
18,6,Big Ten,Washington,Washington
19,2,ACC,Louisville,Louisville
20,6,Big Ten,Penn State,Penn State
21,3,ACC,Smu,SMU
22,3,Big 12,Utah,Utah
23,4,ACC,Clemson,Clemson
24,8,Big Ten,Iowa,Iowa
25,4,Big 12,Texas Christian,TCU
26,9,SEC,Auburn,Auburn
27,10,SEC,Missouri,Missouri
28,10,SEC,South Carolina,South Carolina
29,12,SEC,Florida,Florida
30,5,Big 12,Houston,Houston
31,5,Big 12,Kansas State,Kansas State
32,7,Big 12,Arizona State,Arizona State
33,8,Big 12,Arizona,Arizona
34,5,ACC,Virginia Tech,Virginia Tech
35,6,ACC,Virginia,Virginia
36,9,Big Ten,Wisconsin,Wisconsin
37,10,Big Ten,Nebraska,Nebraska
38,10,Big Ten,Illinois,Illinois
39,8,ACC,Pittsburgh,Pittsburgh
40,8,ACC,Georgia Tech,Georgia Tech
41,7,ACC,Nc State,NC State
42,10,ACC,Florida State,Florida State
43,13,SEC,Mississippi State,Mississippi State
44,12,Big Ten,Minnesota,Minnesota
45,14,SEC,Kentucky,Kentucky
46,15,SEC,Vanderbilt,Vanderbilt
47,9,Big 12,Oklahoma State,Oklahoma State
48,9,Big 12,Ucf,UCF
49,13,Big Ten,Ucla,UCLA
50,11,ACC,California,California
51,11,Big 12,West Virginia,West Virginia
52,11,Big 12,Baylor,Baylor
53,12,ACC,Wake Forest,Wake Forest
54,12,ACC,Duke,Duke
55,14,Big Ten,Northwestern,Northwestern
56,15,Big Ten,Maryland,Maryland
57,14,ACC,North Carolina,North Carolina
58,16,SEC,Arkansas,Arkansas
59,16,Big Ten,Michigan State,Michigan State
60,13,Big 12,Cincinnati,Cincinnati
61,14,Big 12,Kansas,Kansas
62,15,Big 12,Colorado,Colorado
63,17,Big Ten,Rutgers,Rutgers
64,15,ACC,Syracuse,Syracuse
65,16,Big 12,Iowa State,Iowa State
66,16,ACC,Stanford,Stanford
67,17,ACC,Boston College,Boston College
68,18,Big Ten,Purdue,Purdue
