pff_name,cfbd_school
ABILENE CH,Abilene Christian
ALAB A&M,Alabama A&M
ALABAMA ST,Alabama State
ALBANY,Albany
ALBANY ST,Albany State
ALCORN ST,Alcorn State
ALU,Allen University
AMRINT,American International
ARKAPB,Arkansas-Pine Bluff
AUSTINPEAY,Austin Peay
BETH COOK,Bethune-Cookman
BOWIE ST,Bowie State
BROWN,Brown
BRYANT,Bryant
BUCKNELL,Bucknell
BUTLER,Butler
CAL POLY,Cal Poly
CAMPBELL,Campbell
CENT ARK,Central Arkansas
CENT CT ST,Central Connecticut
CENT WASH,Central Washington
CENTRAL ST,Central State
CHARLES SO,Charleston Southern
CHATTNOOGA,Chattanooga
CITADEL,The Citadel
COLGATE,Colgate
COLUMBIA,Columbia
CORNELL,Cornell
DARTMOUTH,Dartmouth
DAYTON,Dayton
DELWARE ST,Delaware State
DRAKE,Drake
DUQUESNE,Duquesne
E ILLINOIS,Eastern Illinois
E KENTUCKY,Eastern Kentucky
E TENN ST,East Tennessee State
E WASHGTON,Eastern Washington
ECU,East Central (OK)
ED WATERS,Edward Waters
ELIZBTH ST,Elizabeth City State
ELON,Elon
FL A&M,Florida A&M
FORDHAM,Fordham
FURMAN,Furman
Ferr,Ferris State
GARD-WEBB,Gardner-Webb
GEORGETOWN,Georgetown
GRAMBLING,Grambling
HAMPTON,Hampton
HARVARD,Harvard
HOLY CROSS,Holy Cross
HOUCHR,Houston Christian
HOWARD,Howard
IDAHO,Idaho
IDAHO ST,Idaho State
ILL STATE,Illinois State
INCAR WORD,Incarnate Word
INDIANA ST,Indiana State
JACKSON ST,Jackson State
LAFAYETTE,Lafayette
LAMAR,Lamar
LEHIGH,Lehigh
LINCOLN,Lincoln (MO)
LIUSHAR,LIU Post
LNDNWD,Lindenwood
MAINE,Maine
MARIST,Marist
MCNEESE,McNeese
MERCER,Mercer
MERCYHURST,Mercyhurst
MERRIMACK,Merrimack
MONMOUTH,Monmouth
MONTANA,Montana
MONTANA ST,Montana State
MOREHEAD,Morehead State
MORGAN ST,Morgan State
MS VLY ST,Mississippi Valley State
MURRAY ST,Murray State
N ALABAMA,North Alabama
N ARIZONA,Northern Arizona
N COLORADO,Northern Colorado
N DAK ST,North Dakota State
N DAKOTA,North Dakota
N IOWA,Northern Iowa
NC A&T,North Carolina A&T
NC CENT,North Carolina Central
NEW HAMP,New Hampshire
NEWHVN,New Haven
NICHOLLS,Nicholls
NORFOLK,Norfolk State
NORTHEA ST,Northeastern State
NWSTATE,Northwestern State
PACENY,Pace
PENN,Pennsylvania
PORTLAND,Portland State
PRESBYTERN,Presbyterian
PRINCETON,Princeton
PRVIEW A&M,Prairie View A&M
RHODE ISLD,Rhode Island
RICHMOND,Richmond
ROB MORRIS,Robert Morris
S DAK ST,South Dakota State
S DAKOTA,South Dakota
S ILLINOIS,Southern Illinois
SACR HEART,Sacred Heart
SACRAMENTO,Sacramento State
SAMFORD,Samford
SAN DIEGO,San Diego
SCAR STATE,South Carolina State
SE LA,Southeastern Louisiana
SE MO ST,Southeast Missouri State
SO UTAH,Southern Utah
SOUTHERN U,Southern
ST FRANCIS,Saint Francis (PA)
STETSON,Stetson
STF AUSTIN,Stephen F. Austin
STHLSK,Stonehill
STNY BROOK,Stony Brook
STTHOM,St. Thomas
SVSU,Saginaw Valley State
TARLETON,Tarleton State
TENN MARTN,UT Martin
TENN STATE,Tennessee State
TENN TECH,Tennessee Tech
TEXAS STHN,Texas Southern
TOWSON,Towson
TXAMEA,East Texas A&M
TXRG,UTRGV
UC DAVIS,UC Davis
UTAHTC,Utah Tech
VA MILT IN,VMI
VILLANOVA,Villanova
VIRSTA,Virginia St
W CAROLINA,Western Carolina
W GEORGIA,West Georgia
W ILLINOIS,Western Illinois
W OREGON,Western Oregon
WEBER ST,Weber State
WLU,West Liberty
WM & MARY,William & Mary
WOFFORD,Wofford
YALE,Yale
YNGTOWN ST,Youngstown State
