bucket,away,home,type,site,site_src,h_spread,total,sp_book,n_books,calibrated,market_matched,raw
Week 0,Sacramento State,Eastern Michigan,FBS at FBS,1,payload,-8.0,53.5,Caesars,8,-7.53,-9.68,-8.72
Week 0,New Mexico State,Florida State,FBS at FBS,1,payload,-30.5,53.5,BetMGM,8,-21.39,-29.2,-25.69
Week 0,Jacksonville State,North Dakota State,FBS at FBS,1,payload,7.5,48.5,Caesars,8,-9.8,-12.87,-11.49
Week 0,Hawai’i,Stanford,FBS at FBS,1,payload,-4.5,50.5,FanDuel,8,-5.16,-6.32,-5.8
Week 0,North Carolina,TCU,FBS at FBS,0,payload,-7.0,48.5,BetMGM,8,-5.16,-7.28,-6.33
Week 0,Memphis,UNLV,FBS at FBS,1,payload,-5.5,59.5,Caesars,8,-0.69,-0.04,-0.33
Week 0,San José State,USC,FBS at FBS,1,payload,-38.5,59.5,BetMGM,8,-27.48,-37.78,-33.15
Week 0,NC State,Virginia,FBS at FBS,1,payload,-5.5,54.5,bet365,7,-4.93,-6.01,-5.53
Week 1,University at Albany,Buffalo,FCS at FBS,1.0,assumed-home,-26.5,48.5,FanDuel,3,,,
Week 1,Merrimack,Delaware,FCS at FBS,1,payload,-28.5,56.5,FanDuel,3,-40.11,-36.41,-38.07
Week 1,Colorado,Georgia Tech,FBS at FBS,1,payload,-7.5,51.5,bet365,8,-5.92,-7.39,-6.73
Week 1,UAB,Illinois,FBS at FBS,1,payload,-27.5,56.5,FanDuel,8,-19.85,-27.04,-23.81
Week 1,West Georgia,Kennesaw State,FCS at FBS,1,payload,-23.5,53.5,FanDuel,3,-40.39,-37.21,-38.64
Week 1,Eastern Illinois,Minnesota,FCS at FBS,1,payload,-45.5,51.5,FanDuel,3,-51.52,-53.3,-52.5
Week 1,Arkansas-Pine Bluff,Missouri,FCS at FBS,1,payload,-52.5,60.5,FanDuel,3,-59.48,-63.7,-61.8
Week 1,UMass,Rutgers,FBS at FBS,1,payload,-30.5,55.5,FanDuel,7,-25.51,-35.02,-30.75
Week 1,Bethune-Cookman,UCF,FCS at FBS,1,payload,-38.5,57.5,FanDuel,3,-49.4,-50.32,-49.91
Week 1,Idaho,Utah,FCS at FBS,1,payload,-34.5,57.5,FanDuel,3,-41.73,-46.05,-44.11
Week 1,Akron,Wake Forest,FBS at FBS,1,payload,-22.5,49.5,FanDuel,8,-19.75,-26.89,-23.68
Week 1,San José State,Eastern Michigan,FBS at FBS,1,payload,-4.5,54.5,Caesars,8,-1.92,-1.77,-1.84
Week 1,North Carolina A&T,Georgia State,FCS at FBS,1,payload,-27.5,63.5,FanDuel,3,-31.5,-25.51,-28.2
Week 1,LIU,Kansas,FCS at FBS,1.0,assumed-home,-40.5,52.5,FanDuel,2,,,
Week 1,Toledo,Michigan State,FBS at FBS,1,payload,-11.5,48.5,Caesars,8,-7.47,-9.6,-8.65
Week 1,UTEP,Oklahoma,FBS at FBS,1,payload,-40.5,50.5,Caesars,8,-31.64,-43.65,-38.26
Week 1,Indiana State,Purdue,FCS at FBS,1,payload,-36.5,57.5,FanDuel,3,-42.04,-41.17,-41.56
Week 1,Miami (FL),Stanford,FBS at FBS,1,payload,23.5,49.5,FanDuel,8,16.8,24.63,21.12
Week 1,Fresno State,USC,FBS at FBS,1,payload,-23.5,51.5,Caesars,8,-17.74,-24.05,-21.21
Week 1,Duquesne,Air Force,FCS at FBS,1,payload,-28.0,56.5,Fanatics,2,-40.86,-39.1,-39.89
Week 1,East Carolina,Alabama,FBS at FBS,1,payload,-28.5,54.5,DraftKings,8,-15.2,-20.48,-18.11
Week 1,Maine,Appalachian State,FCS at FBS,1,payload,-18.5,51.5,FanDuel,2,-36.74,-33.3,-34.85
Week 1,Northern Arizona,Arizona,FCS at FBS,1,payload,-29.5,57.5,FanDuel,2,-48.52,-51.54,-50.18
Week 1,Morgan State,Arizona State,FCS at FBS,1,payload,-42.5,52.5,Fanatics,2,-50.96,-52.52,-51.82
Week 1,North Alabama,Arkansas,FCS at FBS,1,payload,-40.5,61.5,FanDuel,2,-47.44,-48.78,-48.18
Week 1,Bryant,Army,FCS at FBS,1,payload,-38.5,51.5,FanDuel,2,-43.49,-42.8,-43.11
Week 1,Baylor,Auburn,FBS at FBS,0,payload,-7.0,59.5,Caesars,8,-6.06,-8.54,-7.43
Week 1,Utah Tech,BYU,FCS at FBS,1,payload,-48.5,55.5,FanDuel,2,-62.28,-67.65,-65.24
Week 1,Tarleton State,Bowling Green,FCS at FBS,1,payload,-2.5,47.5,FanDuel,1,-6.75,-2.91,-4.64
Week 1,UCLA,California,FBS at FBS,1,payload,1.0,55.5,Caesars,8,-0.4,0.38,0.03
Week 1,The Citadel,Charlotte,FCS at FBS,1,payload,-12.5,45.5,FanDuel,2,-26.97,-19.93,-23.09
Week 1,Boston College,Cincinnati,FBS at FBS,1,payload,-7.5,54.5,BetMGM,8,-6.22,-7.82,-7.1
