player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Quintrevion Wisner,176190,HB,TEXAS,9,130,32,6,27.1,164,0,606,3,8,32,423,85.6,13,29,311,0,63,89.8,77.3,86.2,,68.1,58.2,81.5,55.2,48,0,146,22,184,165,0,0,27,152,3,606,423,3.25,4.7,0.79,66,arrival_2025_at_TEXAS
Gavin Sawchuk,158088,HB,FLORIDA ST,12,109,19,3,18.1,88,0,485,2,3,19,294,48.6,9,40,167,1,23,75.1,74.8,44.8,,55.4,52.9,80.8,67.2,40,1,121,13,140,159,0,0,17,122,8,485,294,2.7,4.4,0.86,81,2025_this_team
Gemari Sands,169923,HB,FAU,12,104,25,6,29.0,137,0,473,2,21,25,293,90.0,11,22,165,0,32,87.9,76.2,84.6,,82.6,78.6,74.3,64.6,37,1,223,40,167,130,0,0,44,144,0,473,293,2.82,4.5,1.34,69,arrival_2025_at_FAU
Ousmane Kromah,198443,HB,FLORIDA ST,12,72,29,7,31.9,129,0,405,2,3,29,296,162.4,16,23,167,1,23,68.1,79.7,6.8,,52.6,71.4,80.5,53.5,23,1,147,9,44,91,0,0,11,81,0,405,296,4.11,5.6,3.34,47,2025_this_team
Samuel Singleton Jr.,170356,HB,FLORIDA ST,8,51,11,7,54.7,197,0,360,0,1,11,195,88.2,10,14,167,0,8,82.6,85.1,78.4,,61.1,61.2,83.3,56.1,53,0,16,1,16,65,0,0,1,52,4,360,195,3.82,7.1,1.0,38,2025_this_team
Jaylin Lucas,156396,HB,FLORIDA ST,12,26,4,2,28.4,44,0,155,2,0,4,61,24.7,4,9,167,1,14,80.0,67.7,79.4,,69.6,60.8,70.2,57.8,26,0,93,12,38,50,0,0,17,38,0,155,61,2.35,6.0,2.45,2,2025_this_team
Caziah Holmes,129782,HB,FLORIDA ST,8,18,2,2,36.0,32,0,89,0,0,2,51,31.5,3,6,167,1,8,29.3,67.1,75.9,,28.4,55.8,69.0,57.1,16,0,0,0,9,25,0,0,0,18,2,89,51,2.83,4.9,0.0,10,2025_this_team
Roydell Williams,123939,HB,FLORIDA ST,6,15,1,0,0.0,0,0,46,0,0,1,33,12.9,0,2,167,0,3,75.5,64.9,78.2,,65.0,55.6,66.1,63.9,9,0,19,2,25,37,0,0,3,17,0,46,33,2.2,3.1,0.76,11,2025_this_team
Zay Parks,190575,HB,FLORIDA ST,2,15,4,1,23.2,22,0,95,0,0,4,55,97.8,3,4,167,0,4,75.2,78.1,72.6,,70.2,58.8,75.3,60.0,22,0,0,0,2,16,0,0,0,15,1,95,55,3.67,6.3,0.0,8,2025_this_team
Jeremiah Johnson,190571,HB,FLORIDA ST,2,10,2,1,29.6,16,0,54,0,0,2,38,76.0,3,3,167,0,2,73.1,72.1,69.3,,,,69.6,,16,0,0,0,0,10,0,0,0,10,0,54,38,3.8,5.4,,7,2025_this_team
Kam Davis,183297,HB,FLORIDA ST,3,8,2,1,47.1,24,0,51,0,0,2,33,75.0,2,4,167,0,0,72.2,70.1,74.8,,71.7,66.6,68.1,71.1,24,0,46,3,12,12,0,0,3,11,1,51,33,4.13,6.4,3.83,6,2025_this_team
