TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Air Force,9-4,362,236,92.5,90.1,67.5,65.4,76.1,84.3,85.0,90.5,87.1,90.0,80.2,84.1,78.3
Akron,2-10,195,336,62.7,54.2,43.1,50.6,58.2,78.9,48.8,76.1,73.3,76.1,66.5,76.8,68.2
Alabama,12-2,476,266,94.0,88.1,78.7,71.6,77.8,92.0,77.0,93.3,91.4,90.1,87.0,92.5,90.0
Appalachian State,9-5,465,378,84.8,82.4,75.5,56.9,82.9,81.2,68.3,79.0,60.1,70.7,79.4,88.2,61.7
Arizona,10-3,450,274,90.8,90.0,83.9,84.7,87.9,92.5,59.2,80.9,80.3,73.0,71.2,81.8,73.9
Arizona State,3-9,213,382,64.8,59.3,42.5,63.9,58.8,83.7,50.0,68.3,68.4,63.4,69.4,62.9,66.3
Arkansas,4-8,319,335,80.8,72.9,68.9,58.3,71.1,78.5,63.9,80.0,71.1,81.4,76.5,84.0,75.6
Arkansas State,6-7,352,395,81.9,76.7,62.7,59.5,74.3,83.1,69.8,79.9,74.1,77.4,65.7,89.7,67.4
Army,6-6,246,253,78.6,70.1,35.4,55.6,64.0,76.3,72.2,79.8,74.8,72.1,65.8,81.9,84.6
Auburn,6-7,340,294,83.4,70.4,63.9,65.7,59.7,88.5,60.6,90.6,88.2,80.2,71.2,89.7,76.6
Ball State,4-8,219,293,70.8,70.0,55.3,77.0,59.0,87.0,60.3,68.4,68.7,62.2,67.9,65.1,54.9
Baylor,3-9,277,400,74.5,72.2,65.3,80.2,64.2,81.3,61.4,67.4,59.6,62.3,69.3,66.3,82.7
Boise State,8-6,450,358,83.1,82.9,62.0,63.9,72.6,95.3,69.7,71.0,64.0,49.0,66.7,73.8,73.7
Boston College,7-6,323,368,76.4,73.4,55.3,81.3,58.8,89.1,69.9,75.7,76.9,61.7,65.3,74.9,69.0
Bowling Green,7-6,340,312,77.1,67.2,54.0,48.1,71.6,89.7,53.0,83.4,67.8,79.7,80.4,90.7,74.8
Buffalo,3-9,251,329,71.4,61.3,55.3,59.9,59.8,80.8,46.7,82.0,80.7,57.5,70.7,75.4,80.6
BYU,5-7,277,358,70.8,67.9,60.4,77.8,64.4,73.5,57.9,66.3,63.2,53.7,68.5,63.3,72.2
California,6-7,393,426,75.5,73.2,66.9,55.0,75.3,90.3,51.2,75.3,62.0,58.0,79.0,75.2,62.7
Central Michigan,5-7,278,373,72.3,65.8,64.0,53.8,59.1,78.9,58.9,74.3,70.4,72.9,69.6,72.8,78.6
Charlotte,3-9,210,343,70.5,62.8,49.6,50.5,62.9,76.9,60.1,76.7,64.4,66.5,70.4,89.6,79.3
Cincinnati,3-9,289,360,76.3,78.2,62.9,67.4,70.7,89.8,68.7,65.9,62.4,67.2,73.6,59.0,63.5
Clemson,9-4,388,274,87.2,70.4,64.5,64.6,67.4,83.7,57.1,93.8,93.0,77.8,83.6,91.8,80.1
Coastal Carolina,8-5,360,310,79.7,76.6,79.6,68.6,77.3,82.6,51.0,77.1,67.2,78.0,74.8,80.0,70.5
