player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Jacob Meeks,24703,K,S ALABAMA,13,0,0,288,,60.0,,,73.1,,64.1,,,79.2,1,0,1,0,84,0,0,0,0
Cam McCormick,41982,TE,MIAMI FL,11,0,0,220,,,14.5,59.6,,,47.8,,,70.3,0,0,19,0,0,40,0,0,0
Jahsen Wint,42914,S,MARSHALL,12,0,0,214,59.8,,,,,,42.8,,,82.4,1,1,0,10,38,70,24,8,1
Mason White,43872,CB,TCU,3,0,0,305,59.8,,,,,,66.7,,,69.4,0,0,0,2,0,0,1,7,0
Skip Velotta,51815,HB,NOTRE DAME,9,2,0,258,,,,,,,74.0,,,73.1,0,0,0,0,52,0,0,5,1
Bentley Hanshaw,51984,TE,LIBERTY,13,0,0,206,,,77.3,,,,64.6,,,66.9,0,0,76,0,0,5,32,0,0
Chaz Ah You,51989,LB,BYU,1,0,0,128,60.0,,,,,,60.0,,,61.7,0,0,0,1,0,0,0,0,0
Sinjun Astani,52257,DI,USC,2,0,0,326,59.8,,60.0,,,,60.8,,,66.4,0,0,1,1,0,0,0,1,0
Marshall Lang,52369,TE,NWESTERN,11,0,0,256,,,60.0,61.8,,,69.0,,,73.1,0,0,3,0,0,49,5,0,0
Jakob James,52540,C,OHIO STATE,12,0,0,260,,,75.9,,,,65.0,,,64.1,0,0,64,0,0,0,0,0,0
Joe Royer,52545,TE,OHIO STATE,2,0,0,260,,,62.4,,,,61.5,,,64.5,0,0,10,0,0,4,0,0,0
Malik Vann,52555,ED,CINCINNATI,11,0,1,138,58.7,,,,,,48.4,,,27.9,0,1,0,23,0,0,0,10,0
Erick All,52595,TE,IOWA,5,0,0,192,,,66.8,,,,73.3,,,75.1,0,0,19,0,0,10,0,24,0
Brendan Beattie,52768,LS,MIAMI OH,14,1,0,221,,,85.1,,,40.6,55.6,,,29.7,0,1,69,0,0,0,58,0,1
