fbs_rank,rank_247,team,norm_key,commits,avg,points
1,1,Ole Miss,olemiss,27,88.52,71.61
2,2,Oregon,oregon,14,90.46,68.77
3,3,Alabama,alabama,15,90.07,68.34
4,4,Texas A&M,texasam,28,88.72,64.01
5,5,Texas,texas,12,90.17,61.98
6,6,Florida,florida,16,89.27,61.71
7,7,Florida State,floridastate,17,89.35,60.47
8,8,Colorado,colorado,43,87.41,58.98
9,9,Ohio State,ohiostate,8,92.86,58.62
10,10,Miami,miamifl,15,88.93,56.20
11,11,Washington,washington,29,87.22,54.35
12,12,Michigan State,michiganstate,24,87.50,53.33
13,13,Missouri,missouri,17,88.93,52.45
14,14,Georgia,georgia,11,90.56,52.35
15,15,Louisville,louisville,32,87.50,52.02
16,16,South Carolina,southcarolina,22,87.95,50.52
17,17,California,california,23,86.70,50.00
18,18,NC State,ncstate,15,88.33,49.79
19,19,USC,usc,18,88.13,48.28
20,20,Oklahoma,oklahoma,16,88.46,47.38
21,21,Kentucky,kentucky,13,88.42,46.99
22,22,UCF,ucf,30,87.15,46.10
23,23,Wisconsin,wisconsin,16,88.29,44.81
24,24,Syracuse,syracuse,19,87.17,44.16
25,25,TCU,tcu,24,87.13,43.96
26,26,Arkansas,arkansas,23,86.95,43.86
27,27,Auburn,auburn,16,87.73,43.51
28,28,Purdue,purdue,19,87.18,43.43
29,29,Indiana,indiana,31,86.64,43.11
30,30,Tennessee,tennessee,9,89.63,42.97
31,31,Arizona State,arizonastate,30,86.56,42.63
32,32,SMU,smu,21,87.05,41.56
33,33,Utah,utah,12,88.25,41.54
34,34,Minnesota,minnesota,13,87.31,40.95
35,35,Houston,houston,25,86.52,40.94
36,36,Texas Tech,texastech,16,87.07,40.63
37,37,Baylor,baylor,16,86.81,39.59
38,38,Arizona,arizona,26,86.22,39.54
39,39,Notre Dame,notredame,9,88.88,39.11
40,40,Vanderbilt,vanderbilt,22,86.79,38.64
41,41,LSU,lsu,9,89.00,38.27
42,42,Cincinnati,cincinnati,26,86.43,38.25
43,43,Duke,duke,22,86.19,38.02
44,44,UCLA,ucla,23,86.17,36.90
45,45,Mississippi State,mississippistate,20,86.56,36.25
46,46,Illinois,illinois,13,86.67,34.19
47,47,Memphis,memphis,31,84.86,33.54
48,48,Tulane,tulane,23,85.45,33.25
49,49,Nebraska,nebraska,9,88.38,33.08
50,50,West Virginia,westvirginia,13,86.69,32.77
51,51,Pittsburgh,pittsburgh,14,86.54,32.15
52,52,Kansas,kansas,11,87.10,31.80
53,53,Oregon State,oregonstate,16,86.06,31.05
54,54,Penn State,pennstate,6,89.80,30.75
55,55,Boston College,bostoncollege,10,87.10,30.61
56,56,Virginia,virginia,13,86.33,30.44
57,57,Michigan,michigan,9,87.00,29.87
58,58,North Carolina,northcarolina,10,86.60,29.44
59,59,UNLV,unlv,22,84.45,28.86
60,60,Kansas State,kansasstate,10,87.13,28.71
61,61,UTSA,utsa,16,84.94,28.65
62,62,Texas State,texasstate,34,84.19,28.40
63,63,San Diego State,sandiegostate,26,84.88,27.88
64,64,Georgia Tech,georgiatech,16,85.85,27.60
65,65,Marshall,marshall,32,84.15,27.45
66,66,East Carolina,eastcarolina,20,84.94,26.88
67,67,Oklahoma State,oklahomastate,8,86.88,26.46
68,68,Southern Miss,southernmiss,17,84.65,26.29
69,69,Charlotte,charlotte,28,84.52,25.47
70,70,James Madison,jamesmadison,27,83.70,25.44
71,71,Western Kentucky,westernkentucky,25,84.33,25.38
72,72,Florida Atlantic,floridaatlantic,21,83.85,24.92
73,73,Nevada,nevada,24,83.65,24.80
74,74,North Texas,northtexas,30,83.80,23.70
75,75,BYU,byu,10,86.13,23.45
76,76,Virginia Tech,virginiatech,7,86.86,23.32
77,77,UConn,connecticut,24,83.71,23.22
78,78,Washington State,washingtonstate,12,85.55,22.70
79,79,Iowa State,iowastate,7,86.57,21.96
80,80,Eastern Michigan,easternmichigan,21,83.58,21.81
81,81,UMass,massachusetts,30,83.42,21.69
82,82,Maryland,maryland,8,86.83,21.48
83,83,Louisiana Tech,louisianatech,18,83.73,21.44
84,84,UTEP,utep,28,83.20,21.27
85,85,Fresno State,fresnostate,7,85.71,21.20
86,86,Coastal Carolina,coastalcarolina,18,83.73,20.83
87,87,Appalachian State,appalachianstate,16,83.88,20.52
88,88,Utah State,utahstate,23,83.48,20.44
89,89,Boise State,boisestate,8,84.88,20.42
90,90,UAB,uab,20,83.56,20.29
91,91,Temple,temple,17,84.07,19.40
92,92,Liberty,liberty,18,83.06,19.35
93,93,Akron,akron,17,84.08,19.18
94,94,South Florida,southflorida,14,84.18,19.16
95,95,New Mexico,newmexico,30,82.85,18.94
96,96,Georgia State,georgiastate,34,82.77,18.65
97,97,Jacksonville State,jacksonvillestate,20,83.20,18.62
98,98,Arkansas State,arkansasstate,18,83.27,18.40
99,99,Old Dominion,olddominion,16,83.40,18.15
100,100,New Mexico State,newmexicostate,15,83.54,17.97
101,101,Western Michigan,westernmichigan,12,84.30,17.80
102,102,Tulsa,tulsa,12,83.82,16.85
103,103,Bowling Green,bowlinggreen,14,83.64,16.56
104,104,Troy,troy,13,84.00,16.37
105,105,Rutgers,rutgers,6,85.60,16.29
106,106,Georgia Southern,georgiasouthern,12,83.50,16.16
107,107,Kent State,kentstate,17,82.14,15.91
108,108,Louisiana,louisiana,7,84.83,15.84
109,109,Ohio,ohio,23,82.60,15.78
110,110,Colorado State,coloradostate,11,83.88,15.56
111,111,Rice,rice,10,83.00,15.16
112,112,Middle Tennessee,middletennessee,12,83.00,15.01
113,113,Sam Houston,samhouston,15,83.44,14.86
114,114,Wake Forest,wakeforest,5,85.60,14.79
115,115,Ball State,ballstate,12,82.50,14.49
116,116,Buffalo,buffalo,17,82.58,14.05
