fbs_rank,rank_247,team,norm_key,commits,avg,points
1,1,LSU,lsu,18,90.53,71.20
2,2,Texas Tech,texastech,21,89.48,69.74
3,3,Miami,miamifl,19,89.61,64.51
4,4,Ole Miss,olemiss,30,87.80,63.70
5,5,Oregon,oregon,11,91.70,60.52
6,6,Florida State,floridastate,23,87.91,57.40
7,7,Missouri,missouri,22,87.50,56.15
8,8,Auburn,auburn,20,87.75,55.63
9,9,North Carolina,northcarolina,41,86.82,53.64
10,10,Kentucky,kentucky,26,87.35,52.33
11,11,Texas A&M,texasam,14,88.79,50.58
12,12,Oklahoma,oklahoma,21,87.32,49.18
13,13,Nebraska,nebraska,17,87.38,49.05
14,14,Wisconsin,wisconsin,22,87.24,47.58
15,15,South Carolina,southcarolina,18,87.78,46.34
16,16,Arkansas,arkansas,31,86.73,44.94
17,17,USC,usc,16,87.47,44.07
18,18,Mississippi State,mississippistate,34,86.81,43.83
19,19,Colorado,colorado,33,86.38,42.60
20,20,UCLA,ucla,31,86.07,41.93
21,21,Alabama,alabama,13,87.83,40.70
22,22,Georgia,georgia,10,88.50,40.28
23,23,Texas,texas,11,88.40,39.52
24,24,Ohio State,ohiostate,11,88.78,39.25
25,25,Indiana,indiana,23,86.43,38.83
26,26,Virginia,virginia,31,86.30,38.42
27,27,Houston,houston,30,86.00,36.29
28,28,Minnesota,minnesota,22,86.68,35.83
29,29,Michigan State,michiganstate,23,86.22,35.83
30,30,Michigan,michigan,17,86.25,33.96
31,31,West Virginia,westvirginia,53,85.41,33.84
32,32,Louisville,louisville,32,86.03,33.72
33,33,Georgia Tech,georgiatech,24,86.17,33.71
34,34,Maryland,maryland,16,87.06,33.70
35,35,Oklahoma State,oklahomastate,41,85.72,33.63
36,36,Vanderbilt,vanderbilt,20,86.50,33.28
37,37,Utah,utah,22,86.35,32.50
38,38,California,california,38,85.47,32.21
39,39,Kansas,kansas,28,85.78,31.72
40,40,Washington,washington,19,86.33,31.64
41,41,Penn State,pennstate,8,88.38,31.31
42,42,SMU,smu,20,86.45,31.15
43,43,Illinois,illinois,18,86.33,31.05
44,44,Virginia Tech,virginiatech,30,85.93,30.48
45,45,UCF,ucf,41,85.46,30.36
46,46,Cincinnati,cincinnati,21,85.75,30.16
